SIGUN_NM,SIGUN_CD,STATION_NM_INFO,STATION_ID,STATION_MANAGE_NO,STATION_DIV_NM,JURISD_INST_NM,LOCPLC_LOC,ENG_STATION_NM_INFO,WGS84_LOGT,WGS84_LAT
양주시,41630,창조교회,235000265,39221,노변정류장,경기도 양주시,경기도 양주시 백석읍,Changju Church ,126.97915,37.7843167
양주시,41630,백석읍사무소.백석초교,235000199,39266,노변정류장,경기도 양주시,경기도 양주시 백석읍,"Baekseok-eup Office, Baekseok Elementary School ",126.9881667,37.79555
양주시,41630,넘말.작은외미,235000197,39242,노변정류장,경기도 양주시,경기도 양주시 백석읍,"Neommal, 작은외미",126.9826333,37.7987833
양주시,41630,대뜰,235000716,39181,노변정류장,경기도 양주시,경기도 양주시 백석읍,Daetteul,126.97615,37.80065
양주시,41630,냅떼,235000471,39117,노변정류장,경기도 양주시,경기도 양주시 백석읍,Naeptte,126.9663,37.8012833
양주시,41630,안골입구,235000303,39081,노변정류장,경기도 양주시,경기도 양주시 백석읍,Angol,126.9571833,37.79625
양주시,41630,홍죽3리마을회관,235000470,39072,노변정류장,경기도 양주시,경기도 양주시 백석읍,Hongjuk 3-ri Community Center,126.9560833,37.80435
양주시,41630,연곡회관.연곡보건진료소,235000734,39050,노변정류장,경기도 양주시,경기도 양주시 백석읍,"Yeongok Community Center, Yeongok Public Health Center",126.9515167,37.8194833
양주시,41630,연곡2리방앗간,235000837,39067,노변정류장,경기도 양주시,경기도 양주시 백석읍,Yeongok 2-ri Mill,126.95545,37.8213167
양주시,41630,우고리공단,235000461,39082,노변정류장,경기도 양주시,경기도 양주시 광적면,Ugo-ri Industrial Complex,126.9572167,37.8233167
양주시,41630,지섬.종이나라,235000448,39127,노변정류장,경기도 양주시,경기도 양주시 광적면,"Jiseom, Jongienara",126.9669,37.8229667
양주시,41630,광능말,235000447,39159,노변정류장,경기도 양주시,경기도 양주시 광적면,Gwangneungmal ,126.9726833,37.8198667
양주시,41630,신사래.조양빌라.형제빌라,235000041,39239,노변정류장,경기도 양주시,경기도 양주시 광적면,"Sinsarae, Joyang Villa, Hyeongje Villa",126.9816,37.82775
양주시,41630,한거름,235000168,39102,노변정류장,경기도 양주시,경기도 양주시 광적면,Hangeoreum,126.9624667,37.8251333
양주시,41630,연곡회관.연곡보건진료소,235000459,39049,노변정류장,경기도 양주시,경기도 양주시 백석읍,"Yeongok Community Center, Yeongok Public Health Center",126.9514333,37.8195167
양주시,41630,안골입구,235000827,39079,노변정류장,경기도 양주시,경기도 양주시 백석읍,Angol ,126.9571167,37.7961167
양주시,41630,고말재,235000318,39094,노변정류장,경기도 양주시,경기도 양주시 백석읍,Gomaljae,126.9598167,37.7969167
양주시,41630,대뜰,235000372,39180,노변정류장,경기도 양주시,경기도 양주시 백석읍,Daetteul,126.9760333,37.80065
양주시,41630,방앗간.작은외미,235000195,39252,노변정류장,경기도 양주시,경기도 양주시 백석읍,"Mill, Jageunwoemi",126.9855,37.79755
양주시,41630,세아1차아파트,235000182,39297,노변정류장,경기도 양주시,경기도 양주시 백석읍,SeA Apartment 1-cha,126.9909,37.7967
양주시,41630,세아2차아파트,235000363,39333,노변정류장,경기도 양주시,경기도 양주시 백석읍,SeA Apartment 2-cha,126.9992333,37.80325
양주시,41630,유양공단,235000226,39388,노변정류장,경기도 양주시,경기도 양주시 유양동,Yuyang Industrial Complex ,127.0181167,37.7895
양주시,41630,송추반석전원교회,235000834,39204,노변정류장,경기도 양주시,경기도 양주시 장흥면,Songchu Banseok Jeonwon Church ,126.9771667,37.7385333
양주시,41630,윗가마골,235000705,39201,노변정류장,경기도 양주시,경기도 양주시 장흥면,Witgamagol,126.9773,37.7407167
