연번,위도,경도,보호구역아이디,시도명,시군구명,대상시설명,관할경찰서명,데이터기준일자,이미지명,비고
"41",37.4501210000,127.1625910000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-A-09.jpeg,""
"42",37.4505540000,127.1647070000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-A-10.jpeg,""
"43",37.4506210000,127.1650060000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-A-11.jpeg,""
"44",37.4506770000,127.1652980000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-A-12.jpeg,""
"45",37.4507330000,127.1655970000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-A-13.jpeg,""
"46",37.4498740000,127.1661350000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-A-14.jpeg,""
"47",37.4499890000,127.1660960000,성남-01-003,경기도,성남시 중원구,중부초등학교,성남중원경찰서,"2022-08-25",성남-01-003-A-15.jpeg,""
"48",37.4427510000,127.1807840000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-A-01.jpeg,""
"49",37.4427360000,127.1812760000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-A-02.jpeg,""
"50",37.4430620000,127.1813310000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-A-03.jpeg,""
"51",37.4433870000,127.1813420000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-A-04.jpeg,""
"52",37.4436660000,127.1813540000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-A-05.jpeg,""
"53",37.4438760000,127.1811590000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-A-06.jpeg,""
"54",37.4438830000,127.1809230000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-A-07.jpeg,""
"55",37.4438880000,127.1806630000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-A-08.jpeg,""
"56",37.4438950000,127.1803610000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-A-09.jpeg,""
"57",37.4439050000,127.1799820000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-A-10.jpeg,""
"58",37.4439230000,127.1795210000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-A-11.jpeg,""
"59",37.4425990000,127.1793030000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-A-12.jpeg,""
"60",37.4423310000,127.1792770000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-A-13.jpeg,""
"61",37.4420010000,127.1792480000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-A-14.jpeg,""
"62",37.4417140000,127.1792220000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-A-15.jpeg,""
"63",37.4412810000,127.1789850000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-A-16.jpeg,""
"64",37.4415050000,127.1788390000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-A-17.jpeg,""
"65",37.4416630000,127.1784640000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-A-18.jpeg,""
"66",37.4421560000,127.1805380000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-A-19.jpeg,""
"67",37.4414380000,127.1801550000,성남-01-004,경기도,성남시 중원구,상대원초등학교,성남중원경찰서,"2022-08-04",성남-01-004-A-20.jpeg,""
