image,p_wide,p_narrow,p_barrier_yes,p_barrier_no
강원특별자치도_원주시_명륜동(만도프라자_부근)_01.png,0.996202,0.003740579,0.536607,0.46559334
강원특별자치도_춘천시_퇴계동((훼미리마트남춘천점앞교차로)_부근)_01.png,0.05763644,0.94388765,0.06603727,0.9325397
강원특별자치도_춘천시_퇴계동(남부초교_부근)_01.png,0.21623915,0.7930033,0.21726573,0.785462
강원특별자치도_춘천시_퇴계동(남부초교_부근)_02.png,0.95631164,0.04464677,0.59598863,0.40590826
강원특별자치도_춘천시_효자동((효제초등학교앞교차로)_부근)_01.png,0.6649155,0.34447497,0.09813005,0.90084374
강원특별자치도_춘천시_후평동((대한지적공사강원지사앞교차로)_부근)_01.png,0.93109155,0.0683665,0.77249575,0.22607815
강원특별자치도_횡성군_횡성읍(김혜숙미술학원_부근)_01.png,0.97882223,0.021606117,0.49098533,0.506472
강원특별자치도_횡성군_횡성읍(성북초교_부근)_01.png,0.7422744,0.25680858,0.35472018,0.64804643
개산초교병설유치원_북쪽.png,0.70542365,0.29724404,0.25016814,0.74935496
개산초등학교_북쪽.png,0.70542365,0.29724404,0.25016814,0.74935496
개정초교병설유치원_북쪽.png,0.6323587,0.3743029,0.42187583,0.5855516
개정초등학교_북쪽.png,0.6323587,0.3743029,0.42187583,0.5855516
거모어린이집_북쪽.png,0.010106146,0.99000573,0.009839088,0.9900838
거점형공공직장어린이집_북쪽.png,0.5338567,0.47194463,0.17833224,0.8201363
건영장안유치원_북쪽.png,0.1842424,0.8187193,0.12299645,0.8749206
건원초등학교(병설)_북쪽.png,0.16309488,0.83929884,0.6622484,0.3456759
걸포초교_북쪽.png,0.78430474,0.21861854,0.897136,0.10170093
걸포초병설유치원_북쪽.png,0.78430474,0.21861854,0.897136,0.10170093
검단초등학교_북쪽.png,0.09956941,0.9021256,0.036631048,0.9626555
검산초교(병설)_북쪽.png,0.03536597,0.96479404,0.14057717,0.85956645
경기노총어린이집-1구간_북쪽.png,0.93322814,0.06687909,0.7136603,0.2868172
경기도_고양시_덕양구_고양동(파란들어린이집_부근)_01.png,0.98908174,0.010911584,0.6981174,0.30223477
경기도_고양시_덕양구_주교동(주교7호어린이공원_부근)_01.png,0.19027144,0.8088937,0.07262164,0.9276132
경기도_고양시_덕양구_화정동(화정중앙공원_부근)_01.png,0.12832463,0.87528443,0.07826334,0.9224639
경기도_고양시_일산동구_백석동(알미공원사거리_부근)_01.png,0.06078902,0.94095516,0.04540056,0.95412266
경기도_고양시_일산동구_식사동(원중초교_부근)_01.png,0.95320547,0.047888935,0.8594159,0.14576286
경기도_고양시_일산동구_풍동(숲속마을두산아파트_부근)_01.png,0.36001813,0.6456954,0.31125987,0.6840838
경기도_고양시_일산서구_일산동(생각하는어린이집_부근)_01.png,0.4649759,0.5369614,0.35120553,0.6439539
경기도_고양시_일산서구_일산동(일산3동주민센터사거리_부근)_01.png,0.9846847,0.015066862,0.88351995,0.110827744
경기도_고양시_일산서구_일산동(한뫼초교_부근)_01.png,0.62937135,0.37766755,0.60440177,0.3947374
경기도_고양시_일산서구_주엽동(문촌9단지사거리_부근)_01.png,0.9141265,0.08606589,0.46886292,0.52367747
경기도_과천시_별양동(소방서삼거리_부근)_01.png,0.19888443,0.80554533,0.15467268,0.8430727
경기도_광명시_광명동(광명6동삼거리_부근)_01.png,0.015373319,0.98446155,0.054834545,0.9439405
경기도_광명시_광명동(광문초교사거리_부근)_01.png,0.97932154,0.021046191,0.47592914,0.5261533
경기도_광명시_광명동(대성부동산_부근)_01.png,0.18159926,0.82047194,0.16707346,0.83214295
경기도_광명시_광명동(은성상사_부근)_01.png,0.9711808,0.02838245,0.9236001,0.076011986
경기도_광명시_광명동(해동검도_부근)_01.png,0.54794693,0.45356593,0.20174646,0.795076
경기도_광명시_소하동(소하사거리_부근)_01.png,0.95844424,0.042095542,0.3344707,0.6585133
경기도_광명시_소하동(충현초교_부근)_01.png,0.97287166,0.02674368,0.6556936,0.34209245
경기도_광명시_철산동(광명북초교_부근)_01.png,0.05034089,0.9498378,0.14393127,0.85590714
경기도_광명시_철산동(광명북초교_부근)_02.png,0.93438256,0.06828737,0.8229997,0.17718342
경기도_광명시_철산동(광북초교사거리_부근)_01.png,0.9222238,0.0784435,0.7057667,0.29517078
경기도_광명시_철산동(성일하이츠_부근)_01.png,0.3833606,0.61730766,0.630724,0.36881748
경기도_광주_경안동(경안동행정복지센터_부근)_01.png,0.8388659,0.16462222,0.22357544,0.77575094
경기도_광주_퇴촌면(도수초교_부근)_01.png,0.98950946,0.010734975,0.85778767,0.1410962
경기도_광주시_경안동(감초당약국_부근)_01.png,0.6083479,0.39724612,0.12522885,0.8759899
경기도_광주시_경안동(중앙로113_부근)_01.png,0.99490887,0.005084038,0.47012487,0.53193575
경기도_광주시_곤지암읍(곤지암중학교_부근)_01.png,0.7049674,0.30153513,0.47021,0.53001416
경기도_광주시_오포읍(광명초교_부근)_01.png,0.98726726,0.012995601,0.7490233,0.25462842
경기도_광주시_오포읍(광명초교_부근)_02.png,0.9781511,0.022022337,0.7456821,0.25356287
경기도_광주시_오포읍(매곡초교_부근)_01.png,0.98503804,0.015138149,0.40348637,0.59493196
경기도_광주시_오포읍(양벌초교_부근)_01.png,0.89053595,0.111638635,0.7862603,0.21025139
경기도_광주시_중대동(광남초교_부근)_01.png,0.29700968,0.7011092,0.2623552,0.73499584
경기도_광주시_추자동(오포초등학교_부근)_01.png,0.69372296,0.31396937,0.90217006,0.09889236
경기도_광주시_추자동(오포초등학교_부근)_02.png,0.69372296,0.31396937,0.90217006,0.09889236
경기도_광주시_태전동((별이교앞)_부근)_01.png,0.94737476,0.05275631,0.4253869,0.57161576
경기도_광주시_태전동(광남동_행정복지센터_부근)_01.png,0.99046314,0.00980705,0.75860626,0.24565968
경기도_광주시_태전동(태성초교_부근)_01.png,0.97098744,0.028951496,0.9258827,0.075146586
경기도_광주시_퇴촌면(도수초교_부근)_01.png,0.042620838,0.9578005,0.042370826,0.95735765
경기도_광주시_퇴촌면(도수초교_부근)_02.png,0.97679293,0.023507357,0.56002754,0.4423627
경기도_구리시_갈매동(산마루초교_부근)_01.png,0.8571818,0.14255968,0.8423948,0.15635556
경기도_구리시_교문동(부양초등학교_부근)_01.png,0.96206206,0.038391024,0.36951965,0.62778467
경기도_구리시_인창동(구리등기소_부근)_01.png,0.9611935,0.038366765,0.6830805,0.30837256
경기도_구리시_인창동(동인초교_부근)_01.png,0.97010547,0.02982077,0.9033184,0.09610221
경기도_군포시_금정동(금정초교사거리_부근)_01.png,0.55677783,0.45061523,0.031064779,0.96809876
경기도_군포시_금정동(아론피아노학원_부근)_01.png,0.1899434,0.81278265,0.032222986,0.96729916
경기도_군포시_당동(교전공원_부근)_01.png,0.7253667,0.27469304,0.110670626,0.8873262
경기도_군포시_당동(희망어린이집_부근)_01.png,0.10906279,0.8884963,0.07780352,0.92082393
경기도_군포시_산본동(광정초교_부근)_01.png,0.26032448,0.74415874,0.66615987,0.3251109
경기도_군포시_산본동(산본초교입구사거리_부근)_01.png,0.72248256,0.28213596,0.8655579,0.13176695
경기도_군포시_산본동(산본치안센터_부근)_01.png,0.049016178,0.951413,0.0082710385,0.99171686
경기도_군포시_산본동(서강대학교SLP영어학당영어문화원(주)_부근)_01.png,0.16766211,0.8342303,0.13930494,0.8571346
