시설물명,위도,경도,도로안전표지,도로적색표면,무단횡단방지펜스,무인교통단속카메라,보호구역표지판,생활안전CCTV,신호등,옐로카펫,횡단보도,어린이 비율(%),발생건수
중원초등학교,37.437855,127.167857,-1.4812984842721335,-0.7729352169280795,-0.49081917377202183,-1.7449314629334605,0.29688714875934413,0.2419749459989004,-1.5520932048302523,0.22607274615047493,-1.5428838163194802,-1.0938519288731068,0
하원초등학교,37.446255,127.170236,0.969315707183901,-0.43313088007424894,0.4143278739633952,0.22809969543105096,0.29688714875934413,0.052158491184618974,1.4022933244713005,1.210695588900589,0.9467696145596811,-0.0063688930671178924,0
중부초등학교,37.451546,127.164951,-0.664427087120122,1.6056951410487346,0.8166154507346917,0.22809969543105096,1.1644363914755873,0.9037313686286234,-0.3703385931096312,0.22607274615047493,-0.7129993393597598,-1.220494860377597,0
상대원초등학교,37.442382,127.181591,-0.664427087120122,-0.26322871164733364,1.3194749216988122,-0.5000874003977321,0.8248857600575533,-1.725175323781445,-0.6657772460397865,0.22607274615047493,-0.7129993393597598,-1.0938519288731068,0
도촌초등학교,37.41473,127.158024,0.5608800086078953,-0.09332654322041836,0.9171873449275157,-0.5000874003977321,-0.32435732613726603,-1.462103456194223,-0.07489994017947589,0.22607274615047493,0.5318273760798209,0.4636998269585539,0
구미초등학교,37.337756,127.118398,0.969315707183901,1.265890804194904,1.0177592391203398,-0.5000874003977321,1.3934906613440665,-1.725175323781445,3.470363894982387,0.22607274615047493,0.9467696145596811,-0.23174213775961364,0
내정초등학교,37.372402,127.122264,-1.0728627856961277,-1.2826417222088256,-1.2953943273146147,1.1455069396219675,-1.0737519613502355,-0.2791860437828,1.4022933244713005,0.22607274615047493,-1.12794157783962,1.312029523852358,0
돌마초등학교,37.409099,127.130378,0.15244431003188955,-0.43313088007424894,-0.6919629621576701,0.22809969543105096,-0.6570708043562525,-0.16144356238332383,-0.07489994017947589,0.22607274615047493,0.5318273760798209,-0.1397215984436386,0
미금초등학교,37.347422,127.115303,-0.25599138854411624,-0.09332654322041836,-0.08853159700072535,-0.5000874003977321,0.29688714875934413,-1.033212996070659,1.4022933244713005,1.210695588900589,0.5318273760798209,-0.23174213775961364,0
백현초등학교,37.372193,127.111168,-0.25599138854411624,0.24647779363341224,0.4143278739633952,-0.5000874003977321,0.07549112484458337,0.2419749459989004,0.81141601861099,0.22607274615047493,-0.29805710087989956,0.08863355848402521,0
분당초등학교,37.378988,127.129653,-0.664427087120122,-1.1127395537819103,-0.49081917377202183,0.22809969543105096,-0.18009182779845417,-2.0363233025055325,-0.07489994017947589,0.22607274615047493,-0.29805710087989956,0.45590766638928365,3
성남여수초등학교,37.419449,127.133081,0.15244431003188955,1.0959886357679887,1.922906286855757,0.7447566621379961,1.1644363914755873,-0.5422579113700216,-0.07489994017947589,0.22607274615047493,0.11688513759996066,0.4636998269585539,0
탄천초등학교,37.361599,127.115645,0.5608800086078953,-0.26322871164733364,-0.08853159700072535,0.7447566621379961,-0.6570708043562525,0.052158491184618974,0.81141601861099,0.22607274615047493,1.3617118530395413,0.08863355848402521,0
하탑초등학교,37.407326,127.126613,0.969315707183901,-0.6030330485011642,0.6154716623490435,0.22809969543105096,0.18988180950271666,-0.2791860437828,0.5159773656808347,0.22607274615047493,0.5318273760798209,-0.1397215984436386,0
늘푸른초등학교,37.358334,127.105671,0.5608800086078953,-0.09332654322041836,-0.08853159700072535,-0.5000874003977321,-0.32435732613726603,-1.462103456194223,-0.3703385931096312,1.210695588900589,0.5318273760798209,0.08863355848402521,0
보평초등학교,37.396039,127.117758,0.5608800086078953,0.9260864673410735,-0.08853159700072535,0.22809969543105096,-0.6570708043562525,0.14970441634076345,0.5159773656808347,0.22607274615047493,0.11688513759996066,1.1685808776475637,0
산운초등학교,37.389753,127.079005,0.5608800086078953,2.285303814756396,0.11261219138492287,1.472943757966779,0.6668607860605149,0.6406595010414018,0.5159773656808347,0.22607274615047493,0.11688513759996066,1.7932016646999858,0
운중초등학교,37.392419,127.06894,1.377751405759907,3.474618993744803,1.7217624984701088,0.22809969543105096,0.397403214365252,0.6406595010414018,-0.3703385931096312,0.22607274615047493,1.3617118530395413,1.7932016646999858,0
낙생초등학교,37.394357,127.098914,1.377751405759907,0.7561842989141582,0.6154716623490435,0.22809969543105096,0.29688714875934413,0.3295115223173138,2.2886092832617666,0.22607274615047493,1.3617118530395413,2.0620388495511897,0
신백현초등학교,37.387579,127.111751,0.5608800086078953,-0.26322871164733364,1.8223343926629327,-1.7449314629334605,0.397403214365252,0.5680277276266412,0.2205387127506794,1.210695588900589,0.9467696145596811,0.5609365543204062,0
성남화랑초등학교,37.390224,127.115888,0.5608800086078953,-0.6030330485011642,0.3137559797705711,0.22809969543105096,-0.6570708043562525,-1.462103456194223,0.81141601861099,0.22607274615047493,0.11688513759996066,0.5609365543204062,0
성남은행초등학교,37.461002,127.170901,-0.25599138854411624,0.07657562520649694,-1.496538115700263,-0.5000874003977321,0.9691512583963652,-0.5422579113700216,-1.2566545519000971,0.22607274615047493,-0.29805710087989956,-1.220494860377597,0
성남중앙초등학교,37.436255,127.143529,0.969315707183901,1.0959886357679887,-0.3902472795791977,1.472943757966779,0.07549112484458337,0.052158491184618974,-0.07489994017947589,0.22607274615047493,0.9467696145596811,-1.483371439749995,0
단남초등학교,37.442905,127.161374,0.5608800086078953,1.265890804194904,1.3194749216988122,2.561521447275543,0.8248857600575533,1.4692218399750487,2.879486589122077,0.22607274615047493,0.9467696145596811,-0.0063688930671178924,0
대원초등학교,37.436671,127.155099,-1.0728627856961277,-0.9428373853549948,0.6154716623490435,-0.5000874003977321,-0.6570708043562525,-1.725175323781445,-0.9612158989699418,0.22607274615047493,-0.7129993393597598,-1.0938519288731068,0
대일초등학교,37.438468,127.164185,-1.0728627856961277,-0.6030330485011642,-0.18910349119354947,-0.5000874003977321,0.29688714875934413,1.4248923584103237,-1.2566545519000971,0.22607274615047493,-1.12794157783962,-1.0938519288731068,0
대하초등학교,37.431908,127.151304,-0.664427087120122,-0.26322871164733364,-0.49081917377202183,-0.5000874003977321,0.49217228183856615,-0.16144356238332383,-0.9612158989699418,0.22607274615047493,-0.7129993393597598,-0.5118980286349629,0
성남제일초등학교,37.438906,127.149609,0.15244431003188955,3.474618993744803,1.7217624984701088,1.472943757966779,2.767469162917328,0.052158491184618974,1.9931706303316112,-1.4571511212534125,0.11688513759996066,0.34800416236075177,0
성남북초등학교,37.4515,127.151474,0.15244431003188955,2.1154016463294805,0.5148997681562193,1.7497876432204003,1.2829158754962575,0.6406595010414018,1.4022933244713005,1.9092966135543625,0.5318273760798209,-0.9545805443213993,0
성남수정초등학교,37.436212,127.132786,0.5608800086078953,-0.7729352169280795,1.4200468158916364,-1.7449314629334605,-0.6570708043562525,1.2350759035960424,0.2205387127506794,0.22607274615047493,0.5318273760798209,-1.646130775665628,0
수진초등학교,37.444944,127.133465,0.969315707183901,1.4357929726218193,0.9171873449275157,-0.5000874003977321,1.7741267617662628,1.5545690778473806,0.81141601861099,2.451173666456634,0.5318273760798209,-1.5450480132614453,0
희망대초등학교,37.447498,127.149115,-1.4812984842721335,0.07657562520649694,-0.2896753853863736,1.472943757966779,0.18988180950271666,0.41277628392798577,1.4022933244713005,0.22607274615047493,-1.5428838163194802,-0.28016829142392025,0
성남서초등학교,37.448545,127.129403,1.377751405759907,-0.6030330485011642,-0.2896753853863736,0.22809969543105096,-0.32435732613726603,0.052158491184618974,0.5159773656808347,0.22607274615047493,0.9467696145596811,-1.5450480132614453,0
성남신흥초등학교,37.450552,127.143485,1.377751405759907,-0.09332654322041836,0.4143278739633952,1.472943757966779,0.6668607860605149,1.3793806190327003,0.81141601861099,0.22607274615047493,0.9467696145596811,-0.28016829142392025,0
단대초등학교,37.453611,127.157748,-0.664427087120122,0.9260864673410735,0.5148997681562193,0.7447566621379961,0.07549112484458337,0.6406595010414018,-0.07489994017947589,0.22607274615047493,0.5318273760798209,-0.6672626072714908,0
복정초등학교,37.46247,127.130386,-1.4812984842721335,0.4163799620603275,0.11261219138492287,-0.5000874003977321,-0.18009182779845417,-0.5422579113700216,-1.2566545519000971,0.22607274615047493,-1.5428838163194802,-1.296665582118781,0
성남양지초등학교,37.459218,127.160884,0.969315707183901,0.07657562520649694,-1.1948224331217907,-0.5000874003977321,-0.32435732613726603,0.8416667440515492,-0.07489994017947589,0.22607274615047493,0.5318273760798209,-1.20180724301554,0
위례고운초등학교,37.471437,127.145794,-1.4812984842721335,0.4163799620603275,-0.08853159700072535,0.7447566621379961,0.9691512583963652,-1.2342202390808072,0.5159773656808347,0.22607274615047493,-1.5428838163194802,1.3601792024364738,0
위례한빛초등학교,37.465766,127.147017,-1.4812984842721335,-0.6030330485011642,0.012040297192098757,0.22809969543105096,0.07549112484458337,-1.2342202390808072,-0.3703385931096312,0.22607274615047493,-1.5428838163194802,1.3601792024364738,0
위례푸른초등학교,37.470731,127.150981,-1.4812984842721335,0.24647779363341224,0.5148997681562193,0.7447566621379961,1.1018626521292425,-1.033212996070659,0.2205387127506794,0.22607274615047493,-1.5428838163194802,1.3601792024364738,3
위례중앙초등학교,37.471899,127.135874,-1.4812984842721335,-0.26322871164733364,-0.08853159700072535,-0.5000874003977321,-0.18009182779845417,-0.8534058900941088,-0.6657772460397865,0.22607274615047493,-1.5428838163194802,1.3601792024364738,0
금상초등학교,37.443599,127.165995,0.5608800086078953,0.07657562520649694,-0.8931067505433183,2.2011308537955623,0.29688714875934413,1.595693696339409,1.9931706303316112,1.210695588900589,-0.29805710087989956,-0.0063688930671178924,0
상원초등학교,37.453884,127.162776,0.15244431003188955,0.9260864673410735,1.0177592391203398,1.1455069396219675,0.07549112484458337,0.963617831985102,-0.07489994017947589,1.210695588900589,0.11688513759996066,-1.220494860377597,0
불정초등학교,37.361254,127.119496,0.969315707183901,-1.2826417222088256,-0.6919629621576701,0.22809969543105096,-0.6570708043562525,-0.2791860437828,-0.9612158989699418,0.22607274615047493,0.11688513759996066,0.08863355848402521,0
상탑초등학교,37.406207,127.145695,0.5608800086078953,-0.6030330485011642,0.5148997681562193,-0.5000874003977321,1.2247342110394028,-0.8534058900941088,-0.07489994017947589,1.210695588900589,0.11688513759996066,-0.1397215984436386,0
서현초등학교,37.382576,127.12855,0.15244431003188955,-0.26322871164733364,-0.6919629621576701,-0.5000874003977321,0.07549112484458337,-0.5422579113700216,-0.9612158989699418,0.22607274615047493,0.5318273760798209,0.45590766638928365,0
성남신기초등학교,37.366582,127.11106,1.377751405759907,-0.43313088007424894,-0.49081917377202183,0.22809969543105096,-0.18009182779845417,-0.2791860437828,-0.07489994017947589,0.22607274615047493,0.9467696145596811,0.08863355848402521,0
성남장안초등학교,37.372662,127.144459,0.15244431003188955,0.07657562520649694,0.3137559797705711,-0.5000874003977321,0.898587106952502,-0.05130282666938391,-1.2566545519000971,0.22607274615047493,0.11688513759996066,0.13367322274751595,0
안말초등학교,37.393154,127.125984,1.377751405759907,-0.6030330485011642,0.7160435565418676,0.22809969543105096,0.29688714875934413,-0.05130282666938391,1.6977319774014559,0.22607274615047493,1.3617118530395413,0.6483569154952137,0
야탑초등학교,37.416616,127.125627,0.969315707183901,-1.1127395537819103,0.4143278739633952,1.7497876432204003,0.29688714875934413,-0.5422579113700216,0.5159773656808347,0.22607274615047493,0.9467696145596811,-0.1397215984436386,0
