,mean,std,min,max,skewness,kurtosis,zero_ratio,skew_판정
도로안전표지,3.6267605633802815,2.4570326187865805,0.0,13.0,0.5477693830574996,0.8498536732752497,0.13380281690140844,약간 치우침
도로적색표면,9.549295774647888,5.9065746091981755,0.0,30.0,0.7950901609206227,0.727991041841149,0.02112676056338028,약간 치우침
무단횡단방지펜스,16.880281690140844,9.978332834758652,0.0,45.0,0.3806710778048327,-0.48423690669524655,0.04225352112676056,대칭
무인교통단속카메라,2.0774647887323945,1.7788112360913932,0.0,10.0,1.4381404291905733,2.7702809856779376,0.14084507042253522,강하게 치우침
보호구역표지판,14.704225352112676,9.02697983815748,0.0,70.0,2.0032063429932547,9.016876879669502,0.007042253521126761,강하게 치우침
생활안전CCTV,18.471830985915492,11.659892863498058,2.0,67.0,1.4107505608016124,2.613936734767304,0.0,강하게 치우침
신호등,5.253521126760563,3.3967790745220356,0.0,17.0,0.6435674293463081,0.38166687947568967,0.06338028169014084,약간 치우침
옐로카펫,0.9788732394366197,0.8118651135140644,0.0,4.0,1.0067535665574283,1.893470917746026,0.2676056338028169,강하게 치우침
횡단보도,3.7183098591549295,2.418504893005338,0.0,10.0,0.18313050927104127,-0.4985616824533481,0.13380281690140844,대칭
어린이 비율(%),10.283243424817014,3.4865928059190923,4.564100521725278,17.447373411720083,0.1993901695150505,-0.5919748989340081,0.0,대칭
