시설물명,p_wide,p_barrier_yes,parked_density,sidewalk_ratio,road_width_relative,도로안전표지,도로적색표면,무단횡단방지펜스,무인교통단속카메라,보호구역표지판,생활안전CCTV,신호등,옐로카펫,횡단보도,어린이 비율(%),발생건수,accident_label,risk_probability,safety_score
분당중앙유치원,0.99582565,0.95115435,0.0,0.198122436058392,0.36275086,4,15,29,3,34,21,2,2,4,11.867200868077292,0,0,0.323704756056512,67.62952439434879
분당초등학교,0.9439319,0.41846967,5.0,0.0,0.0,2,3,12,2,11,4,5,1,3,11.867200868077292,3,1,0.2929908727353186,70.70091272646815
불곡초등학교,0.99179125,0.93507916,0.0,0.409800754681076,0.47441828,4,8,7,1,9,4,1,1,4,9.478103017926026,0,0,0.0023562166069789063,99.76437833930211
불정초등학교,0.9829593,0.90074426,0.0,0.2545338290088479,0.41289324,6,2,10,2,8,13,2,1,4,10.59118249896178,0,0,0.011992193056727418,98.80078069432726
뽀뽀뽀유치원,0.56510025,0.29982644,0.0,0.2260031351560192,0.42555237,6,14,39,2,12,9,4,1,6,9.797809460541332,0,0,0.0005793978608572699,99.94206021391427
산성3어린이집,0.8538548,0.42823485,0.0,0.0,0.46716678,4,0,0,0,0,14,4,0,4,6.966749604161953,0,0,0.005617914510332776,99.43820854896673
산성어린이집,0.14388505,0.24243656,3.0,0.0,0.45205116,2,15,14,4,20,19,7,2,2,6.966749604161953,0,0,0.020666327777080194,97.93336722229198
산운초등학교,0.74091697,0.95616806,0.0,0.28481947753339,0.44845197,5,23,18,5,19,23,7,1,4,16.51335389118277,0,0,0.007082899879581912,99.29171001204182
삼평어린이집,0.5923061,0.69403756,0.0,0.1806803072641924,0.3633142,4,8,34,3,13,9,4,1,6,14.343237400924004,0,0,0.0023575791402037608,99.76424208597963
상대원초등학교,0.20583484,0.33007234,1.0,0.0,0.42129442,2,8,30,1,21,5,3,1,2,6.4828798154809295,0,0,0.007471757421843985,99.2528242578156
상원초등학교,0.2390905,0.41150194,0.0,0.0,0.4521258,4,15,27,4,13,28,5,2,4,6.042884990253411,0,0,0.0033397167408694907,99.66602832591305
상탑초등학교,0.99454474,0.9093114,0.0,0.0,0.45349944,5,6,22,1,27,9,5,2,4,9.797809460541332,0,0,0.06964390703948771,93.03560929605122
샛별유치원,0.9838,0.7901973,0.0,0.174933839032965,0.4986974,2,4,6,1,4,7,4,1,2,10.74766355140187,0,0,0.0021949128883795898,99.78050871116204
서광어린이집,0.9047284,0.8830446,0.0,0.3240590911028034,0.4679925,2,2,11,0,16,4,6,0,4,9.797809460541332,0,0,0.016392471147850154,98.36075288521499
서당초등학교,0.69857645,0.59141445,0.0,0.2254009020283098,0.0,4,7,35,2,16,13,4,1,4,11.867200868077292,0,0,0.05560897305343932,94.43910269465606
서울국제학교,0.25118303,0.116102904,1.0,0.0,0.3734712,1,4,6,1,8,16,1,0,1,5.778245479766574,0,0,0.019012481302920804,98.09875186970793
서현어린이집,0.98792815,0.91101396,0.0,0.231746169708402,0.44095105,1,7,8,2,12,12,3,1,1,11.867200868077292,0,0,0.01705126429587343,98.29487357041266
서현초등학교,0.5481838,0.30093825,3.0,0.0,0.40504596,4,8,10,1,13,11,2,1,5,11.867200868077292,0,0,0.01624795693873661,98.37520430612634
선경유치원,0.20263761,0.06048888,1.0,0.0,0.3322472,1,17,27,3,22,25,6,2,1,6.042884990253411,0,0,0.03356365942436204,96.6436340575638
성남동초등학교,0.08361152,0.062282324,2.0,0.0,0.0,1,16,15,0,18,25,4,1,1,10.261116015425358,0,0,0.11955632698592229,88.04436730140776
성남매송초등학교,0.1757659,0.31702277,0.0,0.0,0.4251048,2,3,18,1,7,10,2,1,2,12.535826212734042,0,0,0.0012144759847535183,99.87855240152464
성남북초등학교,0.5309843,0.862272,0.0,0.0,0.41552716,4,22,22,6,28,23,10,3,5,6.966749604161953,0,0,0.02520994119266014,97.47900588073398
성남생명숲어린이집,0.55308306,0.15754968,3.0,0.0,0.47550032,1,8,6,0,9,25,1,0,1,10.59118249896178,0,0,0.047713679485445123,95.22863205145549
성남서초등학교,0.65698427,0.61983776,0.0,0.2465784087663328,0.43095735,7,6,14,2,10,16,7,1,6,4.915291795088737,0,0,0.005183125611917036,99.4816874388083
성남송현초등학교,0.7186433,0.93734926,0.0,0.166043499817932,0.4808179,4,9,38,3,14,8,4,1,6,14.343237400924004,0,0,0.0013336437007549478,99.8666356299245
성남수정초등학교,0.4271981,0.82671666,1.0,0.2183011749178035,0.27562046,5,5,31,0,8,33,6,1,5,4.564100521725278,0,0,0.014906493382780477,98.50935066172195
성남신기초등학교,0.04158023,0.033008575,0.0,0.0,0.0,7,7,12,2,11,13,5,1,6,10.59118249896178,0,0,0.013362441628453287,98.66375583715468
성남양지초등학교,0.009993672,0.03202471,0.0,0.0,0.0,6,10,5,1,10,26,5,1,5,6.1078112742351225,0,0,0.03508578671709672,96.49142132829033
성남어린이집,0.43321294,0.3302567,0.0,0.0,0.42211992,8,19,27,4,30,67,5,3,6,4.915291795088737,3,1,0.6822364844476483,31.776351555235173
성남여수초등학교,0.2438027,0.20164773,3.0,0.0,0.43479198,4,16,36,3,26,11,5,1,4,11.894273127753303,0,0,0.016272706529246114,98.37272934707539
성남은행초등학교,0.30465794,0.37877887,2.0,0.1839698314629286,0.47128093,3,10,2,1,23,11,1,1,3,6.042884990253411,0,0,0.04722826021107597,95.2771739788924
성남장안초등학교,0.06789851,0.4178446,0.0,0.0,0.2841161,4,10,20,1,22,15,1,1,4,10.74766355140187,0,0,0.020303416793784734,97.96965832062152
성남정자초등학교,0.94132876,0.7911638,0.0,0.237616898841296,0.41141486,2,6,6,2,4,2,2,1,2,10.59118249896178,0,0,0.0018937431999639343,99.81062568000361
성남제일초등학교,0.8163029,0.83259284,0.0,0.1493639671905612,0.43964076,4,30,34,5,70,16,12,0,4,11.492312330419054,0,0,0.9777565702712383,2.22434297287617
성남중앙초등학교,0.1751858,0.050835103,2.0,0.0,0.28582168,6,16,13,5,13,16,5,1,6,5.129574367834145,0,0,0.010353151801336781,98.96468481986632
성남초등학교,0.12234968,0.1552693,3.0,0.0,0.4045322,7,12,30,3,16,40,5,2,5,4.915291795088737,0,0,0.04405461727662947,95.59453827233705
성남혜은학교,0.11991006,0.08628425,1.0,0.0,0.304147,5,21,18,5,24,26,7,3,6,7.964976698206468,0,0,0.022294250810650153,97.77057491893498
성남화랑초등학교,0.9796159,0.93746924,0.0,0.36663906287991,0.47832203,5,6,20,2,8,6,8,1,4,12.232102143182855,0,0,0.0012343017077225242,99.87656982922775
성마르코유치원,0.27112055,0.32435754,1.0,0.1989497213326809,0.32539874,4,8,6,0,17,23,8,0,6,9.797809460541332,0,0,0.04421520422531749,95.57847957746826
성수초등학교,0.16070604,0.13041168,2.0,0.0,0.30538607,3,5,8,5,3,29,3,1,3,4.564100521725278,0,0,0.02842000674774444,97.15799932522555
성은특수학교,0.8901919,0.8363108,0.0,0.2483197978316,0.3813871,4,6,13,0,14,10,4,0,4,9.797809460541332,0,0,0.01806442677066994,98.193557322933
성체유치원,0.35524505,0.2945025,0.0,0.0,0.0,3,3,12,2,13,36,3,0,2,4.564100521725278,3,1,0.6256665589873902,37.43334410126098
성현어린이집,0.05173397,0.033171892,2.0,0.0,0.3360579,4,3,7,2,12,33,3,0,3,4.564100521725278,0,0,0.16977532593835126,83.02246740616488
세화유치원,0.3808244,0.20425653,1.0,0.0,0.0,5,6,37,1,22,11,3,1,5,11.867200868077292,0,0,0.11015443946601344,88.98455605339865
수내동어린이집,0.4390271,0.51074547,0.0,0.3156591153604572,0.41343677,4,1,3,2,4,15,3,0,4,14.841620226291283,0,0,0.004077950420103266,99.59220495798967
수내초등학교,0.9975542,0.9294025,0.0,0.280048857175776,0.5347605,3,6,11,1,7,14,9,2,3,14.841620226291283,0,0,0.0014273534156113035,99.85726465843887
수진초등학교,0.086028844,0.23287302,2.0,0.0,0.39732486,6,18,26,1,38,40,8,4,5,4.915291795088737,0,0,0.28276673558195087,71.72332644180491
숲리라유치원,0.83339345,0.6105318,0.0,0.0,0.39254397,0,17,28,2,29,14,7,2,0,17.447373411720083,0,0,0.04631768681683282,95.36823131831672
신백현초등학교,0.76931393,0.8816756,0.0,0.23671822428702,0.19808236,5,8,35,0,16,22,6,2,6,12.232102143182855,0,0,0.016453865937670984,98.3546134062329
