,image,p_wide,p_narrow,p_barrier_yes,p_barrier_no,시설물명,road_width_relative,sidewalk_ratio,parked_density,위도,경도,도로안전표지,도로적색표면,무단횡단방지펜스,무인교통단속카메라,보호구역표지판,생활안전CCTV,신호등,옐로카펫,횡단보도,동,발생건수,사상자수,사망및중상자수,사망자수,중상자수,경상자수,총인구수,0~4세,5~9세,10~14세,어린이 총인구,어린이 비율(%),accident_label
22,미금초등학교_북쪽.png,0.9749359,0.025346756,0.92173415,0.07831854,미금초등학교,0.47187972,0.25741288209975,0,37.347422,127.115303,3,9,16,1,15,8,10,2,5,구미동,0,0,0,0,0,0,44070,1127,1239,1811,4177,9.478103017926026,0
23,미래유치원_북쪽.png,0.38155922,0.6259513,0.2708698,0.726864,미래유치원,0.39063835,0.21170892212583,0,37.452885,127.150066,2,14,14,4,20,18,6,2,2,산성동,0,0,0,0,0,0,4421,56,110,142,308,6.966749604161953,0
24,배성유치원_북쪽.png,0.37325287,0.6280198,0.6127565,0.3843397,배성유치원,0.33800584,0.229659997846536,0,37.405999,127.142401,3,6,17,1,17,8,2,2,2,야탑동,0,0,0,0,0,0,58707,1716,1822,2214,5752,9.797809460541332,0
25,백현초등학교_북쪽.png,0.989079,0.010683209,0.93788016,0.060088903,백현초등학교,0.4826703,0.3217888529589236,0,37.372193,127.111168,3,11,21,1,13,18,8,1,3,정자동,0,0,0,0,0,0,74647,1555,2501,3850,7906,10.59118249896178,0
26,보듬이나눔이어린이집_북쪽.png,0.9251904,0.073753536,0.92796946,0.072243184,보듬이나눔이어린이집,0.4189101,0.2832356174701885,0,37.4065,127.151955,0,2,9,0,11,3,4,0,2,야탑동,0,0,0,0,0,0,58707,1716,1822,2214,5752,9.797809460541332,0
27,보평초등학교_북쪽.png,0.9008262,0.098811775,0.9568554,0.044025272,보평초등학교,0.47189045,0.325572188685869,0,37.396039,127.117758,5,15,16,2,8,17,7,1,4,삼평동,0,0,0,0,0,0,23593,923,1095,1366,3384,14.343237400924004,0
28,복정2어린이집_북쪽.png,0.40970623,0.6011587,0.25510228,0.74184775,복정2어린이집,0.4458895,0.0,1,37.463264,127.129126,1,14,22,2,14,16,1,1,1,복정동,0,0,0,0,0,0,10453,236,183,185,604,5.778245479766574,0
29,복정어린이집_북쪽.png,0.019514322,0.9805684,0.18785593,0.8139975,복정어린이집,0.38997704,0.0,0,37.461129,127.130488,0,12,18,1,9,8,1,1,0,복정동,0,0,0,0,0,0,10453,236,183,185,604,5.778245479766574,0
30,분당어린이집_북쪽.png,0.9266169,0.07539004,0.89957464,0.09744093,분당어린이집,0.38440418,0.2917088271942888,0,37.368598,127.143274,5,6,0,0,5,24,11,0,5,분당동,0,0,0,0,0,0,24396,533,807,1282,2622,10.74766355140187,0
31,분당중앙유치원_북쪽.png,0.99582565,0.00424096,0.95115435,0.047694087,분당중앙유치원,0.36275086,0.198122436058392,0,37.373451,127.141671,4,15,29,3,34,21,2,2,4,서현동,0,0,0,0,0,0,47922,1009,1736,2942,5687,11.867200868077292,0
