보호구역아이디,시도명,시군구명,읍면동명,관리번호,교육시설명칭,관할경찰서명,경도,위도,데이터기준일자
1,경기도,광명시,철산동,0004-R-0003,광덕초등학교,광명경찰서,126.866812089,37.473375808,2021-10-14
1,경기도,광명시,철산동,0004-R-0001,광덕초등학교,광명경찰서,126.867837837,37.471998762,2021-10-14
23,경기도,광명시,하안동,0023-R-0004,안현초등학교,광명경찰서,126.868372754,37.471049654,2021-10-14
23,경기도,광명시,하안동,0023-R-0005,안현초등학교,광명경찰서,126.868415562,37.470454238,2021-10-14
23,경기도,광명시,하안동,0023-R-0006,안현초등학교,광명경찰서,126.869014527,37.47021669,2021-10-14
23,경기도,광명시,하안동,0023-R-0007,안현초등학교,광명경찰서,126.869564355,37.470224053,2021-10-14
1,경기도,광명시,철산동,0004-R-0002,광덕초등학교,광명경찰서,126.867587595,37.473086198,2021-10-14
45,경기도,광명시,철산동,0045-R-0001,구름산어린이집,광명경찰서,126.864962859,37.466753541,2021-10-14
31,경기도,광명시,하안동,0031-R-0001,예원유치원,광명경찰서,126.878143577,37.461824384,2021-10-14
46,경기도,광명시,철산동,0046-R-0008,홍익어린이집,광명경찰서,126.864449307,37.475191125,2021-10-14
31,경기도,광명시,하안동,0031-R-0002,예원유치원,광명경찰서,126.877953296,37.461497415,2021-10-14
45,경기도,광명시,철산동,0045-R-0003,구름산어린이집,광명경찰서,126.864674559,37.468442146,2021-10-14
45,경기도,광명시,철산동,0045-R-0004,구름산어린이집,광명경찰서,126.865226927,37.468298192,2021-10-14
45,경기도,광명시,철산동,0045-R-0006,구름산어린이집,광명경찰서,126.865636276,37.468871051,2021-10-14
23,경기도,광명시,하안동,0023-R-0001,안현초등학교,광명경찰서,126.865912603,37.469288657,2021-10-14
23,경기도,광명시,하안동,0023-R-0008,안현초등학교,광명경찰서,126.866619903,37.470785729,2021-10-14
47,경기도,광명시,철산동,0047-R-0001,마리아어린이집,광명경찰서,126.865200988,37.471157007,2021-10-14
46,경기도,광명시,철산동,0046-R-0003,홍익어린이집,광명경찰서,126.865273553,37.473615374,2021-10-14
46,경기도,광명시,철산동,0046-R-0004,홍익어린이집,광명경찰서,126.865034756,37.473841421,2021-10-14
46,경기도,광명시,철산동,0046-R-0005,홍익어린이집,광명경찰서,126.864473826,37.474220372,2021-10-14
