보호구역 아이디,시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,관리번호,횡단보도종류,자전거횡단도겸용여부,고원식 적용여부,경도,위도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,보행자작동신호기유무,음향신호기설치여부,녹색신호시간,적색신호시간,교통섬유무,보도턱낮춤여부,점자블록유무,집중조명시설유무,관리기관명,관리기관 전화번호,데이터기준일자
21,경기도,광명시,소하일로,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,0021-W-0006,1,N,Y,126.888087981,37.448941562,2,4,15,Y,N,Y,25,55,N,Y,Y,Y,광명경찰서,182,2021-10-26
21,경기도,광명시,소하일로,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,0021-W-0007,1,N,Y,126.888117592,37.448585762,2,4,15,Y,N,N,25,55,N,Y,Y,Y,광명경찰서,182,2021-10-26
21,경기도,광명시,소하일로,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,0021-W-0008,1,N,Y,126.888165317,37.448066795,2,4,15,Y,N,Y,25,55,N,Y,Y,N,광명경찰서,182,2021-10-26
21,경기도,광명시,소하일로,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,0021-W-0010,1,N,Y,126.888175997,37.447923792,2,4,15,Y,N,Y,25,55,N,Y,Y,N,광명경찰서,182,2021-10-26
21,경기도,광명시,소하일로,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,0021-W-0011,1,N,Y,126.888230681,37.447425092,2,4,18,Y,N,Y,24,56,N,Y,Y,N,광명경찰서,182,2021-10-26
21,경기도,광명시,소하일로,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,0021-W-0012,1,N,Y,126.888341065,37.44734065,2,4,18,Y,N,Y,24,56,N,Y,Y,N,광명경찰서,182,2021-10-26
21,경기도,광명시,소하일로,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,0021-W-0020,1,N,Y,126.88824481,37.447236799,2,4,18,Y,N,Y,24,56,N,Y,Y,N,광명경찰서,182,2021-10-26
21,경기도,광명시,소하일로,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,0021-W-0016,1,N,N,126.889851649,37.447413799,3,4,20,Y,N,N,30,90,N,Y,Y,Y,광명경찰서,182,2021-10-26
21,경기도,광명시,소하일로,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,0021-W-0019,1,N,N,126.890092392,37.447468732,5,6,20,Y,N,Y,30,90,N,Y,Y,Y,광명경찰서,182,2021-10-26
21,경기도,광명시,소하일로,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,0021-W-0017,1,N,N,126.890015084,37.447347485,2,4,18,Y,N,Y,30,90,N,Y,N,Y,광명경찰서,182,2021-10-26
21,경기도,광명시,소하일로,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,0021-W-0018,1,N,N,126.889913306,37.447528726,1,4,20,Y,N,N,30,90,N,Y,Y,Y,광명경찰서,182,2021-10-26
21,경기도,광명시,소하일로,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,0021-W-0014,2,N,N,126.889987255,37.447434769,5,3,31,Y,N,Y,30,90,N,Y,Y,Y,광명경찰서,182,2021-10-26
21,경기도,광명시,소하일로,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,0021-W-0015,2,N,N,126.8899787,37.447443905,5,3,25,Y,N,Y,30,90,N,Y,Y,Y,광명경찰서,182,2021-10-26
21,경기도,광명시,소하일로,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,0021-W-0021,1,N,Y,126.888352998,37.445761207,3,4,15,Y,N,Y,22,38,N,Y,Y,Y,광명경찰서,182,2021-10-26
21,경기도,광명시,소하일로,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,0021-W-0022,1,N,Y,126.888286106,37.445703337,2,2,12,Y,N,Y,22,38,N,Y,Y,Y,광명경찰서,182,2021-10-26
21,경기도,광명시,소하일로,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,0021-W-0023,1,N,Y,126.888364449,37.445595327,3,4,15,Y,N,Y,22,38,N,Y,Y,Y,광명경찰서,182,2021-10-26
21,경기도,광명시,소하일로,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,0021-W-0024,1,N,Y,126.888432455,37.445661123,2,2,4,Y,N,Y,22,38,N,Y,Y,Y,광명경찰서,182,2021-10-26
21,경기도,광명시,소하일로,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,0021-W-0025,1,N,Y,126.888382728,37.445151549,3,6,15,Y,N,N,40,140,N,Y,Y,Y,광명경찰서,182,2021-10-26
21,경기도,광명시,소하일로,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,0021-W-0028,1,Y,Y,126.888591461,37.444994197,5,6,27,Y,N,Y,40,140,N,Y,Y,Y,광명경찰서,182,2021-10-26
21,경기도,광명시,소하일로,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,0021-W-0026,1,Y,Y,126.888247693,37.445020722,5,6,24,Y,N,Y,40,140,N,Y,Y,Y,광명경찰서,182,2021-10-26
21,경기도,광명시,소하일로,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,0021-W-0031,2,N,Y,126.888426234,37.444997735,5,4,28,Y,N,Y,40,140,N,Y,Y,Y,광명경찰서,182,2021-10-26
21,경기도,광명시,소하일로,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,0021-W-0032,2,N,Y,126.888404852,37.445001187,5,4,25,Y,N,N,40,140,N,Y,Y,Y,광명경찰서,182,2021-10-26
21,경기도,광명시,소하일로,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,0021-W-0029,2,N,N,126.886922659,37.445286366,5,6,25,Y,N,N,30,70,N,Y,Y,N,광명경찰서,182,2021-10-26
38,경기도,광명시,한내로,경기도 광명시 한내로13번길 17,경기도 광명시 소하동 1283-1,0038-W-0001,1,N,N,126.881546097,37.455777024,1,4,5,N,N,N,30,60,N,Y,Y,N,광명경찰서,182,2021-10-12
38,경기도,광명시,한내로,경기도 광명시 한내로13번길 17,경기도 광명시 소하동 1283-1,0038-W-0003,1,N,N,126.881668452,37.455823496,1,4,5,N,N,N,30,60,N,Y,Y,N,광명경찰서,182,2021-10-12
38,경기도,광명시,한내로,경기도 광명시 한내로13번길 17,경기도 광명시 소하동 1283-1,0038-W-0004,1,N,N,126.882109237,37.455989081,1,4,5,N,N,N,30,60,N,Y,Y,N,광명경찰서,182,2021-10-12
38,경기도,광명시,한내로,경기도 광명시 한내로13번길 17,경기도 광명시 소하동 1283-1,0038-W-0005,1,N,N,126.882216773,37.455961415,1,4,5,N,N,N,30,60,N,Y,Y,N,광명경찰서,182,2021-10-12
38,경기도,광명시,한내로,경기도 광명시 한내로13번길 17,경기도 광명시 소하동 1283-1,0038-W-0008,1,N,N,126.882438878,37.455583504,1,4,5,N,N,N,30,60,N,Y,Y,N,광명경찰서,182,2021-10-12
38,경기도,광명시,한내로,경기도 광명시 한내로13번길 17,경기도 광명시 소하동 1283-1,0038-W-0006,1,N,N,126.882380056,37.455681237,1,4,5,N,N,N,30,60,N,Y,Y,N,광명경찰서,182,2021-10-12
22,경기도,광명시,한내일로,경기도 광명시 한내일로 5,경기도 광명시 소하동 1287,0022-W-0001,1,N,Y,126.884349325,37.453971166,2,6,8,Y,N,Y,22,38,N,Y,Y,Y,광명경찰서,182,2021-10-26
21,경기도,광명시,소하일로,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,0021-W-0030,1,N,N,126.888458604,37.444464305,4,4,21,N,N,N,30,60,N,Y,Y,N,광명경찰서,182,2021-10-26
12,경기도,광명시,금당로,경기도 광명시 금당로 71,경기도 광명시 하안동 111,0012-W-0001,1,N,Y,126.886376472,37.461548661,4,5,21,Y,N,Y,25,135,N,Y,Y,Y,광명경찰서,182,2021-10-14
21,경기도,광명시,소하일로,경기도 광명시 소하일로 45,경기도 광명시 소하동 1328,0021-W-0027,1,N,Y,126.888436209,37.444863404,4,6,24,Y,N,N,40,140,N,Y,Y,Y,광명경찰서,182,2021-10-26
