보호구역아이디,시도명,시군구명,읍면동명,관리번호,교육시설명칭,관할경찰서명,위도,경도,데이터기준일자
24,경기도,광명시,소하동,0024-S-0003,충현초등학교,광명경찰서,126.88603809,37.432038158,2021-11-26
24,경기도,광명시,소하동,0024-S-0004,충현초등학교,광명경찰서,126.883682119,37.430674157,2021-11-26
24,경기도,광명시,소하동,0024-S-0005,충현초등학교,광명경찰서,126.882704304,37.432004382,2021-11-26
41,경기도,광명시,소하동,0041-S-0002,아란유치원,광명경찰서,126.879758041,37.436774541,2021-11-26
5,경기도,광명시,소하동,0005-S-0001,서면초등학교,광명경찰서,126.881487869,37.439036736,2021-11-26
5,경기도,광명시,소하동,0005-S-0002,서면초등학교,광명경찰서,126.879060092,37.439107702,2021-11-26
51,경기도,광명시,소하동,0051-S-0001,큰별어린이집,광명경찰서,126.877440669,37.436286315,2021-11-26
51,경기도,광명시,소하동,0051-S-0002,큰별어린이집,광명경찰서,126.87713006,37.436095277,2021-11-26
51,경기도,광명시,소하동,0051-S-0003,큰별어린이집,광명경찰서,126.877369441,37.43596584,2021-11-26
49,경기도,광명시,소하동,0049-S-0001,광명생명숲어린이집,광명경찰서,126.877054552,37.432544086,2021-11-26
49,경기도,광명시,소하동,0049-S-0002,광명생명숲어린이집,광명경찰서,126.876930408,37.432410456,2021-11-26
49,경기도,광명시,소하동,0049-S-0003,광명생명숲어린이집,광명경찰서,126.877108906,37.431479953,2021-11-26
49,경기도,광명시,소하동,0049-S-0004,광명생명숲어린이집,광명경찰서,126.879227101,37.431924595,2021-11-26
49,경기도,광명시,소하동,0049-S-0005,광명생명숲어린이집,광명경찰서,126.878818833,37.432980738,2021-11-26
39,경기도,광명시,일직동,0039-S-0001,빛가온유치원,광명경찰서,126.887196124,37.415753133,2021-11-26
39,경기도,광명시,일직동,0039-S-0002,빛가온유치원,광명경찰서,126.887512769,37.415066859,2021-11-26
39,경기도,광명시,일직동,0039-S-0003,빛가온유치원,광명경찰서,126.889784504,37.418150962,2021-11-26
39,경기도,광명시,일직동,0039-S-0004,빛가온유치원,광명경찰서,126.889095468,37.418417319,2021-11-26
25,경기도,광명시,일직동,0025-S-0001,빛가온초등학교,광명경찰서,126.885065763,37.41414907,2021-11-26
25,경기도,광명시,일직동,0025-S-0002,빛가온초등학교,광명경찰서,126.885946665,37.413478604,2021-11-26
25,경기도,광명시,일직동,0025-S-0003,빛가온초등학교,광명경찰서,126.885019168,37.413348019,2021-11-26
25,경기도,광명시,일직동,0025-S-0004,빛가온초등학교,광명경찰서,126.881827163,37.411864918,2021-11-26
25,경기도,광명시,일직동,0025-S-0005,빛가온초등학교,광명경찰서,126.881933477,37.411155562,2021-11-26
25,경기도,광명시,일직동,0025-S-0006,빛가온초등학교,광명경찰서,126.881052084,37.412131143,2021-11-26
25,경기도,광명시,일직동,0025-S-0007,빛가온초등학교,광명경찰서,126.880754085,37.413092049,2021-11-26
25,경기도,광명시,일직동,0025-S-0008,빛가온초등학교,광명경찰서,126.879421362,37.415180941,2021-11-26
25,경기도,광명시,일직동,0025-S-0009,빛가온초등학교,광명경찰서,126.881945086,37.41594635,2021-11-26
25,경기도,광명시,일직동,0025-S-0010,빛가온초등학교,광명경찰서,126.881631324,37.411037175,2021-11-26
25,경기도,광명시,일직동,0025-S-0011,빛가온초등학교,광명경찰서,126.880748078,37.411960723,2021-11-26
25,경기도,광명시,일직동,0025-S-0012,빛가온초등학교,광명경찰서,126.879388252,37.415481241,2021-11-26
25,경기도,광명시,일직동,0025-S-0013,빛가온초등학교,광명경찰서,126.882310358,37.415828337,2021-11-26
25,경기도,광명시,일직동,0025-S-0014,빛가온초등학교,광명경찰서,126.880525715,37.413166284,2021-11-26
39,경기도,광명시,일직동,0039-S-0005,빛가온유치원,광명경찰서,126.887189824,37.415152328,2021-11-26
25,경기도,광명시,일직동,0025-S-0015,빛가온초등학교,광명경찰서,126.88466534,37.414285746,2021-11-26
25,경기도,광명시,일직동,0025-S-0016,빛가온초등학교,광명경찰서,126.885813275,37.413251895,2021-11-26
25,경기도,광명시,일직동,0025-S-0017,빛가온초등학교,광명경찰서,126.884616353,37.413371311,2021-11-26
39,경기도,광명시,일직동,0039-S-0006,빛가온유치원,광명경찰서,126.887145069,37.415594406,2021-11-26
49,경기도,광명시,소하동,0049-S-0006,광명생명숲어린이집,광명경찰서,126.879245717,37.431850428,2021-11-26
49,경기도,광명시,소하동,0049-S-0007,광명생명숲어린이집,광명경찰서,126.877040016,37.431538243,2021-11-26
49,경기도,광명시,소하동,0049-S-0008,광명생명숲어린이집,광명경찰서,126.878708622,37.433079991,2021-11-26
24,경기도,광명시,소하동,0024-S-0006,충현초등학교,광명경찰서,126.882709087,37.431788357,2021-11-26
24,경기도,광명시,소하동,0024-S-0007,충현초등학교,광명경찰서,126.886057916,37.431851827,2021-11-26
24,경기도,광명시,소하동,0024-S-0008,충현초등학교,광명경찰서,126.885119577,37.435536487,2021-11-26
5,경기도,광명시,소하동,0005-S-0003,서면초등학교,광명경찰서,126.87878082,37.439056842,2021-11-26
41,경기도,광명시,소하동,0041-S-0003,아란유치원,광명경찰서,126.879495934,37.436838129,2021-11-26
41,경기도,광명시,소하동,0041-S-0001,아란유치원,광명경찰서,126.879845837,37.437024061,2021-11-26
5,경기도,광명시,소하동,0005-S-0006,서면초등학교,광명경찰서,126.879045107,37.438572803,2021-11-26
5,경기도,광명시,소하동,0005-S-0007,서면초등학교,광명경찰서,126.879688955,37.437910726,2021-11-26
5,경기도,광명시,소하동,0005-S-0008,서면초등학교,광명경찰서,126.879712953,37.437860688,2021-11-26
39,경기도,광명시,일직동,0039-S-0007,빛가온유치원,광명경찰서,126.88912689,37.417985449,2021-11-26
39,경기도,광명시,일직동,0039-S-0008,빛가온유치원,광명경찰서,126.888646485,37.418449867,2021-11-26
39,경기도,광명시,일직동,0039-S-0009,빛가온유치원,광명경찰서,126.888044707,37.416114225,2021-11-26
17,경기도,광명시,하안동,0017-S-0004,하안초등학교,광명경찰서,126.875222977,37.464747924,2021-10-14
31,경기도,광명시,하안동,0031-S-0004,예원유치원,광명경찰서,126.877010189,37.460876117,2021-10-14
31,경기도,광명시,하안동,0031-S-0001,예원유치원,광명경찰서,126.87781228,37.461726819,2021-10-14
31,경기도,광명시,하안동,0031-S-0003,예원유치원,광명경찰서,126.877071299,37.461301116,2021-10-14
17,경기도,광명시,하안동,0017-S-0006,하안초등학교,광명경찰서,126.873435592,37.462883085,2021-10-14
17,경기도,광명시,하안동,0017-S-0001,하안초등학교,광명경찰서,126.875143866,37.462525228,2021-10-14
17,경기도,광명시,하안동,0017-S-0005,하안초등학교,광명경찰서,126.873702615,37.463172819,2021-10-14
31,경기도,광명시,하안동,0031-S-0002,예원유치원,광명경찰서,126.877876098,37.461357312,2021-10-14
26,경기도,광명시,하안동,0026-S-0001,가림유치원,광명경찰서,126.870238162,37.464106778,2021-10-14
26,경기도,광명시,하안동,0026-S-0002,가림유치원,광명경찰서,126.870346215,37.463882807,2021-10-14
26,경기도,광명시,하안동,0026-S-0004,가림유치원,광명경찰서,126.8692935,37.463872112,2021-10-14
26,경기도,광명시,하안동,0026-S-0005,가림유치원,광명경찰서,126.8687434,37.463761842,2021-10-14
26,경기도,광명시,하안동,0026-S-0007,가림유치원,광명경찰서,126.868338033,37.463832908,2021-10-14
26,경기도,광명시,하안동,0026-S-0008,가림유치원,광명경찰서,126.868360113,37.464033183,2021-10-14
26,경기도,광명시,하안동,0026-S-0009,가림유치원,광명경찰서,126.867331094,37.464151228,2021-10-14
26,경기도,광명시,하안동,0026-S-0010,가림유치원,광명경찰서,126.866775242,37.46391221,2021-10-14
26,경기도,광명시,하안동,0026-S-0013,가림유치원,광명경찰서,126.866144341,37.463832828,2021-10-14
26,경기도,광명시,하안동,0026-S-0012,가림유치원,광명경찰서,126.866033379,37.464004345,2021-10-14
26,경기도,광명시,하안동,0026-S-0011,가림유치원,광명경찰서,126.866393669,37.464056007,2021-10-14
10,경기도,광명시,하안동,0010-S-0007,하안북초등학교,광명경찰서,126.869161315,37.465259267,2021-10-14
10,경기도,광명시,하안동,0010-S-0001,하안북초등학교,광명경찰서,126.868967083,37.465831336,2021-10-14
10,경기도,광명시,하안동,0010-S-0002,하안북초등학교,광명경찰서,126.868094827,37.465229617,2021-10-14
10,경기도,광명시,하안동,0010-S-0003,하안북초등학교,광명경찰서,126.867460666,37.465295657,2021-10-14
10,경기도,광명시,하안동,0010-S-0004,하안북초등학교,광명경찰서,126.866515184,37.465518682,2021-10-14
10,경기도,광명시,하안동,0010-S-0005,하안북초등학교,광명경찰서,126.865886386,37.465929197,2021-10-14
10,경기도,광명시,하안동,0010-S-0006,하안북초등학교,광명경찰서,126.865078333,37.46622746,2021-10-14
45,경기도,광명시,철산동,0045-S-0003,구름산어린이집,광명경찰서,126.865561008,37.468505849,2021-10-14
23,경기도,광명시,하안동,0023-S-0001,안현초등학교,광명경찰서,126.865796671,37.469270164,2021-10-14
23,경기도,광명시,하안동,0023-S-0002,안현초등학교,광명경찰서,126.86649007,37.469549868,2021-10-14
23,경기도,광명시,하안동,0023-S-0004,안현초등학교,광명경찰서,126.866767559,37.469926841,2021-10-14
23,경기도,광명시,하안동,0023-S-0006,안현초등학교,광명경찰서,126.867239007,37.470562687,2021-10-14
23,경기도,광명시,하안동,0023-S-0005,안현초등학교,광명경찰서,126.86704801,37.470321696,2021-10-14
23,경기도,광명시,하안동,0023-S-0007,안현초등학교,광명경찰서,126.866864405,37.470973492,2021-10-14
23,경기도,광명시,하안동,0023-S-0009,안현초등학교,광명경찰서,126.867168837,37.471340959,2021-10-14
23,경기도,광명시,하안동,0023-S-0011,안현초등학교,광명경찰서,126.867719267,37.471293898,2021-10-14
23,경기도,광명시,하안동,0023-S-0016,안현초등학교,광명경찰서,126.868584646,37.470737026,2021-10-14
23,경기도,광명시,하안동,0023-S-0018,안현초등학교,광명경찰서,126.868445874,37.469707017,2021-10-14
23,경기도,광명시,하안동,0023-S-0020,안현초등학교,광명경찰서,126.869683087,37.470177901,2021-10-14
23,경기도,광명시,하안동,0023-S-0021,안현초등학교,광명경찰서,126.870956909,37.470501248,2021-10-14
4,경기도,광명시,철산동,0004-S-0003,광덕초등학교,광명경찰서,126.867711857,37.472104423,2021-10-14
47,경기도,광명시,철산동,0047-S-0001,마리아어린이집,광명경찰서,126.866174438,37.471024921,2021-10-14
47,경기도,광명시,철산동,0047-S-0004,마리아어린이집,광명경찰서,126.86546743,37.47274078,2021-10-14
4,경기도,광명시,철산동,0004-S-0001,광덕초등학교,광명경찰서,126.867099109,37.473557928,2021-10-14
47,경기도,광명시,철산동,0047-S-0005,마리아어린이집,광명경찰서,126.865341373,37.472981412,2021-10-14
46,경기도,광명시,철산동,0046-S-0003,홍익어린이집,광명경찰서,126.86438819,37.474098381,2021-10-14
46,경기도,광명시,철산동,0046-S-0004,홍익어린이집,광명경찰서,126.864069033,37.4752566,2021-10-14
26,경기도,광명시,하안동,0026-S-0014,가림유치원,광명경찰서,126.865096043,37.463861435,2021-10-14
26,경기도,광명시,하안동,0026-S-0006,가림유치원,광명경찰서,126.86855046,37.463784274,2021-10-14
26,경기도,광명시,하안동,0026-S-0003,가림유치원,광명경찰서,126.869710798,37.463818934,2021-10-14
31,경기도,광명시,하안동,0031-S-0006,예원유치원,광명경찰서,126.876561145,37.461025176,2021-10-14
31,경기도,광명시,하안동,0031-S-0005,예원유치원,광명경찰서,126.876830061,37.461170876,2021-10-14
17,경기도,광명시,하안동,0017-S-0002,하안초등학교,광명경찰서,126.873964201,37.463683492,2021-10-14
45,경기도,광명시,철산동,0045-S-0002,구름산어린이집,광명경찰서,126.864987225,37.468036158,2021-10-14
45,경기도,광명시,철산동,0045-S-0001,구름산어린이집,광명경찰서,126.864721977,37.467513775,2021-10-14
45,경기도,광명시,철산동,0045-S-0004,구름산어린이집,광명경찰서,126.866191287,37.468955934,2021-10-14
23,경기도,광명시,하안동,0023-S-0003,안현초등학교,광명경찰서,126.86656682,37.469700142,2021-10-14
23,경기도,광명시,하안동,0023-S-0008,안현초등학교,광명경찰서,126.86663846,37.471243291,2021-10-14
23,경기도,광명시,하안동,0023-S-0010,안현초등학교,광명경찰서,126.867674815,37.471473015,2021-10-14
23,경기도,광명시,하안동,0023-S-0014,안현초등학교,광명경찰서,126.868241287,37.471723304,2021-10-14
23,경기도,광명시,하안동,0023-S-0015,안현초등학교,광명경찰서,126.868387399,37.471424583,2021-10-14
23,경기도,광명시,하안동,0023-S-0012,안현초등학교,광명경찰서,126.867968524,37.47128698,2021-10-14
23,경기도,광명시,하안동,0023-S-0019,안현초등학교,광명경찰서,126.869551765,37.470349891,2021-10-14
4,경기도,광명시,철산동,0004-S-0002,광덕초등학교,광명경찰서,126.867928763,37.472412981,2021-10-14
23,경기도,광명시,하안동,0023-S-0013,안현초등학교,광명경찰서,126.867792468,37.471678581,2021-10-14
46,경기도,광명시,철산동,0046-S-0001,홍익어린이집,광명경찰서,126.865242468,37.473425499,2021-10-14
47,경기도,광명시,철산동,0047-S-0003,마리아어린이집,광명경찰서,126.865534988,37.471257371,2021-10-14
47,경기도,광명시,철산동,0047-S-0002,마리아어린이집,광명경찰서,126.865766839,37.471264119,2021-10-14
23,경기도,광명시,하안동,0023-S-0017,안현초등학교,광명경찰서,126.868243214,37.4706201,2021-10-14
46,경기도,광명시,철산동,0046-S-0002,홍익어린이집,광명경찰서,126.865452167,37.473493204,2021-10-14
17,경기도,광명시,하안동,0017-S-0003,하안초등학교,광명경찰서,126.874829622,37.464508187,2021-10-14
17,경기도,광명시,하안동,0017-S-0007,하안초등학교,광명경찰서,126.874449374,37.463870556,2021-10-14
17,경기도,광명시,하안동,0017-S-0008,하안초등학교,광명경찰서,126.875065846,37.464463619,2021-10-14

