보호구역아이디,시도명,시군구명,읍면동명,관리번호,교육시설명칭,관할경찰서명,위도,경도,데이터기준일자
12,경기도,광명시,하안동,0012-S-0001,하안남초등학교,광명경찰서,126.886362813,37.461688395,2021-10-14
12,경기도,광명시,하안동,0012-S-0005,하안남초등학교,광명경찰서,126.884384106,37.460337913,2021-10-14
30,경기도,광명시,하안동,0030-S-0001,예솔유치원,광명경찰서,126.878573065,37.456814675,2021-10-12
30,경기도,광명시,하안동,0030-S-0003,예솔유치원,광명경찰서,126.878212536,37.456605737,2021-10-12
38,경기도,광명시,소하동,0038-S-0002,구름산유치원,광명경찰서,126.881227331,37.455623508,2021-10-12
38,경기도,광명시,소하동,0038-S-0003,구름산유치원,광명경찰서,126.882275824,37.456271833,2021-10-12
38,경기도,광명시,소하동,0038-S-0005,구름산유치원,광명경찰서,126.882445331,37.45556719,2021-10-12
11,경기도,광명시,하안동,0011-S-0006,가림초등학교,광명경찰서,126.879311584,37.457599354,2021-10-08
11,경기도,광명시,하안동,0011-S-0007,가림초등학교,광명경찰서,126.879215051,37.457786246,2021-10-08
11,경기도,광명시,하안동,0011-S-0005,가림초등학교,광명경찰서,126.87998466,37.457945253,2021-10-08
11,경기도,광명시,하안동,0011-S-0003,가림초등학교,광명경찰서,126.880779469,37.457386284,2021-10-08
11,경기도,광명시,하안동,0011-S-0012,가림초등학교,광명경찰서,126.879237091,37.459041264,2021-10-08
11,경기도,광명시,하안동,0011-S-0001,가림초등학교,광명경찰서,126.881357783,37.458707788,2021-10-08
11,경기도,광명시,하안동,0011-S-0013,가림초등학교,광명경찰서,126.88116511,37.458837049,2021-10-08
22,경기도,광명시,소하동,0022-S-0002,구름산초등학교,광명경찰서,126.883216032,37.455012975,2021-10-08
22,경기도,광명시,소하동,0022-S-0001,구름산초등학교,광명경찰서,126.883366815,37.454739829,2021-10-08
22,경기도,광명시,소하동,0022-S-0004,구름산초등학교,광명경찰서,126.88337425,37.455761094,2021-10-08
22,경기도,광명시,소하동,0022-S-0003,구름산초등학교,광명경찰서,126.883266133,37.455669889,2021-10-08
22,경기도,광명시,소하동,0022-S-0005,구름산초등학교,광명경찰서,126.884333987,37.455474359,2021-10-08
22,경기도,광명시,소하동,0022-S-0006,구름산초등학교,광명경찰서,126.884448717,37.455177204,2021-10-08
22,경기도,광명시,소하동,0022-S-0007,구름산초등학교,광명경찰서,126.883929507,37.454510241,2021-10-08
22,경기도,광명시,소하동,0022-S-0010,구름산초등학교,광명경찰서,126.885957269,37.452896421,2021-10-08
22,경기도,광명시,소하동,0022-S-0009,구름산초등학교,광명경찰서,126.885734388,37.453131143,2021-10-08
22,경기도,광명시,소하동,0022-S-0012,구름산초등학교,광명경찰서,126.884095607,37.452103495,2021-10-08
22,경기도,광명시,소하동,0022-S-0011,구름산초등학교,광명경찰서,126.88436644,37.451974305,2021-10-08
21,경기도,광명시,소하동,0021-S-0005,소하초등학교,광명경찰서,126.888059023,37.450000071,2021-10-08
21,경기도,광명시,소하동,0021-S-0007,소하초등학교,광명경찰서,126.888579412,37.449875902,2021-10-08
21,경기도,광명시,소하동,0021-S-0011,소하초등학교,광명경찰서,126.888227732,37.448775199,2021-10-08
21,경기도,광명시,소하동,0021-S-0015,소하초등학교,광명경찰서,126.888063247,37.448174515,2021-10-08
21,경기도,광명시,소하동,0021-S-0023,소하초등학교,광명경찰서,126.88883735,37.447288682,2021-10-08
21,경기도,광명시,소하동,0021-S-0020,소하초등학교,광명경찰서,126.889781755,37.447630394,2021-10-08
21,경기도,광명시,소하동,0021-S-0022,소하초등학교,광명경찰서,126.890660142,37.447593961,2021-10-08
21,경기도,광명시,소하동,0021-S-0021,소하초등학교,광명경찰서,126.890599124,37.447787599,2021-10-08
21,경기도,광명시,소하동,0021-S-0037,소하초등학교,광명경찰서,126.888299324,37.444846971,2021-10-08
21,경기도,광명시,소하동,0021-S-0035,소하초등학교,광명경찰서,126.885994314,37.445650745,2021-10-08
21,경기도,광명시,소하동,0021-S-0036,소하초등학교,광명경찰서,126.885840516,37.445404753,2021-10-08
21,경기도,광명시,소하동,0021-S-0038,소하초등학교,광명경찰서,126.889040416,37.444829511,2021-10-08
21,경기도,광명시,소하동,0021-S-0039,소하초등학교,광명경찰서,126.88967066,37.445137404,2021-10-08
30,경기도,광명시,하안동,0030-S-0002,예솔유치원,광명경찰서,126.878566506,37.456812695,2021-10-12
30,경기도,광명시,하안동,0030-S-0005,예솔유치원,광명경찰서,126.878209559,37.45660313,2021-10-12
30,경기도,광명시,하안동,0030-S-0004,예솔유치원,광명경찰서,126.87820906,37.456607254,2021-10-12
38,경기도,광명시,소하동,0038-S-0001,구름산유치원,광명경찰서,126.881216504,37.455619131,2021-10-12
38,경기도,광명시,소하동,0038-S-0004,구름산유치원,광명경찰서,126.882431827,37.455571632,2021-10-12
33,경기도,광명시,하안동,0033-S-0004,파랑새유치원,광명경찰서,126.880882046,37.461425253,2021-10-14
12,경기도,광명시,하안동,0012-S-0002,하안남초등학교,광명경찰서,126.886358952,37.461683059,2021-10-14
12,경기도,광명시,하안동,0012-S-0006,하안남초등학교,광명경찰서,126.88438124,37.460336421,2021-10-14
12,경기도,광명시,하안동,0012-S-0004,하안남초등학교,광명경찰서,126.885596553,37.46117619,2021-10-14
12,경기도,광명시,하안동,0012-S-0011,하안남초등학교,광명경찰서,126.884832709,37.460603348,2021-10-14
12,경기도,광명시,하안동,0012-S-0010,하안남초등학교,광명경찰서,126.88485343,37.460629572,2021-10-14
12,경기도,광명시,하안동,0012-S-0008,하안남초등학교,광명경찰서,126.884601218,37.460685005,2021-10-14
12,경기도,광명시,하안동,0012-S-0009,하안남초등학교,광명경찰서,126.884614112,37.460699891,2021-10-14
11,경기도,광명시,하안동,0011-S-0008,가림초등학교,광명경찰서,126.879561515,37.457724376,2021-10-14
11,경기도,광명시,하안동,0011-S-0009,가림초등학교,광명경찰서,126.879473181,37.457916495,2021-10-14
11,경기도,광명시,하안동,0011-S-0014,가림초등학교,광명경찰서,126.880121205,37.458047582,2021-10-14
