시설물명,위도,경도,도로안전표지,도로적색표면,무단횡단방지펜스,무인교통단속카메라,보호구역표지판,생활안전CCTV,신호등,옐로카펫,횡단보도,발생건수,행정동,어린이비율
중원초등학교,37.437855,127.167857,0,5,12,0,15,18,0,1,0,6,상대원1동,0.071
중부초등학교,37.451546,127.164951,2,19,25,2,26,27,4,1,2,1,은행1동,0.0727
구미초등학교,37.337756,127.118398,6,17,27,1,30,5,17,1,6,6,구미동,0.0922
돌마초등학교,37.409099,127.130378,4,7,10,2,8,14,5,1,5,7,야탑2동,0.11320000000000001
분당초등학교,37.378988,127.129653,2,3,12,2,11,4,5,1,3,12,서현1동,0.12050000000000001
하탑초등학교,37.407326,127.126613,6,6,23,2,14,13,7,1,5,13,야탑2동,0.11320000000000001
성남은행초등학교,37.461002,127.170901,3,10,2,1,23,11,1,1,3,7,은행2동,0.055
성남중앙초등학교,37.436255,127.143529,6,16,13,5,13,16,5,1,6,20,성남동,0.0513
단남초등학교,37.442905,127.161374,5,17,30,10,21,38,15,1,6,15,금광1동,0.1452
대원초등학교,37.436671,127.155099,1,4,23,1,8,5,2,1,2,12,상대원2동,0.0625
대일초등학교,37.438468,127.164185,1,6,15,1,15,37,1,1,1,10,상대원3동,0.0529
성남제일초등학교,37.438906,127.149609,4,30,34,5,70,16,12,0,4,10,중앙동,0.1149
성남북초등학교,37.4515,127.151474,4,22,22,6,28,23,10,3,5,10,산성동,0.0697
성남수정초등학교,37.436212,127.132786,5,5,31,0,8,33,6,1,5,12,수진2동,0.053899999999999997
수진초등학교,37.444944,127.133465,6,18,26,1,38,40,8,4,5,21,태평3동,0.0521
단대초등학교,37.453611,127.157748,2,15,22,3,13,23,5,1,5,7,단대동,0.0796
금상초등학교,37.443599,127.165995,5,10,8,8,15,41,12,2,3,4,금광1동,0.1452
상원초등학교,37.453884,127.162776,4,15,27,4,13,28,5,2,4,4,은행2동,0.055
서현초등학교,37.382576,127.12855,4,8,10,1,13,11,2,1,5,3,서현1동,0.12050000000000001
안말초등학교,37.393154,127.125984,7,6,24,2,15,15,11,1,7,4,이매1동,0.1265
야탑초등학교,37.416616,127.125627,6,3,21,6,15,11,7,1,6,3,야탑1동,0.09570000000000001
이매초등학교,37.39721,127.126493,3,2,11,3,5,15,4,1,3,5,이매1동,0.1265
수내초등학교,37.367765,127.124663,3,6,11,1,7,14,9,2,3,4,수내3동,0.1413
성남동초등학교,37.449215,127.162178,1,16,15,0,18,25,4,1,1,7,금광2동,0.0669
태평초등학교,37.444953,127.131694,9,19,32,2,31,38,10,4,9,28,태평3동,0.0521
성수초등학교,37.433766,127.127238,3,5,8,5,3,29,3,1,3,123,수진2동,0.053899999999999997
금빛초등학교,37.447331,127.140567,5,17,22,2,22,64,3,1,5,13,태평4동,0.057699999999999994
성남초등학교,37.446085,127.144145,7,12,30,3,16,40,5,2,5,12,태평4동,0.057699999999999994
중탑초등학교,37.413924,127.139686,7,14,45,2,12,13,7,1,7,3,야탑3동,0.09050000000000001
초림초등학교,37.376826,127.117592,0,2,7,1,12,13,3,1,0,3,수내1동,0.1251
미래유치원,37.452885,127.150066,2,14,14,4,20,18,6,2,2,17,산성동,0.0697
성체유치원,37.439656,127.137203,3,3,12,2,13,36,3,0,2,17,수진1동,0.0347
신흥성모유치원,37.449077,127.143242,11,14,26,4,28,51,7,1,9,5,신흥2동,0.12990000000000002
은서유치원,37.443605,127.134977,5,9,13,3,29,36,7,2,5,47,태평3동,0.0521
선경유치원,37.450411,127.162262,1,17,27,3,22,25,6,2,1,11,금광2동,0.0669
