시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
어린이집,백석어린이집,경기도 양주시 백석읍 꿈나무로 193,경기도 양주시 백석읍 오산리 550-3,37.79286115,126.9871842,경기도 양주시,양주경찰서,Y,1,,2025-12-12
어린이집,봉암어린이집,경기도 양주시 은현면 봉암12길 21,경기도 양주시 은현면 봉암리 184-125,37.90723568,127.008178,경기도 양주시,양주경찰서,Y,1,,2025-12-12
어린이집,봉우어린이집,경기도 양주시 고암길 353,"경기도 양주시 덕정동 236, 주공5단지 내",37.834148,127.066163,경기도 양주시,양주경찰서,Y,1,,2025-12-12
어린이집,사랑나무어린이집,경기도 양주시 어하고개로 132번길 139,경기도 양주시 삼숭동 96-14,37.81066333,127.1106137,경기도 양주시,양주경찰서,Y,1,,2025-12-12
초등학교,덕인초등학교,경기도 안산시 단원구 와동공원로5안길 22-6,경기도 안산시 단원구 와동 258-6,37.340218,126.824278,경기도 안산시 단원구 도로교통과,안산단원경찰서,Y,6,,2025-06-02
어린이집,알곡어린이집,경기도 안산시 단원구 와동공원로6길 7,경기도 안산시 단원구 와동 759-6,37.341052,126.822503,경기도 안산시 단원구 도로교통과,안산단원경찰서,Y,6,,2025-06-02
어린이집,고은어린이집,경기도 안산시 단원구 와동공원로7길 9,경기도 안산시 단원구 와동 768-14,37.342318,126.822448,경기도 안산시 단원구 도로교통과,안산단원경찰서,N,0,,2025-06-02
초등학교,석수초등학교,경기도 안산시 단원구 석수로 93,경기도 안산시 단원구 선부동 1042,37.344817,126.805963,경기도 안산시 단원구 도로교통과,안산단원경찰서,Y,6,,2025-06-02
어린이집,시립단원어린이집,경기도 안산시 단원구 북촌2길 26,경기도 안산시 단원구 선부동 1022-5,37.344075,126.805155,경기도 안산시 단원구 도로교통과,안산단원경찰서,Y,6,,2025-06-02
초등학교,선부초등학교,경기도 안산시 단원구 달미로 24,경기도 안산시 단원구 선부동 1086-1,37.338228,126.814094,경기도 안산시 단원구 도로교통과,안산단원경찰서,Y,2,,2025-06-02
어린이집,시립선부어린이집,경기도 안산시 단원구 지곡로 48,경기도 안산시 단원구 선부동 997,37.338751,126.802482,경기도 안산시 단원구 도로교통과,안산단원경찰서,Y,6,,2025-06-02
어린이집,홍익교육어린이집,경기도 안산시 단원구 지곡로 42,경기도 안산시 단원구 선부동 997-6,37.338382,126.803141,경기도 안산시 단원구 도로교통과,안산단원경찰서,Y,6,,2025-06-02
초등학교,슬기초등학교,경기도 안산시 단원구 안산천남로 53,경기도 안산시 단원구 고잔동 720-1,37.305544,126.825851,경기도 안산시 단원구 도로교통과,안산단원경찰서,Y,3,,2025-06-02
초등학교,안산서초등학교,경기도 안산시 단원구 원선로 67,경기도 안산시 단원구 원곡동 936-4,37.330967,126.800171,경기도 안산시 단원구 도로교통과,안산단원경찰서,Y,4,,2025-06-02
초등학교,원일초등학교,경기도 안산시 단원구 원선로 113,경기도 안산시 단원구 선부동 962,37.332799,126.804149,경기도 안산시 단원구 도로교통과,안산단원경찰서,Y,5,,2025-06-02
초등학교,원곡초등학교,경기도 안산시 단원구 원곡초교길 9,경기도 안산시 단원구 원곡동 821,37.328241,126.7960898,경기도 안산시 단원구 도로교통과,안산단원경찰서,Y,6,,2025-06-02
초등학교,차산초등학교(병설),경기도 남양주시 화도읍 수레로 1105-23,경기도 남양주시 화도읍 차산리 79-9,37.6363311,127.3017248,경기도 남양주시청,남양주남부경찰서,Y,4,,2025-04-22
초등학교,진접초등학교(병설),경기도 남양주시 진접읍 해밀예당2로 102,경기도 남양주시 진접읍 금곡리 1109,37.71714112,127.1997577,경기도 남양주시청,남양주북부경찰서,Y,3,,2025-04-22
초등학교,화봉초등학교(병설),경기도 남양주시 진접읍 해밀예당2로 21,경기도 남양주시 진접읍 금곡리 1078,37.71586763,127.1918696,경기도 남양주시청,남양주북부경찰서,Y,3,,2025-04-22
초등학교,주곡초등학교(병설),경기도 남양주시 진접읍 해밀예당1로 277,경기도 남양주시 진접읍 금곡리 1004,37.7247022,127.2059802,경기도 남양주시청,남양주북부경찰서,Y,3,,2025-04-22
초등학교,은솔초등학교(병설),경기도 남양주시 화도읍 경춘보학2길 9,경기도 남양주시 화도읍 녹촌리 569,37.65013079,127.2949625,경기도 남양주시청,남양주남부경찰서,Y,2,,2025-04-22
초등학교,수동초등학교 송천분교,경기도 남양주시 수동면 비룡로586번길 98,경기도 남양주시 수동면 송천리 332,37.6951026,127.3342456,경기도 남양주시청,남양주남부경찰서,Y,3,,2025-04-22
유치원,사랑유치원,경기도 양주시 고암길 270,경기도 양주시 고암동 121-7(주공2단지),37.834928,127.070855,경기도 양주시,양주경찰서,Y,1,,2025-12-12
유치원,산내들유지원,경기도 양주시 고삼로 92,경기도 양주시 만송동 223-1,37.79708799,127.0936259,경기도 양주시,양주경찰서,Y,1,,2025-12-12
초등학교,삼상초등학교,경기도 양주시 장흥면 일영로 641,경기도 양주시 장흥면 삼상리 288,37.70034708,126.9299518,경기도 양주시,양주경찰서,Y,1,,2025-12-12
초등학교,삼숭초등학교,경기도 양주시 삼숭로 38번길 112,경기도 양주시 삼숭동 679-2,37.796703,127.108117,경기도 양주시,양주경찰서,Y,1,,2025-12-12
초등학교,상패초등학교,경기도 양주시 은현면 은현로312번길 121-208,경기도 양주시 은현면 하패리 796-4,37.89802794,127.0264769,경기도 양주시,양주경찰서,Y,1,,2025-12-12
어린이집,샘내어린이집,경기도 양주시 평화로 1257번길 23-8,경기도 양주시 산북동 289-3,37.80373726,127.0439034,경기도 양주시,양주경찰서,Y,1,,2025-12-12
유치원,솔빛유치원,경기도 양주시 어하고개로 27-75,경기도 양주시 옥정동405,37.81077807,127.0947425,경기도 양주시,양주경찰서,Y,1,,2025-12-12
초등학교,방교초등학교,경기도 화성시 동탄산척로1길 11,경기도 화성시 송동 689번지,37.17326405,127.1015231,경기도 화성시 동탄출장소 교통건설과,화성동탄경찰서,N,,,2025-08-25
초등학교,장내초등학교(병설),경기도 남양주시 평내로 64,경기도 남양주시 평내동 563,37.64109157,127.2348625,경기도 남양주시청,남양주남부경찰서,Y,4,,2025-04-22
어린이집,근화 어린이집,경기도 안산시 상록구 평안로1안길 24,경기도 안산시 상록구 사동 1415-26,37.282563,126.850496,경기도 안산시 상록구 도로교통과,안산상록경찰서,Y,3,,2025-06-02
유치원,데레사 유치원,경기도 안산시 상록구 장화2길 44,경기도 안산시 상록구 사동 1406-8,37.283228,126.852318,경기도 안산시 상록구 도로교통과,안산상록경찰서,Y,5,,2025-06-02
어린이집,큰소리 어린이집,경기도 안산시 상록구 장화2길 54,경기도 안산시 상록구 사동 1401-2,37.283297,126.853428,경기도 안산시 상록구 도로교통과,안산상록경찰서,Y,1,,2025-06-02
어린이집,시립본오 어린이집,경기도 안산시 상록구 이호로 98,경기도 안산시 상록구 본오동 714,37.286699,126.867846,경기도 안산시 상록구 도로교통과,안산상록경찰서,Y,2,,2025-06-02
초등학교,안산 초등학교,경기도 안산시 상록구 수암2길 13-7,경기도 안산시 상록구 수암동 177,37.36495969,126.878124,경기도 안산시 상록구 도로교통과,안산상록경찰서,Y,5,,2025-06-02
초등학교,능동초등학교,경기도 화성시 동탄원천로 315-27,경기도 화성시 능동 1085번지,37.21331507,127.058872,경기도 화성시 동탄출장소 교통건설과,화성동탄경찰서,N,,,2025-08-25
유치원,다일유치원,경기도 화성시 병점중앙로242번길 15-5,경기도 화성시 진안동 921번지,37.21915717,127.0363005,경기도 화성시 동부출장소 교통건설과,화성동탄경찰서,N,,,2025-08-25
초등학교,대양초등학교,경기도 화성시 남양읍 시청로32번길 80,경기도 화성시 남양읍 남양리 2311번지,37.20031947,126.8217358,경기도 화성시 교통정책과,화성서부경찰서,N,,,2025-08-25
