시설물명,위도,경도,카테고리
최고속도제한 표지_114,37.408684,127.096133,도로안전표지
최고속도제한 표지_115,37.407695,127.097734,도로안전표지
최고속도제한 표지_116,37.408518,127.098711,도로안전표지
최고속도제한 표지_117,37.417472,127.081451,도로안전표지
위험 표지_118,37.4101524798,127.0983595012,도로안전표지
위험 표지_119,37.410873,127.099178,도로안전표지
시간 표지_120,37.428561,127.093732,도로안전표지
시간 표지_121,37.433741,127.084471,도로안전표지
시간 표지_122,37.432637,127.081578,도로안전표지
시간 표지_123,37.430537,127.073165,도로안전표지
시간 표지_124,37.430511,127.071672,도로안전표지
비보호좌회전 표지_125,37.4305388081,127.0731640251,도로안전표지
회전 교차로 표지_126,37.4293366926,127.0911101335,도로안전표지
횡단보도 표지_127,37.440848,127.143764,도로안전표지
횡단보도 표지_128,37.44188,127.143273,도로안전표지
최고속도제한 표지_129,37.459904,127.107415,도로안전표지
최고속도제한 표지_130,37.457928,127.107574,도로안전표지
최고속도제한 표지_131,37.455379,127.10696,도로안전표지
최고속도제한 표지_132,37.449567,127.10522,도로안전표지
최고속도제한 표지_133,37.44824,127.104848,도로안전표지
최고속도제한 표지_134,37.446105,127.103712,도로안전표지
최고속도제한 표지_135,37.444886,127.103599,도로안전표지
최고속도제한 표지_136,37.438213,127.104084,도로안전표지
최고속도제한 표지_137,37.435286,127.103856,도로안전표지
최고속도제한 표지_138,37.432696,127.103345,도로안전표지
최고속도제한 표지_139,37.430745,127.102187,도로안전표지
유턴 표지_140,37.427548,127.101966,도로안전표지
최고속도제한 표지_141,37.425033,127.101728,도로안전표지
최고속도제한 표지_142,37.424183,127.102767,도로안전표지
최고속도제한 표지_143,37.422858,127.102427,도로안전표지
유턴 표지_144,37.420334,127.101799,도로안전표지
유턴 표지_145,37.416267,127.101543,도로안전표지
최고속도제한 표지_146,37.409815,127.095175,도로안전표지
최고속도제한 표지_147,37.4277908328,127.102172,도로안전표지
최고속도제한 표지_148,37.423548285,127.10237,도로안전표지
최고속도제한 해제 표지_149,37.4295663573,127.1019960268,도로안전표지
천천히 표지_150,37.4259991324,127.1020704859,도로안전표지
천천히 표지_151,37.425597,127.1024928136,도로안전표지
천천히 표지_152,37.4295663573,127.1019960268,도로안전표지
천천히 표지_153,37.429763,127.1017874083,도로안전표지
좌회전금지 표지_154,37.428398,127.100869,도로안전표지
비보호좌회전 표지_155,37.4283813469,127.1008980607,도로안전표지
비보호좌회전 표지_156,37.4309500263,127.100801,도로안전표지
최저속도제한 표지_157,37.4150574341,127.1041016171,도로안전표지
최저속도제한 표지_158,37.4389887229,127.1220246819,도로안전표지
직진및좌회전 표지_159,37.431555,127.179554,도로안전표지
유턴 표지_160,37.432054,127.173431,도로안전표지
유턴 표지_161,37.431289,127.171784,도로안전표지
제한속도 표지_162,37.430586,127.167182,도로안전표지
유턴 표지_163,37.432874,127.16749,도로안전표지
유턴 표지_164,37.433181,127.164078,도로안전표지
유턴 표지_165,37.433775,127.159894,도로안전표지
제한속도 표지_166,37.432409,127.1572997199,도로안전표지
제한속도 표지_167,37.429925,127.154978,도로안전표지
유턴 표지_168,37.429077,127.149761,도로안전표지
유턴금지 표지_169,37.429687,127.149111,도로안전표지
제한속도 표지_170,37.429156,127.147018,도로안전표지
유턴 표지_171,37.428009,127.144932,도로안전표지
유턴 표지_172,37.427869,127.141864,도로안전표지
유턴 표지_173,37.429254,127.140985,도로안전표지
유턴 표지_174,37.429854,127.136792,도로안전표지
유턴 표지_175,37.428697,127.133169,도로안전표지
유턴 표지_176,37.428529,127.132383,도로안전표지
횡단보도 표지_177,37.429845,127.127769,도로안전표지
횡단보도 표지_178,37.429745,127.127077,도로안전표지
횡단보도 표지_179,37.429528,127.125807,도로안전표지
횡단보도 표지_180,37.429579,127.123927,도로안전표지
서행 표지_181,37.446255,127.170236,도로안전표지
유턴 표지_182,37.446555,127.167656,도로안전표지
유턴 표지_183,37.446271,127.164016,도로안전표지
직진및좌회전 표지_184,37.445439,127.16165,도로안전표지
직진및좌회전 표지_185,37.444204,127.158009,도로안전표지
제한속도 표지_186,37.443133,127.155588,도로안전표지
제한속도 표지_187,37.441741,127.153095,도로안전표지
비보호좌회전 표지_188,37.440527,127.150432,도로안전표지
좌회전금지 표지_189,37.439586,127.147585,도로안전표지
직진및좌회전 표지_190,37.438341,127.145652,도로안전표지
직진및좌회전 표지_191,37.436603,127.141672,도로안전표지
좌회전금지 표지_192,37.436017,127.140535,도로안전표지
비보호좌회전 표지_193,37.435375,127.14012,도로안전표지
제한속도 표지_194,37.434764,127.138116,도로안전표지
직진및좌회전 표지_195,37.434131,127.134567,도로안전표지
제한속도 표지_196,37.443599,127.154993,도로안전표지
직진및좌회전 표지_197,37.442625,127.151302,도로안전표지
제한속도 표지_198,37.441486,127.150242,도로안전표지
직진및좌회전 표지_199,37.439211,127.14466,도로안전표지
유턴 표지_200,37.437193,127.14119,도로안전표지
직진및좌회전 표지_201,37.433824,127.128424,도로안전표지
신호준수 표지_202,37.432942,127.127239,도로안전표지
유턴 표지_203,37.4328978678,127.119474,도로안전표지
유턴금지 표지_204,37.4328978678,127.119474,도로안전표지
직진및좌회전 표지_205,37.433778,127.177887,도로안전표지
비보호좌회전 표지_206,37.435979,127.178593,도로안전표지
비보호좌회전 표지_207,37.438396,127.179101,도로안전표지
비보호좌회전 표지_208,37.440006,127.180089,도로안전표지
직진및좌회전 표지_209,37.441132,127.180159,도로안전표지
직진및좌회전 표지_210,37.434862,127.171173,도로안전표지
직진및좌회전 표지_211,37.437327,127.173714,도로안전표지
유턴 표지_212,37.43929,127.176566,도로안전표지
유턴 표지_213,37.441314,127.177737,도로안전표지
직진및좌회전 표지_214,37.442662,127.170373,도로안전표지
직진및좌회전 표지_215,37.445083,127.168005,도로안전표지
좌회전금지 표지_216,37.448805,127.166436,도로안전표지
유턴 표지_217,37.445083,127.168005,도로안전표지
비보호좌회전 표지_218,37.446603,127.171643,도로안전표지
비보호좌회전 표지_219,37.44764,127.172563,도로안전표지
횡단보도 표지_220,37.449145,127.173177,도로안전표지
비보호좌회전 표지_221,37.442373,127.166114,도로안전표지
비보호좌회전 표지_222,37.441937,127.166673,도로안전표지
비보호좌회전 표지_223,37.44046,127.162385,도로안전표지
신호준수 표지_224,37.442211,127.160233,도로안전표지
제한속도 표지_225,37.440928,127.160113,도로안전표지
횡단보도 표지_226,37.440032,127.159338,도로안전표지
제한속도 표지_227,37.436433,127.15788,도로안전표지
비보호좌회전 표지_228,37.416646,127.150373,도로안전표지
직진및좌회전 표지_229,37.414773,127.14685,도로안전표지
횡단보도 표지_230,37.437053,127.146093,도로안전표지
유턴 표지_231,37.435603,127.147085,도로안전표지
비보호좌회전 표지_232,37.434717,127.147689,도로안전표지
제한속도 표지_233,37.432705,127.150848,도로안전표지
제한속도 표지_234,37.430993,127.151098,도로안전표지
제한속도 표지_235,37.452693,127.171883,도로안전표지
