"행정구역","2025년_계_총인구수","2025년_계_연령구간인구수","2025년_계_0~4세","2025년_계_5~9세","2025년_계_10~14세","2025년_계_15~19세","2025년_계_20~24세","2025년_계_25~29세","2025년_계_30~34세","2025년_계_35~39세","2025년_계_40~44세","2025년_계_45~49세","2025년_계_50~54세","2025년_계_55~59세","2025년_계_60~64세","2025년_계_65~69세","2025년_계_70~74세","2025년_계_75~79세","2025년_계_80~84세","2025년_계_85~89세","2025년_계_90~94세","2025년_계_95~99세","2025년_계_100세 이상","2025년_남_총인구수","2025년_남_연령구간인구수","2025년_남_0~4세","2025년_남_5~9세","2025년_남_10~14세","2025년_남_15~19세","2025년_남_20~24세","2025년_남_25~29세","2025년_남_30~34세","2025년_남_35~39세","2025년_남_40~44세","2025년_남_45~49세","2025년_남_50~54세","2025년_남_55~59세","2025년_남_60~64세","2025년_남_65~69세","2025년_남_70~74세","2025년_남_75~79세","2025년_남_80~84세","2025년_남_85~89세","2025년_남_90~94세","2025년_남_95~99세","2025년_남_100세 이상","2025년_여_총인구수","2025년_여_연령구간인구수","2025년_여_0~4세","2025년_여_5~9세","2025년_여_10~14세","2025년_여_15~19세","2025년_여_20~24세","2025년_여_25~29세","2025년_여_30~34세","2025년_여_35~39세","2025년_여_40~44세","2025년_여_45~49세","2025년_여_50~54세","2025년_여_55~59세","2025년_여_60~64세","2025년_여_65~69세","2025년_여_70~74세","2025년_여_75~79세","2025년_여_80~84세","2025년_여_85~89세","2025년_여_90~94세","2025년_여_95~99세","2025년_여_100세 이상"
"경기도 성남시 수정구 단대동(4113159000)","14,162","14,162","295","336","497","555","642","961","1,016","892","987","997","1,157","1,285","1,245","1,151","824","613","403","220","64","21","1","6,962","6,962","155","174","269","285","338","498","539","475","508","515","570","613","598","556","348","269","152","78","19","3","0","7,200","7,200","140","162","228","270","304","463","477","417","479","482","587","672","647","595","476","344","251","142","45","18","1"
"경기도 성남시 수정구 산성동(4113160000)","4,421","4,421","56","110","142","191","204","298","304","221","281","317","406","366","400","371","274","230","150","76","20","3","1","2,212","2,212","32","55","87","94","100","155","170","122","154","174","219","187","190","162","124","99","52","30","6","0","0","2,209","2,209","24","55","55","97","104","143","134","99","127","143","187","179","210","209","150","131","98","46","14","3","1"
"경기도 성남시 수정구 양지동(4113161000)","8,923","8,923","89","161","295","391","554","615","546","371","521","664","835","864","827","742","547","411","280","152","49","7","2","4,380","4,380","40","83","158","191","270","299","291","214","269","333","431","435","413","344","249","173","115","57","14","0","1","4,543","4,543","49","78","137","200","284","316","255","157","252","331","404","429","414","398","298","238","165","95","35","7","1"
"경기도 성남시 수정구 복정동(4113162000)","10,453","10,453","236","183","185","274","1,142","1,228","1,093","948","824","815","863","737","560","509","361","249","151","58","25","10","2","5,856","5,856","124","87","89","133","598","721","675","577","492","483","522","414","295","245","173","125","66","29","7","1","0","4,597","4,597","112","96","96","141","544","507","418","371","332","332","341","323","265","264","188","124","85","29","18","9","2"
"경기도 성남시 수정구 위례동(4113162500)","45,473","45,473","1,745","2,348","2,732","2,170","1,752","2,359","3,331","3,624","4,354","3,976","3,464","3,284","3,103","2,948","1,935","1,129","645","351","174","44","5","22,014","22,014","918","1,205","1,350","1,071","834","1,136","1,534","1,720","2,094","1,997","1,724","1,616","1,470","1,402","966","526","287","118","35","9","2","23,459","23,459","827","1,143","1,382","1,099","918","1,223","1,797","1,904","2,260","1,979","1,740","1,668","1,633","1,546","969","603","358","233","139","35","3"
"경기도 성남시 수정구 신촌동(4113163000)","4,511","4,511","206","223","200","208","267","439","507","380","303","315","338","256","260","249","156","84","68","34","12","6","0","2,392","2,392","114","109","105","108","175","270","293","195","159","166","177","118","117","116","79","42","29","14","4","2","0","2,119","2,119","92","114","95","100","92","169","214","185","144","149","161","138","143","133","77","42","39","20","8","4","0"
"경기도 성남시 수정구 고등동(4113164000)","11,797","11,797","552","609","383","382","455","807","1,247","1,303","1,122","764","824","844","686","683","498","317","192","86","33","10","0","5,772","5,772","277","299","189","195","228","371","625","636","586","372","397","421","346","324","247","153","75","23","7","1","0","6,025","6,025","275","310","194","187","227","436","622","667","536","392","427","423","340","359","251","164","117","63","26","9","0"
"경기도 성남시 수정구 시흥동(4113165000)","3,548","3,548","64","60","69","67","127","492","514","280","254","219","214","210","247","247","201","137","84","43","13","6","0","1,918","1,918","33","31","30","38","70","262","318","164","148","116","121","112","120","117","104","71","41","15","4","3","0","1,630","1,630","31","29","39","29","57","230","196","116","106","103","93","98","127","130","97","66","43","28","9","3","0"
"경기도 성남시 중원구 (4113300000)","203,572","203,572","4,903","5,391","6,592","7,373","9,176","14,606","17,060","14,186","14,816","14,187","16,315","17,434","17,571","16,588","10,972","7,678","5,018","2,621","837","205","43","102,424","102,424","2,420","2,776","3,411","3,801","4,598","7,588","9,174","7,724","7,901","7,363","8,404","8,757","8,560","8,150","5,130","3,471","2,062","895","200","29","10","101,148","101,148","2,483","2,615","3,181","3,572","4,578","7,018","7,886","6,462","6,915","6,824","7,911","8,677","9,011","8,438","5,842","4,207","2,956","1,726","637","176","33"
"경기도 성남시 중원구 성남동(4113351000)","31,835","31,835","480","451","702","928","1,415","3,338","3,408","2,190","2,083","2,035","2,453","2,601","2,570","2,599","1,708","1,265","945","468","159","33","4","16,612","16,612","238","222","360","468","666","1,815","1,975","1,304","1,161","1,102","1,331","1,359","1,306","1,304","808","566","422","163","34","5","3","15,223","15,223","242","229","342","460","749","1,523","1,433","886","922","933","1,122","1,242","1,264","1,295","900","699","523","305","125","28","1"
