"야탑1동","외국인",-,104,46,58
"야탑2동","성남시",6011,15748,7462,8286
"야탑2동","한국인",-,15703,7447,8256
"야탑2동","외국인",-,45,15,30
"야탑3동","성남시",12514,26385,12953,13432
"야탑3동","한국인",-,26215,12881,13334
"야탑3동","외국인",-,170,72,98
"금곡동","성남시",12034,27099,12767,14332
"금곡동","한국인",-,26904,12686,14218
"금곡동","외국인",-,195,81,114
"구미동","성남시",12524,28320,13401,14919
"구미동","한국인",-,28182,13350,14832
"구미동","외국인",-,138,51,87
"구미1동","성남시",7014,16260,7843,8417
"구미1동","한국인",-,16182,7813,8369
"구미1동","외국인",-,78,30,48
"판교동","성남시",9035,26696,13125,13571
"판교동","한국인",-,26572,13045,13527
"판교동","외국인",-,124,80,44
"삼평동","성남시",9083,23921,11630,12291
"삼평동","한국인",-,23777,11555,12222
"삼평동","외국인",-,144,75,69
"백현동","성남시",10466,26696,12793,13903
"백현동","한국인",-,26472,12675,13797
"백현동","외국인",-,224,118,106
"운중동","성남시",13582,37431,18258,19173
"운중동","한국인",-,37182,18169,19013
"운중동","외국인",-,249,89,160
