시설물명,위도,경도,도로안전표지,도로적색표면,무단횡단방지펜스,무인교통단속카메라,보호구역표지판,생활안전CCTV,신호등,옐로카펫,횡단보도,어린이 비율(%),발생건수
빛가온초등학교,37.413689906,126.882025537,-0.2917299829957891,1.5045591875379085,0.7100448203496372,0.5614282074362117,0.48758147573931626,1.8291345041601477,1.2865769751194178,0.709034713409338,2.366079935787398,1.9282406400745176,0
빛가온유치원,37.416952326,126.888264888,-0.2917299829957891,-0.5755392072810674,0.03045768666379147,-1.806155755032396,-0.1979427892385524,-2.7463115017700575,0.7160080557186325,-0.7267016572786755,-0.06678451431657975,1.9282406400745176,0
광명생명숲어린이집,37.432308566,126.877817192,-0.2917299829957891,-1.5000273827561676,-1.13454882822623,-1.806155755032396,-0.3760769581465041,-0.45858849880495506,-0.4251297830829381,-0.7267016572786755,-0.5533574043373752,-0.024108051267097093,0
큰별어린이집,37.436146295,126.877327277,-0.2917299829957891,-0.8066612511498424,-0.26079394205871387,-0.3123765890323427,-0.3760769581465041,-2.7463115017700575,-0.6153194228831999,-0.7267016572786755,-1.1615735168633696,-0.024108051267097093,0
충현초등학교,37.432490073,126.884626583,-0.2917299829957891,0.11782692432525788,-1.13454882822623,0.5614282074362117,-0.5752140166271691,-0.45858849880495506,0.4782710059683053,0.709034713409338,0.41978837570421573,-0.024108051267097093,0
트인아이유치원,37.434968089,126.886029485,-0.2917299829957891,-0.8066612511498424,-1.13454882822623,-0.3123765890323427,-1.0616012231243734,-0.45858849880495506,-0.4251297830829381,0.709034713409338,-0.06678451431657975,-0.024108051267097093,0
아란유치원,37.437261872,126.879689153,-0.2917299829957891,-0.5755392072810674,-0.06662618957704364,0.5614282074362117,0.2456393241391445,-0.45858849880495506,-0.37758237313287263,0.709034713409338,-0.9182870718529719,-0.024108051267097093,0
서면초등학교,37.43866026,126.879510582,-0.2917299829957891,-0.5755392072810674,-0.06662618957704364,0.5614282074362117,-0.1979427892385524,-0.45858849880495506,-0.37758237313287263,0.709034713409338,-0.9182870718529719,-0.024108051267097093,0
광명푸른숲어린이집,37.477792276,126.850856427,-0.2917299829957891,-0.3444171634122923,-1.13454882822623,1.1814025769677103,-0.03680083238775859,1.3058035670446777,-0.5677720129331344,-0.7267016572786755,-1.0399302943581707,-0.33978661138936816,0
예림유치원,37.468769887,126.852729513,-0.2917299829957891,-0.1132951195435172,-0.6491294470220543,0.5614282074362117,-0.03680083238775859,0.14047351923099557,-0.37758237313287263,2.6069749586734394,0.054858708188619126,-0.33978661138936816,0
