보호구역아이디,관리번호,시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,설치장소,과속방지턱재료,과속방지턱형태구분,과속방지턱높이,과속방지턱폭,과속방지턱연장,도로종류,규격여부,경도,위도,보차분리여부,연속형여부,설치년도,관리기관명,관리기관전화번호,데이터기준일자
7,0007-B-0007,경기도,광명시,너부대로,경기도 광명시 너부대로 5,경기도 광명시 광명동 219,광명서초등학교 정문 전방 130m,1,1,10,360,10,1,Y,126.847902872,37.477160421,Y,Y,,광명경찰서,182,2021-10-18
7,0007-B-0008,경기도,광명시,너부대로,경기도 광명시 너부대로 5,경기도 광명시 광명동 219,광명서초등학교 정문 전방 140m,1,1,10,360,10,1,Y,126.848150766,37.477212031,Y,Y,,광명경찰서,182,2021-10-18
7,0007-B-0005,경기도,광명시,너부대로,경기도 광명시 너부대로 5,경기도 광명시 광명동 219,광명서초등학교 후문 전방 10m,1,1,10,360,10,1,Y,126.847318538,37.477758956,N,Y,,광명경찰서,182,2021-10-18
7,0007-B-0004,경기도,광명시,너부대로,경기도 광명시 너부대로 5,경기도 광명시 광명동 219,광명서초등학교 후문 앞,1,1,10,360,10,1,Y,126.847235362,37.477826365,N,Y,,광명경찰서,182,2021-10-18
7,0007-B-0003,경기도,광명시,너부대로,경기도 광명시 너부대로 5,경기도 광명시 광명동 219,광명서초등학교 후문 전방 70m,1,1,10,360,10,1,Y,126.847704717,37.478405361,N,Y,,광명경찰서,182,2021-10-18
7,0007-B-0002,경기도,광명시,너부대로,경기도 광명시 너부대로 5,경기도 광명시 광명동 219,광명서초등학교 후문 전방 110m,1,1,10,360,10,1,Y,126.846540099,37.478768564,Y,Y,,광명경찰서,182,2021-10-18
7,0007-B-0001,경기도,광명시,너부대로,경기도 광명시 너부대로 5,경기도 광명시 광명동 219,광명서초등학교 후문 전방 120m,1,1,10,360,10,1,Y,126.846359538,37.478748289,Y,Y,,광명경찰서,182,2021-10-18
3,0003-B-0001,경기도,광명시,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,광일초등학교 정문 전방 110m,1,1,10,360,10,1,Y,126.847628982,37.469824949,Y,Y,,광명경찰서,182,2021-10-26
3,0003-B-0002,경기도,광명시,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,광일초등학교 정문 전방 90m,1,1,10,360,10,1,Y,126.847354441,37.470019573,Y,Y,,광명경찰서,182,2021-10-26
3,0003-B-0003,경기도,광명시,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,광일초등학교 정문 전방 60m,1,1,10,360,10,1,Y,126.847088367,37.470209515,Y,Y,,광명경찰서,182,2021-10-26
3,0003-B-0004,경기도,광명시,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,광일초등학교 정문 전방 30m,1,1,10,360,10,1,Y,126.846440957,37.470490918,N,Y,,광명경찰서,182,2021-10-26
3,0003-B-0005,경기도,광명시,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,광일초등학교 정문 전방 60m,1,1,10,360,10,1,Y,126.845925652,37.470708797,N,Y,,광명경찰서,182,2021-10-26
3,0003-B-0007,경기도,광명시,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,광일초등학교 후문 전방 40m,1,1,10,360,10,1,Y,126.845799433,37.471427742,Y,Y,,광명경찰서,182,2021-10-26
3,0003-B-0008,경기도,광명시,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,광일초등학교 후문 앞,1,1,10,360,10,1,Y,126.846105478,37.471699897,Y,Y,,광명경찰서,182,2021-10-26
3,0003-B-0009,경기도,광명시,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,광일초등학교 후문 전방 40m,1,1,10,360,10,1,Y,126.846404922,37.471971704,Y,Y,,광명경찰서,182,2021-10-26
3,0003-B-0010,경기도,광명시,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,광일초등학교 후문 전방 80m,1,1,10,360,10,1,Y,126.846147788,37.472386907,Y,Y,,광명경찰서,182,2021-10-26
3,0003-B-0014,경기도,광명시,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,광일초등학교 정문 전방 250m,1,1,10,360,10,1,Y,126.849014565,37.471625084,Y,Y,,광명경찰서,182,2021-10-26
3,0003-B-0011,경기도,광명시,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,광일초등학교 후문 전방 90m,1,1,10,360,10,1,Y,126.846703709,37.47210477,Y,Y,,광명경찰서,182,2021-10-26
3,0003-B-0012,경기도,광명시,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,광일초등학교 후문 전방 95m,1,1,10,360,10,1,Y,126.846851907,37.472008241,Y,Y,,광명경찰서,182,2021-10-26
3,0003-B-0013,경기도,광명시,목감로,경기도 광명시 목감로 34-6,경기도 광명시 광명동 365-38,광일초등학교 후문 전방 110m,1,1,10,360,10,1,Y,126.847053148,37.471874339,Y,Y,,광명경찰서,182,2021-10-26
