관리기관,소재지 주소,일자,시간,교통량(대),속도(km),구간정보,소통정보(소통판정),도로구분,길이
화성시,경기도 화성시 동탄구 반송동 301,2021-10-06,19:00:00~20:00:00,541,7,새강마을 사거리 - 반송초교사거리 방면,정체,일반도로,
화성시,경기도 화성시 동탄구 반송동 301,2021-10-06,19:00:00~20:00:00,471,17,반송중사거리 - 반송초교사거리 방면,정체,일반도로,
화성시,경기도 화성시 동탄구 반송동 301,2021-10-06,19:00:00~20:00:00,1334,17,교육지원청사거리 - 반송초교사거리 방면,정체,일반도로,
화성시,경기도 화성시 동탄구 석우동 106,2021-10-07,20:00:00~21:00:00,865,21,한림대병원사거리 - 잎새지하차도사거리 방면,서행,일반도로,
화성시,경기도 화성시 동탄구 석우동 106,2021-10-07,20:00:00~21:00:00,145,9,노작공원사거리 - 잎새지하차도사거리 방면,정체,일반도로,
화성시,경기도 화성시 동탄구 석우동 106,2021-10-07,20:00:00~21:00:00,507,19,한빛마을사거리 - 잎새지하차도사거리 방면,정체,일반도로,
화성시,경기도 화성시 동탄구 석우동 106,2021-10-07,20:00:00~21:00:00,1093,13,반송마을사거리 - 잎새지하차도사거리 방면,정체,일반도로,
화성시,경기도 화성시 동탄구 석우동 114,2021-10-08,21:00:00~22:00:01,512,17,한림대병원사거리 - 예당고교사거리 방면,정체,일반도로,
화성시,경기도 화성시 동탄구 석우동 114,2021-10-08,21:00:00~22:00:01,821,17,영천사거리 - 예당고교사거리 방면,정체,일반도로,
화성시,경기도 화성시 동탄구 석우동 114,2021-10-08,21:00:00~22:00:01,156,6,청계교사거리 - 예당고교사거리 방면,정체,일반도로,
화성시,경기도 화성시 동탄구 석우동 114,2021-10-08,21:00:00~22:00:01,594,5,노작공원사거리 - 예당고교사거리 방면,정체,일반도로,
