도로안전표지,도로적색표면,무단횡단방지펜스,무인교통단속카메라,보호구역표지판,생활안전CCTV,신호등,옐로카펫,횡단보도,어린이 비율(%),발생건수
0.0,1.5045591875379085,0.7100448203496372,0.0,0.0,0.0,1.2865769751194178,0.709034713409338,2.366079935787398,2.6345254336673505,0
0.0,-0.5755392072810674,0.03045768666379147,0.0,0.0,0.0,0.7160080557186325,-0.7267016572786755,-0.06678451431657975,2.6345254336673505,0
0.0,-1.5000273827561676,-1.13454882822623,0.0,0.0,0.0,-0.4251297830829381,-0.7267016572786755,-0.5533574043373752,-0.328337241259051,0
0.0,-0.8066612511498424,-0.26079394205871387,0.0,0.0,0.0,-0.6153194228831999,-0.7267016572786755,-1.1615735168633696,-0.328337241259051,0
0.0,0.11782692432525788,-1.13454882822623,0.0,0.0,0.0,0.4782710059683053,0.709034713409338,0.41978837570421573,-0.328337241259051,0
0.0,-0.8066612511498424,-1.13454882822623,0.0,0.0,0.0,-0.4251297830829381,0.709034713409338,-0.06678451431657975,-0.328337241259051,0
0.0,-0.5755392072810674,-0.06662618957704364,0.0,0.0,0.0,-0.37758237313287263,0.709034713409338,-0.9182870718529719,-0.328337241259051,0
0.0,-0.5755392072810674,-0.06662618957704364,0.0,0.0,0.0,-0.37758237313287263,0.709034713409338,-0.9182870718529719,-0.328337241259051,0
0.0,-0.3444171634122923,-1.13454882822623,0.0,0.0,0.0,-0.5677720129331344,-0.7267016572786755,-1.0399302943581707,-0.807407515543948,0
0.0,-0.1132951195435172,-0.6491294470220543,0.0,0.0,0.0,-0.37758237313287263,2.6069749586734394,0.054858708188619126,-0.807407515543948,0
0.0,-1.2689053388873928,-1.13454882822623,0.0,0.0,0.0,-0.6153194228831999,2.1447710840973517,-0.796643849347773,-0.807407515543948,0
0.0,-0.5755392072810674,-1.13454882822623,0.0,0.0,0.0,-0.853056472633527,-0.7267016572786755,-1.0399302943581707,-0.807407515543948,0
0.0,-0.8066612511498424,-0.8432971995037245,0.0,0.0,0.0,-0.9481512925336579,-0.7267016572786755,-0.31007095932697754,-0.807407515543948,0
0.0,-0.8066612511498424,-0.8432971995037245,0.0,0.0,0.0,-0.9481512925336579,-0.7267016572786755,-0.31007095932697754,-0.807407515543948,0
0.0,-0.3444171634122923,-1.0374649519853947,0.0,0.0,0.0,-0.5677720129331344,-0.7267016572786755,-1.0399302943581707,-0.807407515543948,0
0.0,-0.5755392072810674,-0.7462133232628895,0.0,0.0,0.0,-0.9481512925336579,1.5488866511833155,-0.796643849347773,-0.807407515543948,0
0.0,0.11782692432525788,-0.6491294470220543,0.0,0.0,0.0,-0.5202246029830689,0.709034713409338,-0.06678451431657975,-0.807407515543948,0
0.0,-0.5755392072810674,0.4187931916271319,0.0,0.0,0.0,-0.47267719303300354,-0.7267016572786755,0.054858708188619126,-0.807407515543948,0
0.0,-1.5000273827561676,-1.13454882822623,0.0,0.0,0.0,-0.9481512925336579,-0.7267016572786755,-1.2832167393685685,,0
0.0,-0.8066612511498424,-0.5520455707812192,0.0,0.0,0.0,-0.9481512925336579,-0.7267016572786755,-0.796643849347773,,0
0.0,-0.3444171634122923,-0.9403810757445596,0.0,0.0,0.0,-0.7579616527333962,-0.7267016572786755,-1.0399302943581707,,0
0.0,-1.5000273827561676,-1.13454882822623,0.0,0.0,0.0,-0.9481512925336579,-0.7267016572786755,-1.1615735168633696,-0.721308269056128,0
0.0,-0.8066612511498424,-0.6491294470220543,0.0,0.0,0.0,0.14543913631784722,1.5488866511833155,-0.4317141818321764,-0.721308269056128,0
0.0,0.348948968194033,0.515877067867967,0.0,0.0,0.0,-0.18739273333261086,-0.7267016572786755,0.176501930693818,-0.721308269056128,0
0.0,-0.1132951195435172,0.9042125728313075,0.0,0.0,0.0,0.09789172636778178,-0.7267016572786755,1.3929341557458068,-0.328337241259051,0
0.0,0.348948968194033,0.7100448203496372,0.0,0.0,0.0,-0.18739273333261086,-0.7267016572786755,0.29814515319901685,-0.721308269056128,0
0.0,-0.1132951195435172,-0.06662618957704364,0.0,0.0,0.0,0.0027969064676508985,-0.7267016572786755,-0.06678451431657975,-0.721308269056128,0
0.0,-1.0377832950186177,-0.6491294470220543,0.0,0.0,0.0,-0.47267719303300354,0.709034713409338,-0.4317141818321764,-0.721308269056128,0
0.0,0.8111930559315832,1.0983803253129778,0.0,0.0,0.0,1.001292515419025,2.1447710840973517,1.271290933240608,-0.328337241259051,0
0.0,2.197925319144234,0.7100448203496372,0.0,0.0,0.0,3.4737578328224283,-0.7267016572786755,2.6093663807977956,-0.328337241259051,0
0.0,0.8111930559315832,0.3217093153862968,0.0,0.0,0.0,0.9537451054689597,-0.7267016572786755,0.7847180432198124,1.2198750174016981,0
0.0,2.891291450750559,2.7488062214071745,0.0,0.0,0.0,2.712999273621381,0.709034713409338,2.6093663807977956,1.2198750174016981,0
0.0,1.9668032752754585,1.9721352114804935,0.0,0.0,0.0,2.332619994020858,0.709034713409338,1.8795070457666023,1.2198750174016981,0
0.0,2.4290473630130087,2.8458900976480095,0.0,0.0,0.0,1.9046933044702687,0.709034713409338,1.7578638232614034,-0.721308269056128,0
0.0,1.2734371436691334,0.9042125728313075,0.0,0.0,0.0,-0.13984532338254543,-0.7267016572786755,0.7847180432198124,1.2198750174016981,0
0.0,1.0423150998003583,0.6129609441088022,0.0,0.0,0.0,0.2405339562179781,-0.7267016572786755,0.29814515319901685,-0.721308269056128,0
0.0,0.5800710120628081,0.3217093153862968,0.0,0.0,0.0,-0.04475050348241454,-0.7267016572786755,0.176501930693818,-0.721308269056128,0
0.0,-0.3444171634122923,0.03045768666379147,0.0,0.0,0.0,-0.5677720129331344,-0.7267016572786755,-0.6750006268425741,-0.721308269056128,0
0.0,-0.5755392072810674,-0.35787781829954896,0.0,0.0,0.0,-0.7579616527333962,-0.7267016572786755,-1.1615735168633696,-0.721308269056128,0
0.0,-0.3444171634122923,-0.35787781829954896,0.0,0.0,0.0,-0.3300349631828072,-0.7267016572786755,0.176501930693818,1.2198750174016981,2
0.0,-0.3444171634122923,-0.35787781829954896,0.0,0.0,0.0,-0.3300349631828072,-0.7267016572786755,0.176501930693818,1.2198750174016981,2
0.0,0.11782692432525788,0.2246254391454617,0.0,0.0,0.0,-0.13984532338254543,-0.7267016572786755,0.054858708188619126,1.2198750174016981,2
0.0,0.11782692432525788,0.2246254391454617,0.0,0.0,0.0,-0.13984532338254543,-0.7267016572786755,0.054858708188619126,1.2198750174016981,2
0.0,-0.8066612511498424,-0.9403810757445596,0.0,0.0,0.0,-0.9481512925336579,0.709034713409338,-1.1615735168633696,1.2198750174016981,0
0.0,0.11782692432525788,0.3217093153862968,0.0,0.0,0.0,0.09789172636778178,-0.7267016572786755,0.176501930693818,-0.721308269056128,0
0.0,1.2734371436691334,2.166302963962164,0.0,0.0,0.0,1.5718614348198106,0.709034713409338,0.9063612657250113,1.2198750174016981,0
0.0,1.0423150998003583,0.8071286965904724,0.0,0.0,0.0,1.096387335319156,0.709034713409338,0.6630748207146135,-0.721308269056128,0
0.0,0.8111930559315832,1.5837997065171532,0.0,0.0,0.0,0.9537451054689597,0.709034713409338,0.5414315982094147,-0.721308269056128,0
0.0,0.11782692432525788,-0.5520455707812192,0.0,0.0,0.0,-0.37758237313287263,2.6069749586734394,-0.5533574043373752,1.2198750174016981,0
0.0,-0.5755392072810674,-0.26079394205871387,0.0,0.0,0.0,-0.9006038825835925,-0.7267016572786755,-0.9182870718529719,1.2198750174016981,0
0.0,-0.5755392072810674,-0.26079394205871387,0.0,0.0,0.0,-0.9006038825835925,-0.7267016572786755,-0.9182870718529719,1.2198750174016981,0
