°ü¸®¹øÈ£,À§µµ,°æµµ,Â÷·Î¼ö,Ä«Å×°í¸®
0021-W-0030,37.444464305,126.888458604,4,È¾´Üº¸µµ
0012-W-0001,37.461548661,126.886376472,4,È¾´Üº¸µµ
0021-W-0027,37.444863404,126.888436209,4,È¾´Üº¸µµ
0038-W-0002,37.455864059,126.881589591,1,È¾´Üº¸µµ
0038-W-0007,37.455659282,126.882458277,1,È¾´Üº¸µµ
0022-W-0003,37.452845312,126.885790627,2,È¾´Üº¸µµ
0021-W-0009,37.448009257,126.888279883,1,È¾´Üº¸µµ
0021-W-0013,37.447432265,126.888919393,2,È¾´Üº¸µµ
0033-W-0004,37.461198513,126.88080533,2,È¾´Üº¸µµ
0038-W-0009,37.455664245,126.881239974,1,È¾´Üº¸µµ
0038-W-0010,37.454870258,126.882865176,1,È¾´Üº¸µµ
0038-W-0011,37.455239332,126.882717175,1,È¾´Üº¸µµ
0038-W-0012,37.455248189,126.882644272,1,È¾´Üº¸µµ
0038-W-0013,37.45517629,126.882684844,1,È¾´Üº¸µµ
0017-W-0003,37.463872059,126.874295521,4,È¾´Üº¸µµ
0017-W-0005,37.464453432,126.874892666,4,È¾´Üº¸µµ
0017-W-0002,37.46369695,126.874245655,4,È¾´Üº¸µµ
0017-W-0001,37.46314287,126.874719173,2,È¾´Üº¸µµ
0026-W-0001,37.463902933,126.868525738,4,È¾´Üº¸µµ
0026-W-0004,37.463991901,126.866518564,4,È¾´Üº¸µµ
0010-W-0002,37.465342632,126.869240517,2,È¾´Üº¸µµ
0010-W-0001,37.46574747,126.869015788,2,È¾´Üº¸µµ
0010-W-0003,37.465129525,126.868541453,2,È¾´Üº¸µµ
0010-W-0004,37.465184981,126.868007063,2,È¾´Üº¸µµ
0010-W-0005,37.465389067,126.866982023,2,È¾´Üº¸µµ
0045-W-0002,37.467418308,126.864811502,3,È¾´Üº¸µµ
0045-W-0006,37.467970254,126.865016461,3,È¾´Üº¸µµ
0045-W-0007,37.468541714,126.865445155,3,È¾´Üº¸µµ
0045-W-0008,37.468985908,126.866094343,3,È¾´Üº¸µµ
0023-W-0003,37.469790849,126.866487628,3,È¾´Üº¸µµ
0023-W-0004,37.470085065,126.866931901,3,È¾´Üº¸µµ
0023-W-0006,37.47083446,126.867075447,4,È¾´Üº¸µµ
0023-W-0008,37.471068407,126.866926587,4,È¾´Üº¸µµ
0023-W-0011,37.471224072,126.867006572,4,È¾´Üº¸µµ
0023-W-0009,37.471159387,126.866761784,4,È¾´Üº¸µµ
0023-W-0010,37.471248806,126.866875748,4,È¾´Üº¸µµ
0023-W-0013,37.47116924,126.86689722,4,È¾´Üº¸µµ
0023-W-0012,37.471169004,126.866902181,4,È¾´Üº¸µµ
0047-W-0001,37.471147577,126.865668655,3,È¾´Üº¸µµ
0047-W-0003,37.471267564,126.865636356,3,È¾´Üº¸µµ
0047-W-0004,37.472245531,126.865530674,2,È¾´Üº¸µµ
0047-W-0007,37.472522418,126.865430541,2,È¾´Üº¸µµ
0046-W-0001,37.473475733,126.865287092,2,È¾´Üº¸µµ
0046-W-0002,37.473590164,126.865103019,2,È¾´Üº¸µµ
0046-W-0003,37.474084435,126.86432205,2,È¾´Üº¸µµ
0046-W-0004,37.474972138,126.864201089,2,È¾´Üº¸µµ
0046-W-0005,37.474993606,126.864138057,2,È¾´Üº¸µµ
0046-W-0006,37.475040828,126.864151319,2,È¾´Üº¸µµ
0046-W-0007,37.47502602,126.864203703,2,È¾´Üº¸µµ
0004-W-0002,37.473650818,126.86729442,6,È¾´Üº¸µµ
0004-W-0004,37.473322716,126.867425186,6,È¾´Üº¸µµ
0023-W-0015,37.471649014,126.868062108,4,È¾´Üº¸µµ
0023-W-0014,37.471466071,126.867890779,4,È¾´Üº¸µµ
0023-W-0016,37.471403693,126.868151196,4,È¾´Üº¸µµ
0023-W-0019,37.47022179,126.868584502,6,È¾´Üº¸µµ
0023-W-0018,37.470047184,126.868393298,5,È¾´Üº¸µµ
0023-W-0017,37.469951623,126.868619008,6,È¾´Üº¸µµ
0023-W-0020,37.470127755,126.86878713,5,È¾´Üº¸µµ
0023-W-0021,37.47034055,126.870031109,5,È¾´Üº¸µµ
0026-W-0003,37.464085844,126.866700537,4,È¾´Üº¸µµ
0010-W-0008,37.466553266,126.865067695,2,È¾´Üº¸µµ
0010-W-0007,37.466442761,126.865017056,2,È¾´Üº¸µµ
0010-W-0009,37.466473301,126.86521897,2,È¾´Üº¸µµ
0010-W-0006,37.466367759,126.865132875,2,È¾´Üº¸µµ
0045-W-0001,37.467346248,126.864748532,3,È¾´Üº¸µµ
0045-W-0004,37.467959024,126.864805967,3,È¾´Üº¸µµ
0045-W-0005,37.468016052,126.864823419,3,È¾´Üº¸µµ
0045-W-0003,37.467835901,126.864751913,3,È¾´Üº¸µµ
0023-W-0007,37.470865402,126.866903453,2,È¾´Üº¸µµ
0047-W-0002,37.471194301,126.865582927,3,È¾´Üº¸µµ
0047-W-0005,37.472306892,126.865390231,2,È¾´Üº¸µµ
0047-W-0006,37.472447766,126.865379006,2,È¾´Üº¸µµ
0004-W-0001,37.474014182,126.866996907,2,È¾´Üº¸µµ
0017-W-0004,37.463832774,126.874128423,4,È¾´Üº¸µµ
0031-W-0001,37.46166922,126.878057014,6,È¾´Üº¸µµ
0026-W-0002,37.463990297,126.868451204,4,È¾´Üº¸µµ
0026-W-0006,37.464140917,126.87044825,6,È¾´Üº¸µµ
0026-W-0007,37.464382897,126.870470187,6,È¾´Üº¸µµ
0026-W-0008,37.464175987,126.87078824,6,È¾´Üº¸µµ
0023-W-0001,37.469345033,126.865902816,2,È¾´Üº¸µµ
0023-W-0002,37.46963592,126.866347877,2,È¾´Üº¸µµ
0023-W-0005,37.470109307,126.866831785,2,È¾´Üº¸µµ
0004-W-0003,37.473520009,126.867523217,6,È¾´Üº¸µµ
0004-W-0005,37.473329816,126.867667792,2,È¾´Üº¸µµ
0004-W-0006,37.473511096,126.867157267,2,È¾´Üº¸µµ
0026-W-0005,37.463566632,126.864613001,4,È¾´Üº¸µµ
