관리번호,위도,경도,카테고리
0049-T-0005,37.431739455,126.877679801,신호등
0049-T-0006,37.431715622,126.877685819,신호등
0049-T-0007,37.43175523,126.877661839,신호등
0049-T-0008,37.431761382,126.877559067,신호등
0049-T-0009,37.431701903,126.877674631,신호등
0049-T-0010,37.431742801,126.87774519,신호등
0024-T-0001,37.43181851,126.883669399,신호등
0024-T-0002,37.432008263,126.883650537,신호등
0024-T-0003,37.431950828,126.883679658,신호등
0024-T-0004,37.431881094,126.883675282,신호등
0024-T-0005,37.431807046,126.883861235,신호등
0024-T-0006,37.431813271,126.883796459,신호등
0024-T-0007,37.431992649,126.883782729,신호등
0024-T-0008,37.431940287,126.883869504,신호등
0024-T-0009,37.431885445,126.883857631,신호등
0024-T-0010,37.431835994,126.883920189,신호등
0024-T-0011,37.431995194,126.883947145,신호등
0024-T-0012,37.431977499,126.885358194,신호등
0024-T-0013,37.431913139,126.885364271,신호등
0024-T-0014,37.432111,126.88535799,신호등
0024-T-0015,37.432108688,126.88543273,신호등
0024-T-0016,37.432027817,126.885621189,신호등
0024-T-0017,37.431968239,126.885642206,신호등
0024-T-0018,37.431913423,126.885657236,신호등
0024-T-0019,37.431858586,126.885651341,신호등
0024-T-0020,37.433169591,126.885484924,신호등
0024-T-0021,37.433164777,126.885437099,신호등
0024-T-0022,37.433267318,126.885469828,신호등
0024-T-0023,37.433427033,126.885460616,신호등
0024-T-0024,37.433438793,126.885296175,신호등
0024-T-0025,37.433438863,126.885367923,신호등
0024-T-0026,37.433310084,126.885320287,신호등
