관리번호,위도,경도,카테고리
0021-T-0090,37.44480829,126.888605661,신호등
0021-T-0092,37.444852944,126.88864111,신호등
0021-T-0091,37.444847802,126.888605581,신호등
0021-T-0093,37.445105191,126.888658776,신호등
0021-T-0097,37.445051936,126.888553642,신호등
0021-T-0096,37.445135095,126.888474954,신호등
0021-T-0078,37.445356835,126.887042172,신호등
0021-T-0080,37.445205624,126.886844374,신호등
0021-T-0079,37.445335268,126.886921667,신호등
0021-T-0081,37.445238357,126.886975624,신호등
0021-T-0010,37.449587547,126.888095968,신호등
0021-T-0041,37.447332056,126.889943241,신호등
0021-T-0051,37.447371418,126.89011139,신호등
0021-T-0053,37.447565018,126.889964299,신호등
0021-T-0054,37.447550324,126.89000425,신호등
0021-T-0046,37.447533375,126.889832384,신호등
0021-T-0029,37.448090741,126.888271988,신호등
0021-T-0094,37.445133938,126.888571942,신호등
0021-T-0095,37.445107267,126.888579757,신호등
0018-T-0001,37.40179065,126.87311251,신호등
0018-T-0002,37.402056547,126.872087087,신호등
0018-T-0003,37.401968412,126.872152979,신호등
0018-T-0004,37.402056657,126.872188688,신호등
0027-T-0001,37.490675051,126.868214837,신호등
0027-T-0002,37.490658653,126.868259412,신호등
0027-T-0003,37.490562842,126.868232949,신호등
0027-T-0004,37.490650479,126.867919959,신호등
0027-T-0005,37.490534263,126.86800193,신호등
0027-T-0006,37.490629858,126.86790141,신호등
0027-T-0007,37.490614924,126.868268584,신호등
0027-T-0008,37.490587955,126.867946701,신호등
0027-T-0009,37.489974682,126.867617494,신호등
0014-T-0001,37.487706296,126.868346159,신호등
0014-T-0002,37.487707942,126.868387993,신호등
0014-T-0003,37.487499485,126.86852205,신호등
0014-T-0004,37.487450511,126.868426769,신호등
0014-T-0005,37.487385694,126.868272698,신호등
0014-T-0006,37.487372521,126.868235593,신호등
0014-T-0007,37.487576335,126.868103512,신호등
0014-T-0008,37.487697506,126.868241082,신호등
0014-T-0009,37.48740383,126.868375636,신호등
0014-T-0010,37.487468939,126.868240423,신호등
0014-T-0011,37.487474959,126.868149618,신호등
0014-T-0012,37.486861116,126.867143656,신호등
0014-T-0013,37.487095718,126.867043126,신호등
0014-T-0014,37.486925722,126.866999663,신호등
0014-T-0015,37.487016129,126.867155075,신호등
0014-T-0016,37.486925512,126.868594976,신호등
0009-T-0001,37.477695896,126.872400703,신호등
0009-T-0002,37.477238136,126.872545391,신호등
0009-T-0003,37.477728658,126.87238834,신호등
0009-T-0004,37.477780537,126.872548876,신호등
0009-T-0005,37.477769717,126.872654335,신호등
0009-T-0006,37.47727924,126.872772204,신호등
0009-T-0007,37.477238735,126.872665844,신호등
0022-T-0002,37.455183534,126.883580428,신호등
0022-T-0005,37.455032953,126.88348665,신호등
0022-T-0019,37.454015777,126.884349554,신호등
0022-T-0020,37.454029551,126.884395457,신호등
0022-T-0022,37.453985967,126.884284541,신호등
0022-T-0021,37.453978473,126.884420411,신호등
0022-T-0027,37.453340237,126.884647962,신호등
0022-T-0028,37.453333567,126.884848171,신호등
0022-T-0023,37.453378076,126.884734011,신호등
0022-T-0024,37.453402165,126.884798555,신호등
0022-T-0036,37.452818361,126.884919461,신호등
0022-T-0037,37.452765516,126.884938759,신호등
0022-T-0038,37.452753141,126.884914179,신호등
0022-T-0039,37.452674051,126.884903463,신호등
0022-T-0040,37.45248642,126.885058815,신호등
0022-T-0042,37.452520804,126.88512119,신호등
0022-T-0041,37.452569587,126.884990879,신호등
0022-T-0043,37.452554326,126.885180336,신호등
0022-T-0030,37.452580165,126.885279319,신호등
0022-T-0029,37.452587906,126.885298681,신호등
0022-T-0031,37.452683086,126.885229651,신호등
0022-T-0032,37.452864091,126.885178786,신호등
0022-T-0035,37.452850286,126.885101312,신호등
0022-T-0034,37.452840871,126.885125005,신호등
0022-T-0033,37.452779978,126.885157388,신호등
0021-T-0001,37.449826945,126.887433946,신호등
0019-T-0005,37.469192657,126.875741299,신호등
0019-T-0006,37.469000929,126.875846538,신호등
0032-T-0004,37.466070732,126.877855326,신호등
0016-T-0001,37.48380358,126.864075738,신호등
0025-T-0001,37.411140078,126.881539834,신호등
0025-T-0002,37.411177834,126.881615356,신호등
0025-T-0003,37.411326136,126.881706451,신호등
0025-T-0004,37.414724794,126.881556235,신호등
0025-T-0005,37.414807666,126.881530909,신호등
0025-T-0006,37.414868069,126.881644192,신호등
0025-T-0007,37.414837659,126.881379692,신호등
0025-T-0008,37.414933126,126.881388989,신호등
0025-T-0009,37.414870237,126.881300906,신호등
0025-T-0010,37.415141595,126.881357167,신호등
0025-T-0011,37.415031112,126.881404582,신호등
0025-T-0012,37.415267405,126.881564828,신호등
0025-T-0013,37.415109187,126.88160602,신호등
0025-T-0014,37.415039174,126.881930517,신호등
0025-T-0015,37.415064141,126.881776158,신호등
0025-T-0016,37.414946207,126.881908617,신호등
0025-T-0017,37.414709942,126.881776714,신호등
0025-T-0018,37.414863234,126.881833162,신호등
0025-T-0019,37.414832714,126.881458434,신호등
0025-T-0020,37.413170066,126.881788582,신호등
0025-T-0021,37.413247977,126.881826252,신호등
0025-T-0022,37.413298073,126.881681305,신호등
0025-T-0023,37.413207598,126.881640506,신호등
0025-T-0024,37.413212755,126.881772769,신호등
0025-T-0025,37.413704158,126.880817749,신호등
0025-T-0026,37.413583726,126.880962809,신호등
0025-T-0027,37.413450524,126.880900033,신호등
