관리번호,위도,경도,교육시설명칭,카테고리
0022-R-0008,37.452740383,126.885218427,구름산초등학교,도로적색표면
0022-R-0007,37.452935218,126.88547375,구름산초등학교,도로적색표면
0022-R-0009,37.452405928,126.884722336,구름산초등학교,도로적색표면
0022-R-0010,37.452084165,126.884144292,구름산초등학교,도로적색표면
0021-R-0001,37.449909824,126.887939534,소하초등학교,도로적색표면
0021-R-0002,37.449752241,126.888359938,소하초등학교,도로적색표면
0021-R-0003,37.44928581,126.888063412,소하초등학교,도로적색표면
0021-R-0004,37.448766652,126.888104466,소하초등학교,도로적색표면
0021-R-0005,37.448325571,126.888140312,소하초등학교,도로적색표면
0021-R-0006,37.44767497,126.888197683,소하초등학교,도로적색표면
0021-R-0008,37.447387154,126.888620092,소하초등학교,도로적색표면
0021-R-0009,37.44695719,126.888307674,소하초등학교,도로적색표면
0021-R-0010,37.446534362,126.888340305,소하초등학교,도로적색표면
0021-R-0011,37.446101231,126.888289728,소하초등학교,도로적색표면
0021-R-0012,37.445375546,126.888380333,소하초등학교,도로적색표면
0021-R-0016,37.44530712,126.886598865,소하초등학교,도로적색표면
0021-R-0015,37.445242843,126.887273676,소하초등학교,도로적색표면
0021-R-0013,37.445011082,126.887916007,소하초등학교,도로적색표면
0021-R-0018,37.444657525,126.888507631,소하초등학교,도로적색표면
0030-R-0001,37.456719704,126.878444415,예솔유치원,도로적색표면
0011-R-0004,37.45793542,126.879816768,가림초등학교,도로적색표면
0011-R-0002,37.457922568,126.880252743,가림초등학교,도로적색표면
0011-R-0003,37.457501593,126.8806335,가림초등학교,도로적색표면
0011-R-0005,37.45833861,126.879914145,가림초등학교,도로적색표면
0011-R-0007,37.458794471,126.879517166,가림초등학교,도로적색표면
0011-R-0001,37.458371095,126.88040133,가림초등학교,도로적색표면
0022-R-0001,37.454862949,126.883351009,구름산초등학교,도로적색표면
0022-R-0002,37.455417317,126.883466548,구름산초등학교,도로적색표면
0022-R-0003,37.455249763,126.884040228,구름산초등학교,도로적색표면
0022-R-0004,37.454481341,126.884038555,구름산초등학교,도로적색표면
0022-R-0005,37.453695616,126.884486679,구름산초등학교,도로적색표면
0022-R-0006,37.453089959,126.884870239,구름산초등학교,도로적색표면
0021-R-0017,37.445620392,126.886003812,소하초등학교,도로적색표면
0021-R-0020,37.444407319,126.888534762,소하초등학교,도로적색표면
0012-R-0001,37.461148735,126.885560649,하안남초등학교,도로적색표면
0011-R-0006,37.458566936,126.879712548,가림초등학교,도로적색표면
0021-R-0019,37.445032621,126.889101245,소하초등학교,도로적색표면
0020-R-0001,37.465516569,126.881577807,연서초등학교,도로적색표면
0018-R-0001,37.402033255,126.872226031,안서초등학교,도로적색표면
0018-R-0002,37.402031895,126.87243825,안서초등학교,도로적색표면
0018-R-0003,37.402232869,126.871848835,안서초등학교,도로적색표면
0018-R-0004,37.402014341,126.871773884,안서초등학교,도로적색표면
0018-R-0005,37.402084864,126.871270496,안서초등학교,도로적색표면
0006-R-0001,37.442261483,126.845694996,온신초등학교,도로적색표면
0006-R-0002,37.442556927,126.845632241,온신초등학교,도로적색표면
0006-R-0003,37.443405069,126.845585628,온신초등학교,도로적색표면
0048-R-0001,37.477792276,126.850856427,광명푸른숲어린이집,도로적색표면
0043-R-0001,37.470262707,126.856109394,예크어린이집,도로적색표면
0050-R-0001,37.475694904,126.849686489,엄지창의어린이집,도로적색표면
0002-R-0002,37.475959084,126.852867264,광명남초등학교,도로적색표면
0002-R-0003,37.476760055,126.85318829,광명남초등학교,도로적색표면
0002-R-0001,37.475341444,126.854385917,광명남초등학교,도로적색표면
0007-R-0002,37.478286188,126.847677923,광명서초등학교,도로적색표면
0007-R-0001,37.478691273,126.846908649,광명서초등학교,도로적색표면
0003-R-0002,37.470897907,126.848849071,광일초등학교,도로적색표면
0001-R-0002,37.480959122,126.85798871,광명초등학교,도로적색표면
0001-R-0001,37.480020956,126.858159566,광명초등학교,도로적색표면
0001-R-0003,37.480528384,126.85839259,광명초등학교,도로적색표면
0003-R-0003,37.471703403,126.846820004,광일초등학교,도로적색표면
0013-R-0001,37.467484509,126.851041832,광문초등학교,도로적색표면
0013-R-0002,37.466904858,126.850943197,광문초등학교,도로적색표면
0013-R-0003,37.466556659,126.850718855,광문초등학교,도로적색표면
0013-R-0004,37.467114619,126.851671304,광문초등학교,도로적색표면
0013-R-0005,37.467126785,126.852257514,광문초등학교,도로적색표면
0013-R-0006,37.467164542,126.852665795,광문초등학교,도로적색표면
0013-R-0007,37.467491916,126.85219409,광문초등학교,도로적색표면
0003-R-0001,37.469918922,126.847496566,광일초등학교,도로적색표면
0003-R-0004,37.470665502,126.846055576,광일초등학교,도로적색표면
0007-R-0003,37.477312868,126.847376917,광명서초등학교,도로적색표면
0007-R-0004,37.477724675,126.846347481,광명서초등학교,도로적색표면
0025-R-0001,37.41170214,126.88278073,빛가온초등학교,도로적색표면
0025-R-0002,37.411422552,126.881969292,빛가온초등학교,도로적색표면
0025-R-0003,37.41169903,126.881753688,빛가온초등학교,도로적색표면
0025-R-0004,37.413275658,126.880718964,빛가온초등학교,도로적색표면
0025-R-0005,37.413777084,126.880924533,빛가온초등학교,도로적색표면
0025-R-0006,37.414331368,126.88128503,빛가온초등학교,도로적색표면
0025-R-0007,37.414610152,126.881431437,빛가온초등학교,도로적색표면
0025-R-0008,37.415528813,126.88182555,빛가온초등학교,도로적색표면
0025-R-0009,37.414816686,126.882054547,빛가온초등학교,도로적색표면
0039-R-0001,37.418130722,126.889536647,빛가온유치원,도로적색표면
0039-R-0002,37.418342277,126.888709835,빛가온유치원,도로적색표면
0024-R-0001,37.431939329,126.882794659,충현초등학교,도로적색표면
0024-R-0002,37.431868478,126.88340473,충현초등학교,도로적색표면
0024-R-0003,37.431965804,126.884280217,충현초등학교,도로적색표면
0024-R-0004,37.431976673,126.885905205,충현초등학교,도로적색표면
0024-R-0005,37.433826103,126.885348151,충현초등학교,도로적색표면
0024-R-0006,37.43468267,126.885192464,충현초등학교,도로적색표면
0005-R-0001,37.439163809,126.881141435,서면초등학교,도로적색표면
0039-R-0003,37.417066858,126.888520844,빛가온유치원,도로적색표면
0025-R-0010,37.415081159,126.880869731,빛가온초등학교,도로적색표면
0039-R-0004,37.417888781,126.888990651,빛가온유치원,도로적색표면
0005-R-0002,37.436940113,126.87960007,서면초등학교,도로적색표면
0005-R-0003,37.437447798,126.879690372,서면초등학교,도로적색표면
0005-R-0004,37.438074036,126.879438243,서면초등학교,도로적색표면
0025-R-0011,37.413290248,126.881503483,빛가온초등학교,도로적색표면
0041-R-0001,37.434950662,126.885779701,트인아이유치원,도로적색표면
0025-R-0012,37.411658952,126.881195301,빛가온초등학교,도로적색표면
0025-R-0013,37.411144546,126.881822832,빛가온초등학교,도로적색표면
