시설물명,위도,경도,도로안전표지,도로적색표면,무단횡단방지펜스,무인교통단속카메라,보호구역표지판,생활안전CCTV,신호등,옐로카펫,횡단보도,발생건수,사상자수,사망및중상자수,시설물_총계,위험도_비율,중상비율,cluster,cluster_label
한양어린이집,37.435594,127.1281,2,6,12,4,5,36,2,1,2,97,98,57,70,1.3661971830985915,0.5757575757575758,1,위험
신흥제3어린이집,37.443531,127.148854,5,13,23,4,12,30,6,0,5,5,5,2,98,0.050505050505050504,0.3333333333333333,0,안전
아이세상 어린이집,37.4422,127.134779,2,8,17,5,22,37,5,0,2,45,46,25,98,0.45454545454545453,0.5319148936170213,1,위험
중앙동어린이집,37.442671,127.156555,6,7,19,2,14,35,6,0,9,43,43,33,98,0.43434343434343436,0.75,1,위험
금광2동제2어린이집,37.448432,127.163031,2,16,14,0,19,33,4,1,2,3,3,2,91,0.03260869565217391,0.5,2,보통
하대원어린이집,37.427838,127.149429,3,1,0,2,4,18,3,0,2,4,7,2,33,0.11764705882352941,0.25,2,보통
서현어린이집,37.382447,127.126079,1,7,8,2,12,12,3,1,1,12,13,8,47,0.25,0.5714285714285714,2,보통
늘사랑어린이집,37.408334,127.122855,4,3,11,1,9,9,4,0,4,4,5,2,45,0.08695652173913043,0.3333333333333333,2,보통
수내동어린이집,37.379099,127.114714,4,1,3,2,4,15,3,0,4,3,3,2,36,0.08108108108108109,0.5,2,보통
예림어린이집,37.450823,127.157599,1,22,23,2,16,27,6,0,4,7,9,5,101,0.06862745098039216,0.5,0,안전
성남혜은학교,37.450396,127.153922,5,21,18,5,24,26,7,3,6,3,3,2,115,0.02586206896551724,0.5,0,안전
케이디엘피어학원,37.389127,127.124549,7,7,16,2,15,11,10,0,9,7,7,4,77,0.08974358974358974,0.5,0,안전
