,안전시설명,소재지도로명주소,소재지지번주소,위도,경도,현존주소여부
690,(부천시)세븐일레븐 부천 라일락마을점,경기도 부천시 원미구 도약로 33,경기도 부천시 원미구 상동 523-11번지 1층,37.5126166558,126.7531670701,S
691,(부천시)메디칼약국,경기도 부천시 원미구 도약로 29,경기도 부천시 원미구 상동 523-8번지 에이스프라자 103호,37.5126675126,126.7526573817,S
692,(부천시)서울메디칼약국,경기도 부천시 원미구 송내대로265번길 85,경기도 부천시 원미구 상동 535-1번지,37.5073665058,126.753909555,S
693,(부천시)GS25(상동서해점),경기도 부천시 원미구 소향로 25,경기도 부천시 원미구 상동 546-6번지 서해프라자 107호,37.503965976,126.7506736993,S
694,(부천시)한양공인중개사사무소,경기도 부천시 원미구 조마루로 47,경기도 부천시 원미구 상동 550-7번지 행복한마을 상가동 103호,37.5021637199,126.749322771,S
695,(부천시)상동자이공인중개사,경기도 부천시 원미구 조마루로 52,경기도 부천시 원미구 상동 571-1번지 백송마을 102호,37.5007936889,126.7493251743,S
696,(부천시)색연필문구점,경기도 부천시 원미구 부흥로 71,경기도 부천시 원미구 상동 571-4번지 백송마을 상가 102호,37.4986056405,126.7496751569,S
697,(부천시)송림마트,경기도 부천시 원미구 부흥로 2,경기도 부천시 원미구 상동 573-2번지 송림프라자 102호,37.4970017272,126.7426885952,S
698,(부천시)커피에반하다 목련마을점,경기도 부천시 원미구 신상로 91,경기도 부천시 원미구 상동 589-1번지 목련마을 상가 103호,37.4954467576,126.7476026295,S
699,(부천시)상동세종약국,경기도 부천시 원미구 상이로 43,경기도 부천시 원미구 상동 600-6번지,37.4927092472,126.7437726556,S
700,(부천시)만물슈퍼,경기도 부천시 원미구 부일로505번길 12,경기도 부천시 원미구 심곡동 138-4번지 1층,37.4858557814,126.7867334777,S
701,(부천시)이화약국,경기도 부천시 원미구 장말로 294,경기도 부천시 원미구 심곡동 326번지 1층,37.4911992324,126.7746354657,S
702,(부천시)원미8080마트,경기도 부천시 원미구 조마루로358번길 17,경기도 부천시 원미구 심곡동 33번지,37.4975984112,126.7834315646,S
703,(부천시)심곡동우체국,경기도 부천시 원미구 부일로 412,경기도 부천시 원미구 심곡동 360-22번지 1층,37.4866908864,126.775844118,S
704,(부천시)HY 심곡점,경기도 부천시 원미구 부흥로374번길 25-5,경기도 부천시 원미구 심곡동 366-4번지,37.4908072528,126.7827724882,S
705,(부천시)코사나들가게,경기도 부천시 원미구 신흥로112번길 28,경기도 부천시 원미구 심곡동 440-3번지 1층,37.4933581254,126.7798182215,S
706,(부천시)원미센타약국,경기도 부천시 원미구 부천로 107,경기도 부천시 원미구 심곡동 93-13번지,37.4938200949,126.7846441473,S
708,(부천시)CU역곡은하점,경기도 부천시 원미구 역곡로20번길 49,경기도 부천시 원미구 역곡동 109-19번지 은하빌딩 1층,37.4878802761,126.8135223379,S
709,(부천시)한국마트,경기도 부천시 원미구 안곡로 292,경기도 부천시 원미구 역곡동 212-2번지,37.4921581788,126.8129175814,S
710,(부천시)한국공인중개사사무소,경기도 부천시 원미구 안곡로 292,경기도 부천시 원미구 역곡동 212-2번지 한국아파트 상가동 109호,37.4921581788,126.8129175814,S
711,(부천시)CU편의점(역곡2동점),경기도 부천시 원미구 부일로 711,경기도 부천시 원미구 역곡동 50-2번지 1층,37.4851664952,126.8087626022,S
712,(부천시)이마트24 R역곡센트레빌,경기도 부천시 원미구 지봉로63번길 20,경기도 부천시 원미구 역곡동 63-10번지 1층,37.4876211471,126.8061949184,S
713,(부천시)코사마트역곡점,경기도 부천시 원미구 지봉로107번길 21,경기도 부천시 원미구 역곡동 86번지 역곡1동 86 뉴목화타운 가-101,37.4891967497,126.8105127045,S
714,(부천시)창대마트,경기도 부천시 원미구 원미로198번길 19,경기도 부천시 원미구 원미동 10-17번지 정든마을 1층,37.4997724871,126.7942149188,S
715,(부천시)CU편의점(원미사랑점),경기도 부천시 원미구 조종로 27,경기도 부천시 원미구 원미동 103-10번지 1층,37.4932535928,126.7878509146,S
