,안전시설명,소재지도로명주소,소재지지번주소,위도,경도,현존주소여부
0,우리자동차운전학원,경기도 가평군 가평읍 태봉두밀로 34-71,경기도 가평군 가평읍 상색리 171-38번지,37.8045692526,127.4867885978,S
1,경희대튼튼체육관,경기도 가평군 가평읍 석봉로 146,경기도 가평군 가평읍 읍내리 329-21번지,37.8281479041,127.5116247916,S
2,CU가평군청점,경기도 가평군 가평읍 석봉로 175,경기도 가평군 가평읍 읍내리 495-30번지,37.8305905907,127.5103410681,S
3,GS25가평군청점,경기도 가평군 가평읍 석봉로 163,경기도 가평군 가평읍 읍내리 495-32번지,37.8297162878,127.5106364007,S
4,다래향,경기도 가평군 가평읍 향교로 4,경기도 가평군 가평읍 읍내리 535번지,37.829653226,127.5102954827,S
5,GS25 가평코아루점,경기도 가평군 가평읍 석봉로191번길 18,경기도 가평군 가평읍 읍내리 583-1번지 GS25 가평코아루점,37.8319878218,127.5078639131,S
6,용인대태권도아카데미,경기도 가평군 가평읍 석봉로191번길 16,경기도 가평군 가평읍 읍내리 584-7번지,37.8322041238,127.5080684885,S
7,북면어린이집,경기도 가평군 북면 석장모루길 10,경기도 가평군 북면 이곡리 11-6번지,37.8793606849,127.5469974701,S
8,IGA마트은선점,경기도 가평군 북면 가화로 943,경기도 가평군 북면 이곡리 67-19번지,37.8802262915,127.5461110511,S
9,모범약국,경기도 가평군 상면 청군로 696,경기도 가평군 상면 임초리 412-5번지,37.773963778,127.3720961687,S
10,이마트24 아침고요수목원2호점,경기도 가평군 상면 청군로 697,경기도 가평군 상면 임초리 417-3번지 이마트24 아침고요수목원2호점,37.7739182304,127.3716533986,S
11,설악현무체육관,경기도 가평군 설악면 자잠로 28-8,경기도 가평군 설악면 신천리 443-7번지,37.6796272332,127.4896799853,S
12,GS25편의점,경기도 가평군 설악면 신천중앙로 129,경기도 가평군 설악면 신천리 458-4번지,37.6778605952,127.4895328042,S
13,용한약국,경기도 가평군 설악면 신천중앙로132번길 3,경기도 가평군 설악면 신천리 466-3번지,37.6781760323,127.4891812048,S
14,또래분식,경기도 가평군 조종면 조종새싹로 34,경기도 가평군 조종면 현리 233-12번지,37.8217884601,127.3497206181,S
15,서울프라자약국,경기도 가평군 조종면 현창로38번길 4-1,경기도 가평군 조종면 현리 265-2번지,37.8185335078,127.3487841781,S
16,힘찬체육관,경기도 가평군 조종면 조종새싹로 30,경기도 가평군 조종면 현리 283-3번지,37.8213378174,127.3497328942,S
17,GS25 대성리점,경기도 가평군 청평면 경춘로 89,경기도 가평군 청평면 대성리 399-25번지,37.6838552138,127.378250625,S
18,대성마트,경기도 가평군 청평면 경춘로 61,경기도 가평군 청평면 대성리 399-51번지,37.68161024,127.3776305389,S
19,CU청평역점,경기도 가평군 청평면 잠곡로 36,경기도 가평군 청평면 청평리 388-10번지,37.7371345218,127.4226760549,S
20,알파문구,경기도 가평군 청평면 청평중앙로72번길 16,경기도 가평군 청평면 청평리 389-1번지,37.7381349379,127.4225842174,S
21,용인대화랑체육관,경기도 가평군 청평면 잠곡로 22-1,경기도 가평군 청평면 청평리 403-10번지,37.7366108039,127.421246576,S
22,미진사세탁,경기도 가평군 청평면 잠곡로 15,경기도 가평군 청평면 청평리 413-14번지,37.7370789312,127.4204062197,S
23,BIKE ON,경기도 가평군 청평면 여울길 39,경기도 가평군 청평면 청평리 423-16번지 (여울길 39. BIKE ON),37.7363120992,127.41937425,S
24,세븐일레븐청평터미널점,경기도 가평군 청평면 청평중앙로 58,경기도 가평군 청평면 청평리 432-19번지,37.7383410523,127.4207907568,S
25,가야편의점,경기도 고양시 덕양구 벽제관로 33-10,경기도 고양시 덕양구 고양동 235-4 벽제관로33-10,37.7033496537,126.9004099658,S
26,행운공인부동산,,경기도 고양시 덕양구 고양동 719 푸른마을로 15,37.7094117275,126.9032087434,S
27,아이모드 안경,경기도 고양시 덕양구 푸른마을로 6,경기도 고양시 덕양구 고양동 721 푸른마을로 6,37.7089058015,126.9029745554,S
28,GS고양동익점,경기도 고양시 덕양구 푸른마을로 6,경기도 고양시 덕양구 고양동 721번지,37.7089058015,126.9029745554,S
29,아이원마트,경기도 고양시 덕양구 푸른마을로 56,경기도 고양시 덕양구 고양동 730 푸른마을로 56,37.7140125151,126.9075853564,S
30,CU고양동푸른마을점,경기도 고양시 덕양구 푸른마을로 52,경기도 고양시 덕양구 고양동 734번지 푸른4단지 상가 102호,37.7121386337,126.9059665225,S
33,내곡슈퍼,경기도 고양시 덕양구 내곡길70번길 3,경기도 고양시 덕양구 내곡동 44-2번지,37.6434582679,126.8100414779,S
34,문구프라자,경기도 고양시 덕양구 유산길 6,경기도 고양시 덕양구 내유동 646-24 유산길6,37.7254020428,126.8440053017,S
35,건강드림약국,경기도 고양시 덕양구 도래울로 52,경기도 고양시 덕양구 도내동 1020번지 도래울아이랑소아청소년과의원센터프라자 1층,37.6303700879,126.8694795633,S
36,도래울떡방,경기도 고양시 덕양구 도래울1로 57,경기도 고양시 덕양구 도내동 1091번지 태종빌딩 1층 101호,37.6286646468,126.8691199894,S
37,GS25 편의점(삼송점),경기도 고양시 덕양구 삼송로 191,경기도 고양시 덕양구 삼송동 24-35 삼송로 189-7 104호,37.6538753244,126.8950149947,S
38,CU고양삼송로점,경기도 고양시 덕양구 삼송로 172,경기도 고양시 덕양구 삼송동 30-35번지 CU고양삼송로점,37.6529720372,126.8928797262,S
39,GS삼송18단지점,,경기도 고양시 덕양구 삼송동 332번지 gs고양삼송18단지점,37.6475060867,126.8800015731,S
40,CU고양삼송18단지점,,경기도 고양시 덕양구 삼송동 332번지 삼송마을18단지,37.6475060867,126.8800015731,S
41,CU원당역점,경기도 고양시 덕양구 호국로790번길 113,경기도 고양시 덕양구 성사동 408-7번지 cu원당역점,37.6541047207,126.8419009258,S
42,GS25신원당어울림점,,경기도 고양시 덕양구 성사동 731 호국로742번길 34,37.6526846764,126.8345901327,S
43,복지슈퍼,경기도 고양시 덕양구 호국로716번길 7-18,경기도 고양시 덕양구 성사동 736-14 호국로716번길 7-18,37.6517823545,126.8328183888,S
44,CU원흥 봄오피스텔점,경기도 고양시 덕양구 권율대로 672,경기도 고양시 덕양구 원흥동 627번지 CU원흥 봄오피스텔점,37.6498728739,126.8741778591,S
45,CU원흥역점,경기도 고양시 덕양구 원흥3로 16,경기도 고양시 덕양구 원흥동 631번지 CU원흥역점,37.6492364441,126.8748406827,S
46,원당문구,경기도 고양시 덕양구 마상로107번길 7,경기도 고양시 덕양구 주교동 575-5 마상로107번길 7,37.6612706943,126.8355452326,S
47,두배로마트(주교점),경기도 고양시 덕양구 마상로 100,경기도 고양시 덕양구 주교동 581-17 (마상로 100),37.6612111211,126.8345707203,S
48,GS25(고양원당점),경기도 고양시 덕양구 호국로779번길 29,경기도 고양시 덕양구 주교동 611 (호국로779번길 29),37.65686349,126.8339973242,S
49,경성부동산,경기도 고양시 덕양구 토당로 133-2,경기도 고양시 덕양구 토당동 248-6 토당로133-2,37.6269197018,126.8179344788,S
50,모퉁이떡볶이,경기도 고양시 덕양구 서정마을로 27,경기도 고양시 덕양구 행신동 1073번지 서정마을 104호,37.6191819702,126.849086999,S
51,행신마트,,경기도 고양시 덕양구 행신동 1074 서정마을2로 2,37.6207946296,126.8456961284,S
52,보광당,경기도 고양시 덕양구 행신로 155-6,경기도 고양시 덕양구 행신동 621-5 행신로 155-6,37.6194333901,126.8327789692,S
53,이조약국,경기도 고양시 덕양구 행신로143번길 72-1,경기도 고양시 덕양구 행신동 634-35 행신로143번길 72-1,37.6226521073,126.8313563838,S
54,CU행신역점,경기도 고양시 덕양구 충장로 14,경기도 고양시 덕양구 행신동 762번지 CU행신역점,37.6140350057,126.8344814671,S
55,삼보부동산,,경기도 고양시 덕양구 행신동 771 화신로 31,37.6157072339,126.8385343199,S
56,삼보약국,,경기도 고양시 덕양구 행신동 771 화신로 31,37.6157072339,126.8385343199,S
57,동광부동산,,경기도 고양시 덕양구 행신동 773 (화신로 45 108호),37.616933685,126.8386480957,S
58,굿모닝안경,,경기도 고양시 덕양구 행신동 783 충경로 87,37.6157120577,126.8393954181,S
59,가나부동산,경기도 고양시 덕양구 소만로 12,경기도 고양시 덕양구 행신동 788번지 788,37.6141857917,126.8420829353,S
60,하나로약국,경기도 고양시 덕양구 충장로 134,경기도 고양시 덕양구 행신동 943-1 충장로 134,37.6243759676,126.8349558866,S
61,삼천리자전거,경기도 고양시 덕양구 충장로 118-30,경기도 고양시 덕양구 행신동 983 충장로118-30,37.620307319,126.8359099832,S
62,정성가든,경기도 고양시 덕양구 행주로17번길 82,경기도 고양시 덕양구 행주내동 174-2 행주로 17번길 82,37.6025193598,126.8239803182,S
63,보디가드,경기도 고양시 덕양구 꽃마을로 64,경기도 고양시 덕양구 향동동 523번지 스타허브플러스,37.6005441979,126.8934193107,S
64,코사마트(새마을점),경기도 고양시 덕양구 중앙로78번안길 67,경기도 고양시 덕양구 화전동 159-6번지,37.5999219771,126.8777797971,S
65,DM존,경기도 고양시 덕양구 화랑로 23,경기도 고양시 덕양구 화전동 203-140번지,37.6009221373,126.8709176776,S
66,코사마트(화전점),경기도 고양시 덕양구 화랑로 74-1,경기도 고양시 덕양구 화전동 562-48번지,37.6051012474,126.86865063,S
67,이화문구,경기도 고양시 덕양구 백양로 161,경기도 고양시 덕양구 화정동 885-13번지,37.6400787893,126.8352466409,S
68,예원문구(웨이팅),경기도 고양시 덕양구 화신로 319,경기도 고양시 덕양구 화정동 946번지 문정빌딩 화신로 319,37.6326551121,126.8262914158,S
69,이마트24,경기도 고양시 덕양구 화신로 234,경기도 고양시 덕양구 화정동 993번지 993 화신로234,37.6305432563,126.8353429206,S
70,쌍용부동산,,경기도 고양시 일산동구 마두동 717,37.6591894026,126.7922889575,S
71,동심어린이집,,경기도 고양시 일산동구 마두동 734번지 백마마을4단지아파트 734,37.6554161932,126.7928462662,S
72,삼성공인중개사사무소,경기도 고양시 일산동구 일산로 241-1,경기도 고양시 일산동구 마두동 755번지 백마마을1단지 A동,37.6571499421,126.78738803,S
73,성심공인중개사,,경기도 고양시 일산동구 마두동 794번지 강촌마을8단지아파트 794,37.6560985387,126.7804825679,S
74,서포트부동산,경기도 고양시 일산동구 강석로 141,경기도 고양시 일산동구 마두동 800 마두파킹프라자,37.6532085913,126.7780731156,S
75,보람미용실(보람헤어라인),경기도 고양시 일산동구 산두로 87,경기도 고양시 일산동구 마두동 828번지 828,37.6657371461,126.7869884615,S
76,RSM MOTORS(르노삼성),경기도 고양시 일산동구 일산로286번길 25-1,경기도 고양시 일산동구 마두동 901-3번지 905호,37.6618724723,126.7873202111,S
77,고봉이용원,경기도 고양시 일산동구 문봉길 93,경기도 고양시 일산동구 문봉동 204-3,37.7062637615,126.813350833,S
80,민속떡집,,경기도 고양시 일산동구 백석동 1186,37.6504235918,126.7899689114,S
81,평화몬테소리,,경기도 고양시 일산동구 백석동 1190번지 백송마을삼호5단지아파트,37.6505339119,126.7873378951,S
82,한국야쿠르트 서경영업소,경기도 고양시 일산동구 강송로113번길 7-6,경기도 고양시 일산동구 백석동 1227-2번지,37.6487086797,126.7865845038,S
83,이페니아미용실,경기도 고양시 일산동구 장백로 59,경기도 고양시 일산동구 백석동 1343번지 1343,37.6427845652,126.7861877695,S
85,CU 식사자이점,경기도 고양시 일산동구 위시티4로 80,경기도 고양시 일산동구 식사동 1487번지 식사동 1487 위시티 상가 109호,37.682294777,126.8128573653,S
86,성우카센터,경기도 고양시 일산동구 고양대로1037번길 5,경기도 고양시 일산동구 식사동 619-38,37.6723148721,126.8078466806,S
87,CU일산광장점,경기도 고양시 일산동구 중앙로1275번길 56,경기도 고양시 일산동구 장항동 769-2번지,37.6592599524,126.769851608,S
88,청구약국,경기도 고양시 일산동구 노루목로 99,경기도 고양시 일산동구 장항동 883 청구(아) 111,37.6494183676,126.7758426308,S
89,청구약국,경기도 고양시 일산동구 노루목로 107,경기도 고양시 일산동구 장항동 883번지,37.6500482401,126.7771401521,S
90,명지키즈태권도,,경기도 고양시 일산동구 장항동 883번지 호수마을5단지아파트,37.6497058698,126.7756924721,S
93,현대트랜스팩,경기도 고양시 일산동구 산두로201번길 26,경기도 고양시 일산동구 정발산동 1244-9,37.6739481826,126.7810473128,S
94,용인대타이곤태권도장,경기도 고양시 일산동구 산두로 192,경기도 고양시 일산동구 정발산동 1265-4번지,37.6743557866,126.7828577286,S
95,춘천명동1번지닭갈비,경기도 고양시 일산동구 대산로11번길 24-2,경기도 고양시 일산동구 정발산동 686-9번지,37.6688484464,126.7739757227,S
96,코사마트(중산2호점),,경기도 고양시 일산동구 중산동 1576 중산 12단지,37.6871298334,126.7817593626,S
97,석사중산태권도,경기도 고양시 일산동구 탄중로417번길 4,경기도 고양시 일산동구 중산동 1580-3번지 4층,37.6872169373,126.7797850777,S
98,제일공인중개사사무소,경기도 고양시 일산동구 하늘마을1로 23,경기도 고양시 일산동구 중산동 1800번지 1800,37.6758186954,126.7877765065,S
99,CU풍동5단지점,경기도 고양시 일산동구 숲속마을로 50-38,경기도 고양시 일산동구 풍동 1273번지 에이스아파트 상가동,37.6679347069,126.7987370182,S
100,홈플러스 익스프레스,경기도 고양시 일산동구 숲속마을로 40,경기도 고양시 일산동구 풍동 1279-1번지,37.6673855368,126.7988442332,S
101,해봄약국,경기도 고양시 일산동구 숲속마을1로 29-30,경기도 고양시 일산동구 풍동 1354,37.6641224258,126.7972762528,S
102,비룡태권도,경기도 고양시 일산동구 숲속마을로 49-32,경기도 고양시 일산동구 풍동 그린프라자 3층,37.6658057801,126.7969202302,S
103,아이태권스쿨,경기도 고양시 일산동구 숲속마을로 44,경기도 고양시 일산동구 풍동 미래타워 5층,37.6674090687,126.7982544029,S
104,고양주공태권도체육관,경기도 고양시 일산동구 숲속마을1로 71,경기도 고양시 일산동구 풍동 샘터 17 빌딩,37.6673637526,126.799728851,S
105,(일산서구) GS가좌대우점,경기도 고양시 일산서구 가좌3로 43,경기도 고양시 일산서구 가좌동 1089 대우2단지 상가 101,37.6881039375,126.7181000538,S
106,(일산서구) 일산선약국,경기도 고양시 일산서구 가좌3로 43,경기도 고양시 일산서구 가좌동 1089번지,37.6881039375,126.7181000538,S
107,엉터리 해장국&amp;곱창전골,경기도 고양시 일산서구 가좌3로 7-5,경기도 고양시 일산서구 가좌동 308-11번지,37.6854660424,126.7199083366,S
108,(일산서구)대우부동산,경기도 고양시 일산서구 가좌3로 47,경기도 고양시 일산서구 가좌동 404번지 선진상가 103호,37.6883361575,126.7177800462,S
110,(일산서구) 살롱드보떼,경기도 고양시 일산서구 성저로 102-11,경기도 고양시 일산서구 대화동 2005-15,37.6848568928,126.758202779,S
111,(일산서구) 챔문구점,경기도 고양시 일산서구 웅비로12번길 5-7,경기도 고양시 일산서구 대화동 2020-2,37.6843786677,126.7566878224,S
112,(일산서구) 삼성공인중개사사무소,경기도 고양시 일산서구 일산로 638,경기도 고양시 일산서구 대화동 2032-4 성저빌딩 104호,37.6820829287,126.7585366071,S
113,(일산서구) 일산태극체육관,,경기도 고양시 일산서구 대화동 2212번지 성저동익아파트 성저마을동익1단지아파트 성저동익상가 3층,37.6783378672,126.7506810552,S
114,(일산서구) 파리바게트 대화역점,경기도 고양시 일산서구 중앙로 1567,경기도 고양시 일산서구 대화동 2222,37.6757306684,126.7474754146,S
115,사랑웃음가득어린이집,경기도 고양시 일산서구 일산로803번길 47-15,경기도 고양시 일산서구 대화동 2277-1번지,37.6717719912,126.7500100324,S
116,(일산서구) CU덕이동문점,경기도 고양시 일산서구 덕산로 282,경기도 고양시 일산서구 덕이동 1037 (동문2차마트 상가),37.6955276741,126.7341062822,S
117,(일산서구) GS25시 덕이하이파크점,경기도 고양시 일산서구 하이파크3로 111,경기도 고양시 일산서구 덕이동 1529번지 하이파크시티일산파밀리에2단지 GS25덕이하이파크점,37.7003663898,126.7521495683,S
118,타이어테크 덕이점,경기도 고양시 일산서구 경의로 827,경기도 고양시 일산서구 덕이동 260-10번지,37.6913697101,126.7590452847,S
119,(일산서구) 자전거 장남감나라,경기도 고양시 일산서구 덕이로 92,경기도 고양시 일산서구 덕이동 520-5,37.6915272086,126.7497430504,S
121,CU후곡6단지점,경기도 고양시 일산서구 일산로 614,경기도 고양시 일산서구 일산동 1050번지 후곡마을6단지 상가,37.6811417562,126.7608027744,S
122,(일산서구) 경희대한국태권도장,경기도 고양시 일산서구 일산로 589,경기도 고양시 일산서구 일산동 1054-1,37.6795411989,126.7628485981,S
123,(일산서구) 으뜸부동산,경기도 고양시 일산서구 후곡로 12,경기도 고양시 일산서구 일산동 1058 후곡9단지상가,37.6783727435,126.7633704725,S
124,(일산서구) 후곡문고,경기도 고양시 일산서구 후곡로 22,경기도 고양시 일산서구 일산동 1059 지하1층,37.6791234131,126.7637826444,S
125,태영공인중개사사무소,경기도 고양시 일산서구 강선로 140,경기도 고양시 일산서구 일산동 1087번지 후곡마을17단지 상가 102호,37.6755522025,126.7692610629,S
126,(일산서구) 유명식베이커리,경기도 고양시 일산서구 강선로 168,경기도 고양시 일산서구 일산동 1101 후곡14단지 상가,37.6777604168,126.770713629,S
127,(일산서구) 서교경희대스포츠,경기도 고양시 일산서구 고양대로 726,경기도 고양시 일산서구 일산동 1673-1 5층,37.6827989733,126.7765956225,S
128,(일산서구) 태화태권도,경기도 고양시 일산서구 일청로65번길 15,경기도 고양시 일산서구 일산동 1936 2층,37.6895547324,126.7729913003,S
129,(일산서구) 굳프렌드편의점 로또토토,경기도 고양시 일산서구 일청로 40-1,경기도 고양시 일산서구 일산동 586-16,37.6874952312,126.7722628547,S
130,(일산서구) 코사마트일산점,경기도 고양시 일산서구 탄중로471번길 15,경기도 고양시 일산서구 일산동 587-63 미주상가 103,37.6875042505,126.7737258428,S
131,(일산서구) 한국태권도아카데미,경기도 고양시 일산서구 산현로92번길 60,경기도 고양시 일산서구 일산동 이화프라자 307호,37.6894239828,126.7707922349,S
132,(일산서구) 신일산삼천리대리점,,경기도 고양시 일산서구 주엽동 101 강선14단지,37.6681763205,126.7615323446,S
133,(일산서구) CU일산문촌19단지점,경기도 고양시 일산서구 킨텍스로 282,경기도 고양시 일산서구 주엽동 126번지 신우상가 101호,37.6698571107,126.7522063875,S
134,(일산서구) 대우벽산공인중개사,경기도 고양시 일산서구 대산로 102,경기도 고양시 일산서구 주엽동 36 강선1단지 상가,37.6737027064,126.7660701026,S
136,(일산서구) 낙원떡방,,경기도 고양시 일산서구 주엽동 63번지 강선마을LG롯데8단지아파트 강선8단지 상가,37.6700537775,126.7662988041,S
138,탄현9단지부동산,경기도 고양시 일산서구 탄현로 74,경기도 고양시 일산서구 탄현동 1473번지 1층,37.6981294419,126.7691302544,S
139,화랑합기도 특공무술,경기도 고양시 일산서구 일현로 122,경기도 고양시 일산서구 탄현동 1476번지 동성마을8/단지 상가 3층,37.6976146548,126.7660612975,S
140,(일산서구) 가위손미용실,경기도 고양시 일산서구 현중로 62,경기도 고양시 일산서구 탄현동 1479 탄현6단지상가,37.6961356127,126.7673689787,S
141,런아트 미술학원,경기도 고양시 일산서구 현중로26번길 15-11,경기도 고양시 일산서구 탄현동 1494-7번지 1층,37.6936558012,126.7686297241,S
142,(일산서구) 한국야쿠르트 탄현점,경기도 고양시 일산서구 현중로26번길 37-14,경기도 고양시 일산서구 탄현동 1499-4,37.6940526911,126.7701344009,S
143,CU일산에듀포레점,경기도 고양시 일산서구 탄현로 136,경기도 고양시 일산서구 탄현동 1650번지 일산에듀포레푸르지오 1층,37.7029937953,126.7672334156,S
147,HY 과천점,경기도 과천시 찬우물로 6-14,경기도 과천시 갈현동 3-3번지,37.4188981413,126.9853756578,S
148,과천 갈현 10단지 포레드림아파트 정문 경비 초소,경기도 과천시 과천대로1길 11,경기도 과천시 갈현동 599번지,37.4075261509,126.9779054246,S
149,"과천 갈현 5단지 경비초소 정문, 후문",,경기도 과천시 갈현동 826번지 과천르센토데시앙,37.411852292,126.9860340691,S
150,과천 갈현 7단지 그랑레브데시앙 정문 경비초소,,경기도 과천시 갈현동 855번지 과천그랑레브데시앙,37.4100029773,126.9877642765,S
151,과천 갈현동 9단지 제이드자이아파트 정문 경비 초소,,경기도 과천시 갈현동 859번지 과천제이드자이,37.4065973847,126.9819231228,S
152,과천그랑레브데시앙공인중개사 사무소,경기도 과천시 과천대로2길 6,경기도 과천시 갈현동 860번지,37.407183193,126.9798513,S
153,GS25 과천양지점,경기도 과천시 양지마을1로 47,경기도 과천시 과천동 458-7번지,37.4498713764,126.9984817985,S
154,GS25 과천관문점,경기도 과천시 용마로 2,경기도 과천시 과천동 513-4번지,37.448059693,126.9942656188,S
155,이마트24 과천문원점,경기도 과천시 문원청계4길 4,경기도 과천시 문원동 115-153번지,37.4243175219,127.0091970385,S
156,2n3 카페,경기도 과천시 별양상가1로 13,경기도 과천시 별양동 1-16번지 교보빌딩 1층,37.4272355131,126.9915575241,S
157,과천우체국,경기도 과천시 별양로 54,경기도 과천시 별양동 10번지,37.4238189497,126.9935697618,S
158,쌍용부동산,경기도 과천시 별양로 58-1,경기도 과천시 별양동 15번지 7-2호,37.4239826918,126.9939190186,S
159,세븐일레븐 산과들점,경기도 과천시 향촌길 5-1,경기도 과천시 별양동 19-1번지,37.4266855315,126.9957318032,S
160,굴다리솜틀이불,경기도 과천시 향촌길 43,경기도 과천시 별양동 34-1번지,37.4256027506,126.9975813188,S
161,래마안과천센트럴스위트아파트 정문 경비초소,,경기도 과천시 별양동 3번지 래미안센트럴스위트,37.4316411229,126.9973940227,S
162,"과천자이아파트 정문,후문 경비초소",,경기도 과천시 별양동 93번지 과천자이,37.4286504369,126.9999571088,S
163,CU과천부림점,경기도 과천시 부림로 21,경기도 과천시 부림동 36-3번지,37.4380352389,126.9981990662,S
164,과천부림동 7단지 센트럴파크푸르지오써밋아파트 경비초소,,경기도 과천시 부림동 96번지 과천센트럴파크푸르지오써밋,37.4314166511,126.9997239505,S
165,CU 과천주암점,경기도 과천시 추사로 126,경기도 과천시 주암동 127-13번지,37.4566081798,127.0300620491,S
166,관악식당,경기도 과천시 희망4길 35,경기도 과천시 중앙동 13-7번지,37.4333249335,126.9906685868,S
167,오에프티헤어,경기도 과천시 관문로 166,경기도 과천시 중앙동 67번지 10단지 상가,37.4347884055,126.9956322309,S
168,청솔부동산,경기도 과천시 관문로 166,경기도 과천시 중앙동 67번지 10단지 상가 112호,37.4347884055,126.9956322309,S
169,과천주공10단지 경비초소,,경기도 과천시 중앙동 67번지 주공아파트,37.4347884055,126.9956322309,S
170,래미안에코팰리스아파트 경비초소,,경기도 과천시 중앙동 71번지 래미안에코팰리스,37.4349802246,126.992013799,S
171,CU과천래미안점,경기도 과천시 관문로 161,경기도 과천시 중앙동 74번지 래미안상가,37.4355136635,126.9944969982,S
172,CU광명3동점,,경기도 광명시 광명동 126-90번지 광덕빌라,37.4803254658,126.8598167457,S
173,한국야쿠르트(구철산점),경기도 광명시 오리로984번길 19,경기도 광명시 광명동 143-4번지,37.4814247905,126.8547855045,S
174,코리아마트(나들가게),경기도 광명시 오리로995번길 5,경기도 광명시 광명동 158-845번지,37.4793757608,126.8525976364,S
175,대성마트(나들가게),경기도 광명시 광명로887번길 21,경기도 광명시 광명동 189-3번지,37.4790902136,126.8514803956,S
176,드림모바일,경기도 광명시 광명로865번안길 9-1,경기도 광명시 광명동 208-28번지,37.477950834,126.8508116439,S
177,우정e마트,경기도 광명시 너부대로 40,경기도 광명시 광명동 211-1번지,37.4777825029,126.8497047254,S
178,학교앞문구점,경기도 광명시 너부대로35번길 15-14,경기도 광명시 광명동 226-2번지,37.4776877896,126.8472399811,S
179,한국야쿠르트(신)철산점,,경기도 광명시 광명동 276-44번지 금반석시티빌11차,37.4761438575,126.8500355962,S
180,LG베스트샵철산본점,경기도 광명시 오리로 908,경기도 광명시 광명동 33-72번지,37.4774531907,126.8620466802,S
181,OK할인마트,경기도 광명시 새터로 49,경기도 광명시 광명동 334-23번지,37.4726053784,126.8540244478,S
182,광명문구,경기도 광명시 오리로963번길 37,경기도 광명시 광명동 49-76번지,37.4756554014,126.8546541545,S
183,문방사우,,경기도 광명시 광명동 726-4번지 현대빌라,37.4672247595,126.8524649627,S
184,이마트24R광명광문점,,경기도 광명시 광명동 737-4번지 신세계빌라,37.4672812149,126.8512544807,S
185,혜민약국,경기도 광명시 도덕로 36,경기도 광명시 광명동 738-4번지,37.4682668117,126.8518226975,S
186,GS25편의점(광문점),경기도 광명시 도덕로 18,경기도 광명시 광명동 743번지,37.4677610263,126.8499950978,S
187,세븐일레븐(광명교육청점),경기도 광명시 광명로 773,경기도 광명시 광명동 754번지,37.4692202,126.8481730781,S
188,타이어테크(광명점),경기도 광명시 광명로 476,경기도 광명시 노온사동 409-39,37.4430045361,126.8474170597,S
189,CU광명소하점,경기도 광명시 기아로 14,경기도 광명시 소하동 1241-4번지,37.4362906715,126.8811717118,S
190,GS25(뉴소하휴먼센터점),경기도 광명시 소하로 55,경기도 광명시 소하동 1292번지 가상가동 102호 106호,37.4517705395,126.8852952777,S
191,모닝글로리 소하점,경기도 광명시 소하일로 32,경기도 광명시 소하동 1323번지,37.4478653889,126.8883344854,S
192,세븐일레븐 광명토피아점,경기도 광명시 소하로109번길 15,경기도 광명시 소하동 1338-2번지,37.4472891441,126.8849814809,S
193,삼성스토어,경기도 광명시 금하로 454,경기도 광명시 소하동 1340-4번지,37.4483687241,126.8828585075,S
194,세븐일레븐 광명한빛점,경기도 광명시 소하로 82,경기도 광명시 소하동 1341-1번지 한빛프라자 102호,37.4476411905,126.8833506174,S
195,CU소하휴먼시아점,경기도 광명시 성채로 36,경기도 광명시 소하동 1378번지 광명역세권루미엘 1층 상가,37.4335047521,126.8810364029,S
196,삼일떡방앗간,경기도 광명시 영당안로 50,경기도 광명시 소하동 911-17번지,37.4367140416,126.8776866617,S
197,일루스터태권도장,경기도 광명시 양달로10번길 7-8,경기도 광명시 일직동 523-5번지 1층,37.4134003142,126.8819928963,S
198,보람약국,경기도 광명시 시청로 95,경기도 광명시 철산동 143-1번지,37.4848474898,126.8659879106,S
199,CU철산원룸점,경기도 광명시 연서일로 13,경기도 광명시 철산동 190번지,37.4827555477,126.8641619433,S
200,CU철산위브점,경기도 광명시 광복로 60,경기도 광명시 철산동 56-14번지,37.4895396877,126.8652695496,S
201,세븐일레븐철산우성점,,경기도 광명시 철산동 58번지 우성아파트,37.4881264137,126.8689803737,S
202,GS25편의점(광명북점),경기도 광명시 시청로 142,경기도 광명시 철산동 62-2번지,37.4875124328,126.8687819327,S
203,한국야쿠르트(광명점),경기도 광명시 도덕공원로 21-1,경기도 광명시 철산동 625-2번지,37.4710265717,126.8654035138,S
204,예원준텔레콤,경기도 광명시 시청로138번안길 2-10,경기도 광명시 철산동 86번지 103호,37.4869983213,126.8687183905,S
205,하안슈퍼,경기도 광명시 하안로 238-24,경기도 광명시 하안동 200-3번지,37.4592267611,126.8856752275,S
206,싱싱마트,경기도 광명시 하안로 235,경기도 광명시 하안동 260-3번지,37.4572417403,126.8835544668,S
207,대흥마트(나들가게),경기도 광명시 안현로 80,경기도 광명시 하안동 26번지,37.4670585808,126.8803075292,S
208,GS25편의점(하안연서점),경기도 광명시 안현로 52,경기도 광명시 하안동 30-1번지,37.4655654996,126.8774815148,S
209,아름슈퍼,경기도 광명시 하안로 320-21,경기도 광명시 하안동 30-5번지,37.4649413705,126.8804946253,S
210,이삭토스트,경기도 광명시 하안로 293-12,경기도 광명시 하안동 37-2번지,37.4615633744,126.8791769014,S
211,아로마뜨 베이커리,경기도 광명시 안재로2번길 43,경기도 광명시 하안동 599-8번지,37.4611429464,126.8746573955,S
212,맛집먹고가자,경기도 광명시 가림일로 23,경기도 광명시 하안동 702-1번지,37.4652024563,126.866832329,S
