,gbn,addr,inst_plc,fac_hght,fac_wdth,sprtn,cntns,lon,lat
27,경기도 화성시,경기도 화성시 장안면 독정리 938-1,시도 72호선,7.5,3.6,N,N,126.8474759,37.0670377
28,경기도 화성시,경기도 화성시 송산면 삼존리 203-18번지,도시계획도로,7.5,3.6,N,N,126.7366639,37.21665576
29,경기도 화성시,경기도 화성시 장안면 금의리 761-4번지,도시계획도로,7.5,3.6,N,N,126.8404219,37.11179287
30,경기도 화성시,경기도 화성시 서신면 전곡리 1117-1번지,도시계획도로,7.5,3.6,N,N,126.6740217,37.18247853
31,경기도 화성시,경기도 화성시 향남읍 행정리 496-16번지,생활도로,7.5,3.6,N,N,126.9201664,37.12349047
32,경기도 화성시,경기도 화성시 비봉면 양노리 710-1번지,시도 3호선,7.5,3.6,N,N,126.858897,37.21918324
33,경기도 화성시,경기도 화성시 팔탄면 하저리 547-1번지,리도 202호선,7.5,3.6,N,N,126.8720212,37.18735311
34,경기도 화성시,경기도 화성시 마도면 두곡리 113번지,비법정도로,7.5,3.6,N,N,126.7779397,37.21221097
35,경기도 화성시,경기도 화성시 향남읍 상신리 944-3,시도 59호선,7.5,3.6,N,N,126.8944935,37.09469836
36,경기도 화성시,경기도 화성시 장안면 석포리 665-50번지,시도 60호선,7.5,3.6,N,N,126.8409598,37.13672391
37,경기도 화성시,경기도 화성시 서신면 전곡리 630-3번지,비법정도로,7.5,3.6,N,N,126.6728976,37.19361185
38,경기도 화성시,경기도 화성시 우정읍 석천리 686-2,면도 103호선,7.5,3.6,N,N,126.7816184,37.0400365
39,경기도 화성시,경기도 화성시 향남읍 발안리 산17,시도58호선,7.5,3.6,N,N,126.8937738,37.13374929
40,경기도 화성시,경기도 화성시 팔탄면 율암리 154-69,도시계획도로,7.5,3.6,N,N,126.8849384,37.17063867
41,경기도 화성시,경기도 화성시 남양읍 신외리 497-4,시도 4호선,7.5,3.6,N,N,126.8129699,37.26856877
42,경기도 화성시,경기도 화성시 향남읍 구문천리 334-3번지,도시계획도로,7.5,3.6,N,N,126.8917368,37.09041941
43,경기도 화성시,경기도 화성시 남양읍 북양리 527번지,시도 3호선,7.5,3.6,N,N,126.8571113,37.21310718
44,경기도 화성시,경기도 화성시 마도면 금당리 96-1,도시계획도로,7.5,3.6,N,N,126.7436158,37.19168729
45,경기도 화성시,경기도 화성시 장안면 수촌리 1084-1,리도209호선,7.5,3.6,N,N,126.8519958,37.10120257
46,경기도 화성시,경기도 화성시 양감면 사창리 365-6,시도 57호선,7.5,3.6,N,N,126.9785094,37.08703236
47,경기도 화성시,경기도 화성시 남양읍 장전리 404-10,비법정도로,7.5,3.6,N,N,126.8221117,37.26445637
48,경기도 화성시,경기도 화성시 남양읍 장전리 440-4,시도 4호선,7.5,3.6,N,N,126.8206929,37.26845476
49,경기도 화성시,경기도 화성시 향남읍 구문천리 334-3번지,도시계획도로,7.5,3.6,N,N,126.8917368,37.09041941
50,경기도 화성시,경기도 화성시 봉담읍 동화리 253-22,도시계획도로,7.5,3.6,N,N,126.9611262,37.2214636
51,경기도 화성시,경기도 화성시 팔탄면 기천리 165-21번지,비법정도로,7.5,3.6,N,N,126.8988393,37.19255809
52,경기도 화성시,경기도 화성시 양감면 사창리 983번지,면도102호선,7.5,3.6,N,N,126.9707864,37.0867241
53,경기도 화성시,경기도 화성시 팔탄면 율암리 154-69,도시계획도로,7.5,3.6,N,N,126.8849384,37.17063867
54,경기도 화성시,경기도 화성시 양감면 사창리 401-1번지,도시계획도로,7.5,3.6,N,N,126.9713636,37.09109856
55,경기도 화성시,경기도 화성시 우정읍 이화리 1104-6번지,비법정도로,7.5,3.6,N,N,126.7945643,37.02716071
56,경기도 화성시,경기도 화성시 장안면 석포리 775번지,리도 202호선,7.5,3.6,N,N,126.8239016,37.143145
57,경기도 화성시,경기도 화성시 매송면 어천리 223,농도 303호선,7.5,3.6,N,N,126.9196276,37.25393295
58,경기도 화성시,경기도 화성시 남양읍 신외리 631-2,시도 19호선,7.5,3.6,N,N,126.8166945,37.26687174
59,경기도 화성시,경기도 화성시 마도면 석교리 243-2,리도 201호선,7.5,3.6,N,N,126.7702164,37.20501396
60,경기도 화성시,경기도 화성시 서신면 상안리 879-11,도시계획도로,7.5,3.6,N,N,126.7015062,37.16866523
61,경기도 화성시,경기도 화성시 마도면 청원리 228-38,리도205호선,7.5,3.6,N,N,126.7620894,37.1872391
62,경기도 화성시,경기도 화성시 장안면 노진리 949,비법정도로,7.5,3.6,N,N,126.8147559,37.04404032
63,경기도 화성시,경기도 화성시 송산면 봉가리 473-1번지,리도 206호선,7.5,3.6,N,N,126.7391964,37.20913644
64,경기도 화성시,경기도 화성시 향남읍 증거리 196-1,리도 209호선,7.5,3.6,N,N,126.9772883,37.13950038
65,경기도 화성시,경기도 화성시 장안면 독정리 493-2,도시계획도로,7.5,3.6,N,N,126.8533586,37.07173076
66,경기도 화성시,경기도 화성시 우정읍 조암리 205-12번지,도시계획도로,7.5,3.6,N,N,126.8178487,37.08739429
67,경기도 화성시,경기도 화성시 남양읍 활초리 230-72,시도 22호선,7.5,3.6,N,N,126.8307224,37.18610626
68,경기도 화성시,경기도 화성시 장안면 수촌리 75-2,시도 54호선,7.5,3.6,N,N,126.862024,37.09236655
69,경기도 화성시,경기도 화성시 우정읍 주곡리 831-22번지,시도 2호선,7.5,3.6,N,N,126.8171745,37.12240116
70,경기도 화성시,경기도 화성시 장안면 장안리 1556,농도 301호선,7.5,3.6,N,N,126.8531065,37.03981488
71,경기도 화성시,경기도 화성시 송산면 육일리 산77번지,리도 208호선,7.5,3.6,N,N,126.7200411,37.19679803
72,경기도 화성시,경기도 화성시 향남읍 평리 59-14번지 명성로즈빌,도시계획도호,7.5,3.6,N,N,126.9134518,37.13294929
73,경기도 화성시,경기도 화성시 남양읍 남양리 2057번지,도시계획도로,7.5,3.6,N,N,126.8302382,37.20343955
74,경기도 화성시,경기도 화성시 양감면 사창리 431-4 (남부),면도 101호선,7.5,3.6,N,N,126.9705448,37.09086895
75,경기도 화성시,경기도 화성시 장안면 석포리 675-22,시도 60호선,7.5,3.6,N,N,126.8408892,37.13460789
76,경기도 화성시,경기도 화성시 향남읍 평리 115-10번지,비법정도로,7.5,3.6,N,N,126.9078653,37.13180377
77,경기도 화성시,경기도 화성시 비봉면 자안리 680번지,리도 201호선,7.5,3.6,N,N,126.875075,37.19959222
78,경기도 화성시,경기도 화성시 남양읍 활초리 180번지,비법정도로,7.5,3.6,N,N,126.8366602,37.18168891
79,경기도 화성시,경기도 화성시 매송면 원리 425-15,시도 78호선,7.5,3.6,N,N,126.8774094,37.27728644
80,경기도 화성시,경기도 화성시 우정읍 매향리 627-1,시도 86호선,7.5,3.6,N,N,126.7666504,37.049649
81,경기도 화성시,경기도 화성시 매송면 숙곡리 113-2,농도 303호선,7.5,3.6,N,N,126.9119281,37.26398278
82,경기도 화성시,경기도 화성시 남양읍 원천리 537,시도 1호선,7.5,3.6,N,N,126.7972249,37.22526597
83,경기도 화성시,경기도 화성시 봉담읍 분천리 98-1,시도 64호선,7.5,3.6,N,N,126.9633433,37.20468705
84,경기도 화성시,경기도 화성시 우정읍 호곡리 600번지,비법정도로,7.5,3.6,N,N,126.7729781,37.11791978
85,경기도 화성시,경기도 화성시 향남읍 발안리 1-4번지,시도58호선,7.5,3.6,N,N,126.8938576,37.13350875
86,경기도 화성시,경기도 화성시 서신면 광평리 399-1,도시계획도로,7.5,3.6,N,N,126.6883979,37.17474022
87,경기도 화성시,경기도 화성시 비봉면 남전리 303번지,리도209호선,7.5,3.6,N,N,126.8343345,37.24511598
88,경기도 화성시,경기도 화성시 양감면 송산리 산62-8,시도57호선,7.5,3.6,N,N,126.9777917,37.11483874
89,경기도 화성시,경기도 화성시 마도면 슬항리 393번지,리도201호선,7.5,3.6,N,N,126.7571929,37.20005648
90,경기도 화성시,경기도 화성시 봉담읍 마하리 324-1,시도1호선,7.5,3.6,N,N,126.948124,37.17466732
91,경기도 화성시,경기도 화성시 팔탄면 율암리 154-69,도시계획도로,7.5,3.6,N,N,126.8849384,37.17063867
92,경기도 화성시,경기도 화성시 마도면 송정리 138-4번지,시도1호선,7.5,3.6,N,N,126.7927784,37.22178149
93,경기도 화성시,경기도 화성시 남양읍 남양리 1865-22,도시계획도로,7.5,3.6,N,N,126.8110766,37.20598903
94,경기도 화성시,경기도 화성시 남양읍 남양리 1865-22,도시계획도로,7.5,3.6,N,N,126.8110766,37.20598903
95,경기도 화성시,경기도 화성시 남양읍 남양리 1868-56,도시계획도로,7.5,3.6,N,N,126.8041623,37.20513066
96,경기도 화성시,경기도 화성시 남양읍 원천리 221-5,시도1호선,7.5,3.6,N,N,126.8053592,37.22996519
97,경기도 화성시,경기도 화성시 남양읍 원천리 249-8,도시계획도로,7.5,3.6,N,N,126.8070485,37.2303194
98,경기도 화성시,경기도 화성시 남양읍 원천리 253-2번지,도시계획도로,7.5,3.6,N,N,126.8068333,37.23048187
99,경기도 화성시,경기도 화성시 남양읍 원천리 253-2번지,도시계획도로,7.5,3.6,N,N,126.8068333,37.23048187
100,경기도 화성시,경기도 화성시 마도면 금당리 1145,도시계획도로,7.5,3.6,N,N,126.7469189,37.19073937
101,경기도 화성시,경기도 화성시 마도면 백곡리 242-3,리도 206호선,7.5,3.6,N,N,126.7252538,37.18969043
102,경기도 화성시,경기도 화성시 매송면 송라리 569-2,시도78호선,7.5,3.6,N,N,126.8866251,37.27481803
103,경기도 화성시,경기도 화성시 비봉면 쌍학리 360-6,도시계획도로,7.5,3.6,N,N,126.8914288,37.23624053
104,경기도 화성시,경기도 화성시 비봉면 양노리 825-5,시도78호선,7.5,3.6,N,N,126.8724409,37.21610104
105,경기도 화성시,경기도 화성시 비봉면 청요리 595-1번지,도시계획도로,7.5,3.6,N,N,126.8928022,37.20213622
106,경기도 화성시,경기도 화성시 양감면 대양리 1505-1,도시계획도로,7.5,3.6,N,N,126.9466808,37.08584116
