,gbn,lon,lat
1820,경기도 화성시,126.88878004994268,37.25912450937013
1821,경기도 화성시,126.74802382481136,37.21137890440148
1822,경기도 화성시,126.9900125190788,37.19712135505053
1823,경기도 화성시,126.98997277841592,37.19719167881506
1824,경기도 화성시,127.06855652608547,37.206345940048806
1825,경기도 화성시,127.04425440210488,37.21550247706935
1826,경기도 화성시,127.0778203497394,37.21704591519307
1827,경기도 화성시,126.98456115832587,37.16696838147276
1828,경기도 화성시,126.79835864079608,37.18864284106797
1829,경기도 화성시,127.05314295282636,37.20066381762145
1830,경기도 화성시,126.9420899828508,37.24464663345675
1831,경기도 화성시,126.73730989104024,37.21367317717628
1832,경기도 화성시,126.74774550725098,37.21121628624347
1833,경기도 화성시,127.0637706378106,37.21211479928412
1834,경기도 화성시,126.97453604588154,37.22232746137703
1835,경기도 화성시,126.81556719963952,37.07435925007413
1836,경기도 화성시,126.80206067176816,37.08068875447698
1837,경기도 화성시,126.80070022241772,37.08090940118246
1838,경기도 화성시,126.77067325236116,37.17160715438381
1839,경기도 화성시,127.05833813758498,37.2166026187878
1840,경기도 화성시,127.03526128047557,37.21878405278518
1841,경기도 화성시,126.87234957294808,37.24990662398035
1842,경기도 화성시,126.73708468125592,37.213147210170106
1843,경기도 화성시,126.80042828274118,37.042602637783375
1844,경기도 화성시,126.98108358491211,37.12508588985473
1845,경기도 화성시,127.02626587218032,37.2148848148036
1846,경기도 화성시,126.84697549826542,37.0676033684542
1847,경기도 화성시,126.97734924571697,37.13828032889964
1848,경기도 화성시,126.97367724885004,37.2126959358231
1849,경기도 화성시,127.05661333394043,37.21653610674877
1850,경기도 화성시,127.04125777575646,37.21373506406648
1851,경기도 화성시,127.040679993335,37.216085940193366
1852,경기도 화성시,126.81446741583903,37.08099873077959
1853,경기도 화성시,126.97158036511776,37.22631847767401
1854,경기도 화성시,126.8216469093174,37.08627552986572
1855,경기도 화성시,126.93382313924444,37.17321295390447
1856,경기도 화성시,126.844560120118,37.10331921322372
1857,경기도 화성시,126.79547382446675,37.05627528654661
1858,경기도 화성시,126.79382397148656,37.05811345643892
1859,경기도 화성시,126.79612391476836,37.05130802638581
1860,경기도 화성시,126.8990945588006,37.15440155193323
1861,경기도 화성시,127.08044447463368,37.192609705266605
1862,경기도 화성시,127.08016002031071,37.1924814664658
1863,경기도 화성시,127.05595285662451,37.201535985184606
1864,경기도 화성시,126.98070749140214,37.200056360202254
1865,경기도 화성시,126.73337430056182,37.186287564520974
1866,경기도 화성시,127.07233381024584,37.19759598455866
1867,경기도 화성시,127.0427100132674,37.20360600510952
1868,경기도 화성시,126.80197050424316,37.10978521055645
1869,경기도 화성시,126.82305848610316,37.08720067568981
1870,경기도 화성시,126.73827093575908,37.21225923743562
1871,경기도 화성시,126.94941403109073,37.22382944518471
1872,경기도 화성시,126.9737322573734,37.21912095350162
1873,경기도 화성시,126.9855679742614,37.094425355047534
1874,경기도 화성시,126.82319312133492,37.087695222689135
1875,경기도 화성시,127.06784855505671,37.20614418760921
1876,경기도 화성시,127.0601310568965,37.217880437225205
1877,경기도 화성시,126.72291468484975,37.19998448708236
1878,경기도 화성시,126.91081688438024,37.13107619216167
1879,경기도 화성시,127.07284850672846,37.20081043739405
1880,경기도 화성시,127.05921821301057,37.19962492068952
1881,경기도 화성시,126.81887374831108,37.08276770385447
1882,경기도 화성시,127.07544804051292,37.18849010234721
1883,경기도 화성시,126.81579441408178,37.08481335520469
1884,경기도 화성시,126.89907122884924,37.15491244116609
1885,경기도 화성시,127.05923905541384,37.20159948845431
1886,경기도 화성시,127.06139070871284,37.20940553097953
1887,경기도 화성시,127.11082203006276,37.19842375929824
1888,경기도 화성시,126.77529264849804,37.16731461598168
1889,경기도 화성시,126.90727528232068,37.10723555372917
1890,경기도 화성시,126.90037188634533,37.13221382224718
1891,경기도 화성시,126.824772442736,37.08705364929227
1892,경기도 화성시,127.04133698340937,37.205165497253816
1893,경기도 화성시,126.98594759669088,37.217327863383176
1894,경기도 화성시,126.9270849504041,37.13065592182534
1895,경기도 화성시,126.98157155548176,37.213537624642825
1896,경기도 화성시,126.77485053751344,37.20700809567599
1897,경기도 화성시,126.8174947648022,37.25707015145235
1898,경기도 화성시,127.04191435440734,37.20684957043726
1899,경기도 화성시,127.04583266985873,37.220332815753856
1900,경기도 화성시,126.81293402223024,37.081327014511245
1901,경기도 화성시,126.8217650869172,37.08569168033077
1902,경기도 화성시,127.05945825568256,37.20146304497764
1903,경기도 화성시,126.82101964869504,37.08374110089439
1904,경기도 화성시,126.89226116769684,37.09285049183402
1905,경기도 화성시,127.04281537297344,37.20369488936032
1906,경기도 화성시,126.98688282449665,37.22053489428305
1907,경기도 화성시,126.81042483242727,37.20658293143427
1908,경기도 화성시,126.93931547931734,37.19452725688824
1909,경기도 화성시,127.07347104185222,37.20191827459533
1910,경기도 화성시,127.04612067824162,37.20907826097018
1911,경기도 화성시,126.72871761434403,37.217981183032336
1912,경기도 화성시,126.81640403040616,37.08574831602338
1913,경기도 화성시,126.91154607445804,37.249525964577884
1914,경기도 화성시,126.81951515639275,37.08437930030473
1915,경기도 화성시,127.08009203117228,37.21136964446349
1916,경기도 화성시,126.722261523414,37.18505814210877
1917,경기도 화성시,126.70655344339649,37.182570636420834
1918,경기도 화성시,126.8290337926737,37.08802215849727
1919,경기도 화성시,127.07341927565888,37.18781547381533
1920,경기도 화성시,127.03635629781236,37.205744983595736
1921,경기도 화성시,126.9032869619474,37.13097491084909
1922,경기도 화성시,127.06007502252274,37.21185566079063
