동,총인구수,0~4세,5~9세,10~14세,어린이 총인구,어린이 비율(%)
광명동,81129,2485,2341,2891,7717,9.512011734398303
소하동,54145,1089,1725,2722,5536,10.224397451288207
일직동,21148,851,979,1264,3094,14.630225080385854
철산동,69508,2254,2787,3666,8707,12.526615641365021
하안동,66369,1590,1990,2818,6398,9.640042791062092
학온동,1648,16,16,23,55,3.337378640776699
