행정구역,2025년_계_총인구수,2025년_계_연령구간인구수,2025년_계_0~4세,2025년_계_5~9세,2025년_계_10~14세,2025년_계_15~19세,2025년_남_총인구수,2025년_남_연령구간인구수,2025년_남_0~4세,2025년_남_5~9세,2025년_남_10~14세,2025년_남_15~19세,2025년_여_총인구수,2025년_여_연령구간인구수,2025년_여_0~4세,2025년_여_5~9세,2025년_여_10~14세,2025년_여_15~19세
경기도 성남시 분당구 서현1동(4113558000),"30,649","5,678",613,"1,118","1,962","1,985","14,870","2,895",328,598,"1,006",963,"15,779","2,783",285,520,956,"1,022"
경기도 성남시 분당구 서현2동(4113559000),"17,273","3,040",396,618,980,"1,046","8,505","1,602",224,310,516,552,"8,768","1,438",172,308,464,494
경기도 성남시 분당구 이매1동(4113560000),"24,537","4,542",737,977,"1,389","1,439","11,967","2,352",380,511,736,725,"12,570","2,190",357,466,653,714
경기도 성남시 분당구 이매2동(4113561000),"12,796","2,459",284,495,798,882,"6,270","1,287",166,248,425,448,"6,526","1,172",118,247,373,434
경기도 성남시 분당구 야탑1동(4113562000),"16,525","2,145",462,529,590,564,"8,144","1,094",245,258,296,295,"8,381","1,051",217,271,294,269
경기도 성남시 분당구 야탑2동(4113563000),"15,564","2,606",336,618,808,844,"7,394","1,299",174,319,393,413,"8,170","1,307",162,299,415,431
경기도 성남시 분당구 야탑3동(4113564000),"26,618","3,342",918,675,816,933,"13,105","1,694",450,352,430,462,"13,513","1,648",468,323,386,471
경기도 성남시 분당구 판교동(4113565000),"26,365","6,354","1,085","1,499","2,016","1,754","12,915","3,285",587,768,"1,031",899,"13,450","3,069",498,731,985,855
경기도 성남시 분당구 삼평동(4113565500),"23,593","4,753",923,"1,095","1,366","1,369","11,449","2,404",471,548,712,673,"12,144","2,349",452,547,654,696
경기도 성남시 분당구 백현동(4113565700),"26,316","4,599",731,937,"1,551","1,380","12,538","2,387",366,488,835,698,"13,778","2,212",365,449,716,682
경기도 성남시 분당구 금곡동(4113566200),"26,767","3,606",673,828,"1,002","1,103","12,591","1,861",376,423,504,558,"14,176","1,745",297,405,498,545
경기도 성남시 분당구 구미1동(4113566500),"16,089","2,364",471,459,666,768,"7,762","1,198",252,227,359,360,"8,327","1,166",219,232,307,408
경기도 성남시 분당구 구미동(4113567000),"27,981","3,672",656,780,"1,145","1,091","13,227","1,848",330,378,582,558,"14,754","1,824",326,402,563,533
경기도 성남시 분당구 운중동(4113568000),"38,266","8,221","2,013","2,153","2,153","1,902","18,626","4,173","1,034","1,086","1,091",962,"19,640","4,048",979,"1,067","1,062",940
