시군명,사고년도,사고유형구분,다발지식별자,다발지역그룹식별자,법정동코드,위치코드,시도시군구명,사고지역위치명,발생건수,사상자수,사망자수,중상자수,경상자수,부상자수,위도,경도,사고다발지역폴리곤정보
가평군,2012,보행노인사고다발지,152974,2013098,4182032500,41820001,경기도 가평군1,경기도 가평군 청평면((은성장) 부근),5,5,1,2,2,0,37.73805842166,127.419637624977,"{""type"":""Polygon"",""coordinates"":[[[127.4212421,37.7393326],[127.4208982,37.7395567],[127.420506,37.7397232],[127.4200803,37.7398257],[127.4196376,37.7398604],[127.419195,37.7398257],[127.4187693,37.7397232],[127.418377,37.7395567],[127.4180332,37.7393326],[127.417751,37.7390595],[127.4175413,37.738748],[127.4174122,37.7384099],[127.4173686,37.7380584],[127.4174122,37.7377069],[127.4175413,37.7373688],[127.417751,37.7370573],[127.4180332,37.7367842],[127.4183771,37.7365602],[127.4187693,37.7363936],[127.419195,37.7362911],[127.4196376,37.7362565],[127.4200803,37.7362911],[127.4205059,37.7363936],[127.4208982,37.7365602],[127.421242,37.7367842],[127.4215242,37.7370573],[127.4217339,37.7373688],[127.421863,37.7377069],[127.4219066,37.7380584],[127.4218631,37.7384099],[127.4217339,37.738748],[127.4215243,37.7390595],[127.4212421,37.7393326]]]}"
고양시,2024,자전거사고다발지,7125433,2025081,4128510400,41285001,경기 고양시 일산동구1,경기 고양시 일산동구 장항동(청담초밥 일산직영점 부근),3,3,1,0,2,0,37.654806290040,126.774044423905,"{""type"":""Polygon"",""coordinates"":[[[126.77584105,37.65457441],[126.77580653,37.65429574],[126.77570429,37.65402778],[126.77553827,37.65378083],[126.77531483,37.65356437],[126.77504258,37.65338673],[126.77473196,37.65325473],[126.77439493,37.65317344],[126.77404442,37.653146],[126.77369392,37.65317344],[126.77335688,37.65325473],[126.77304627,37.65338673],[126.77277401,37.65356437],[126.77255058,37.65378083],[126.77238455,37.65402778],[126.77228232,37.65429574],[126.77224779,37.65457441],[126.77228232,37.65485308],[126.77238455,37.65512103],[126.77255058,37.65536798],[126.77277401,37.65558444],[126.77304627,37.65576207],[126.77335688,37.65589407],[126.77369392,37.65597535],[126.77404442,37.6560028],[126.77439493,37.65597535],[126.77473196,37.65589407],[126.77504258,37.65576207],[126.77531483,37.65558444],[126.77553827,37.65536798],[126.77570429,37.65512103],[126.77580653,37.65485308],[126.77584105,37.65457441]]]}"
고양시,2024,자전거사고다발지,7125513,2025081,4128710100,41287001,경기 고양시 일산서구1,경기 고양시 일산서구 일산동(행복약국 부근),5,5,0,1,2,2,37.677607595881,126.767863042570,"{""type"":""Polygon"",""coordinates"":[[[126.76965967,37.67737543],[126.76962515,37.67709685],[126.76952291,37.67682897],[126.76935689,37.67658209],[126.76913345,37.6763657],[126.7688612,37.67618811],[126.76855058,37.67605616],[126.76821355,37.67597489],[126.76786304,37.67594746],[126.76751254,37.67597489],[126.7671755,37.67605616],[126.76686489,37.67618811],[126.76659263,37.6763657],[126.7663692,37.67658209],[126.76620317,37.67682897],[126.76610093,37.67709685],[126.76606641,37.67737543],[126.76610093,37.67765401],[126.76620317,37.67792188],[126.7663692,37.67816876],[126.76659263,37.67838514],[126.76686489,37.67856272],[126.7671755,37.67869468],[126.76751254,37.67877594],[126.76786304,37.67880337],[126.76821355,37.67877594],[126.76855058,37.67869468],[126.7688612,37.67856272],[126.76913345,37.67838514],[126.76935689,37.67816876],[126.76952291,37.67792188],[126.76962515,37.67765401],[126.76965967,37.67737543]]]}"
고양시,2024,자전거사고다발지,7125627,2025081,4128710300,41287002,경기 고양시 일산서구2,경기 고양시 일산서구 탄현동(탄현2동행정복지센터 부근),3,3,1,0,2,0,37.702294404593,126.767087127324,"{""type"":""Polygon"",""coordinates"":[[[126.76888376,37.70206193],[126.76884924,37.70178344],[126.768747,37.70151565],[126.76858097,37.70126886],[126.76835754,37.70105254],[126.76808528,37.70087501],[126.76777467,37.7007431],[126.76743763,37.70066186],[126.76708713,37.70063443],[126.76673662,37.70066186],[126.76639959,37.7007431],[126.76608897,37.70087501],[126.76581672,37.70105254],[126.76559328,37.70126886],[126.76542726,37.70151565],[126.76532502,37.70178344],[126.7652905,37.70206193],[126.76532502,37.70234041],[126.76542726,37.7026082],[126.76559328,37.70285499],[126.76581672,37.7030713],[126.76608897,37.70324882],[126.76639959,37.70338073],[126.76673662,37.70346196],[126.76708713,37.70348939],[126.76743763,37.70346196],[126.76777467,37.70338073],[126.76808528,37.70324882],[126.76835754,37.7030713],[126.76858097,37.70285499],[126.768747,37.7026082],[126.76884924,37.70234041],[126.76888376,37.70206193]]]}"
고양시,2023,보행노인사고다발지,6928893,2024044,4128111800,41281001,경기 고양시 덕양구1,경기 고양시 덕양구 관산동(관산파출소 부근),5,5,0,5,0,0,37.687723411739,126.864769476576,"{""type"":""Polygon"",""coordinates"":[[[126.86656611,37.68749112],[126.86653159,37.68721257],[126.86642935,37.68694473],[126.86626332,37.68669789],[126.86603989,37.68648153],[126.86576763,37.68630397],[126.86545702,37.68617202],[126.86511998,37.68609078],[126.86476948,37.68606334],[126.86441897,37.68609078],[126.86408194,37.68617202],[126.86377132,37.68630397],[126.86349907,37.68648153],[126.86327563,37.68669789],[126.86310961,37.68694473],[126.86300737,37.68721257],[126.86297285,37.68749112],[126.86300737,37.68776966],[126.86310961,37.6880375],[126.86327563,37.68828433],[126.86349907,37.68850069],[126.86377132,37.68867825],[126.86408194,37.68881018],[126.86441897,37.68889143],[126.86476948,37.68891886],[126.86511998,37.68889143],[126.86545702,37.68881018],[126.86576763,37.68867825],[126.86603989,37.68850069],[126.86626332,37.68828433],[126.86642935,37.6880375],[126.86653159,37.68776966],[126.86656611,37.68749112]]]}"
고양시,2023,자전거사고다발지,6930155,2024046,4128510300,41285001,경기 고양시 일산동구1,경기 고양시 일산동구 정발산동(뉴서울쇼핑사거리 부근),5,5,0,3,0,2,37.665841314417,126.767213298055,"{""type"":""Polygon"",""coordinates"":[[[126.76900993,37.6656093],[126.76897541,37.66533067],[126.76887317,37.66506275],[126.76870714,37.66481583],[126.76848371,37.66459941],[126.76821145,37.66442179],[126.76790084,37.66428981],[126.7675638,37.66420854],[126.7672133,37.66418109],[126.76686279,37.66420854],[126.76652576,37.66428981],[126.76621514,37.66442179],[126.76594289,37.66459941],[126.76571945,37.66481583],[126.76555343,37.66506275],[126.76545119,37.66533067],[126.76541667,37.6656093],[126.76545119,37.66588792],[126.76555343,37.66615584],[126.76571945,37.66640275],[126.76594289,37.66661917],[126.76621514,37.66679678],[126.76652576,37.66692876],[126.76686279,37.66701003],[126.7672133,37.66703747],[126.7675638,37.66701003],[126.76790084,37.66692876],[126.76821145,37.66679678],[126.76848371,37.66661917],[126.76870714,37.66640275],[126.76887317,37.66615584],[126.76897541,37.66588792],[126.76900993,37.6656093]]]}"
고양시,2023,자전거사고다발지,6930080,2024046,4128112300,41281001,경기 고양시 덕양구1,경기 고양시 덕양구 화정동(덕양우체국앞교차로 부근),4,4,0,2,0,2,37.637785623792,126.834065422824,"{""type"":""Polygon"",""coordinates"":[[[126.83586205,37.63755396],[126.83582753,37.63727523],[126.83572529,37.63700721],[126.83555927,37.63676019],[126.83533583,37.63654369],[126.83506358,37.636366],[126.83475296,37.63623397],[126.83441593,37.63615267],[126.83406542,37.63612521],[126.83371492,37.63615267],[126.83337788,37.63623397],[126.83306727,37.636366],[126.83279501,37.63654369],[126.83257158,37.63676019],[126.83240555,37.63700721],[126.83230331,37.63727523],[126.83226879,37.63755396],[126.83230331,37.63783269],[126.83240555,37.63810071],[126.83257158,37.63834771],[126.83279501,37.63856422],[126.83306727,37.6387419],[126.83337788,37.63887392],[126.83371492,37.63895522],[126.83406542,37.63898268],[126.83441593,37.63895522],[126.83475296,37.63887392],[126.83506358,37.6387419],[126.83533583,37.63856422],[126.83555927,37.63834771],[126.83572529,37.63810071],[126.83582753,37.63783269],[126.83586205,37.63755396]]]}"
고양시,2023,자전거사고다발지,6929997,2024046,4128710400,41287001,경기 고양시 일산서구1,경기 고양시 일산서구 대화동(고양종합운동장사거리 부근),4,4,0,0,3,1,37.676602062969,126.745606823013,"{""type"":""Polygon"",""coordinates"":[[[126.74740345,37.67636991],[126.74736893,37.67609132],[126.74726669,37.67582344],[126.74710067,37.67557656],[126.74687723,37.67536017],[126.74660498,37.67518258],[126.74629436,37.67505062],[126.74595733,37.67496936],[126.74560682,37.67494192],[126.74525632,37.67496936],[126.74491928,37.67505062],[126.74460867,37.67518258],[126.74433641,37.67536017],[126.74411298,37.67557656],[126.74394695,37.67582344],[126.74384471,37.67609132],[126.74381019,37.67636991],[126.74384471,37.67664849],[126.74394695,37.67691637],[126.74411298,37.67716325],[126.74433641,37.67737963],[126.74460867,37.67755722],[126.74491928,37.67768918],[126.74525632,37.67777043],[126.74560682,37.67779787],[126.74595733,37.67777043],[126.74629436,37.67768918],[126.74660498,37.67755722],[126.74687723,37.67737963],[126.74710067,37.67716325],[126.74726669,37.67691637],[126.74736893,37.67664849],[126.74740345,37.67636991]]]}"
고양시,2022,보행노인사고다발지,6831218,2023057,4128112300,41281001,경기 고양시 덕양구1,경기 고양시 덕양구 화정동(백양중학교앞교차로 부근),5,5,0,5,0,0,37.630541695571,126.833461617745,"{""type"":""Polygon"",""coordinates"":[[[126.83525825,37.6305417],[126.83522373,37.63026411],[126.83512149,37.62999719],[126.83495546,37.62975119],[126.83473203,37.62953557],[126.83445977,37.62935862],[126.83414916,37.62922713],[126.83381212,37.62914616],[126.83346162,37.62911881],[126.83311111,37.62914616],[126.83277408,37.62922713],[126.83246346,37.62935862],[126.83219121,37.62953557],[126.83196777,37.62975119],[126.83180175,37.62999719],[126.83169951,37.63026411],[126.83166499,37.6305417],[126.83169951,37.63081928],[126.83180175,37.6310862],[126.83196777,37.63133219],[126.83219121,37.63154781],[126.83246346,37.63172476],[126.83277408,37.63185624],[126.83311111,37.63193721],[126.83346162,37.63196455],[126.83381212,37.63193721],[126.83414916,37.63185624],[126.83445977,37.63172476],[126.83473203,37.63154781],[126.83495546,37.63133219],[126.83512149,37.6310862],[126.83522373,37.63081928],[126.83525825,37.6305417]]]}"
고양시,2022,보행노인사고다발지,6831229,2023057,4128111800,41281002,경기 고양시 덕양구2,경기 고양시 덕양구 관산동(관산파출소 부근),6,6,0,6,0,0,37.687723411739,126.864769476576,"{""type"":""Polygon"",""coordinates"":[[[126.86656611,37.68772341],[126.86653159,37.68744604],[126.86642935,37.68717932],[126.86626332,37.68693351],[126.86603989,37.68671806],[126.86576763,37.68654124],[126.86545702,37.68640985],[126.86511998,37.68632895],[126.86476948,37.68630163],[126.86441897,37.68632895],[126.86408194,37.68640985],[126.86377132,37.68654124],[126.86349907,37.68671806],[126.86327563,37.68693351],[126.86310961,37.68717932],[126.86300737,37.68744604],[126.86297285,37.68772341],[126.86300737,37.68800079],[126.86310961,37.6882675],[126.86327563,37.6885133],[126.86349907,37.68872875],[126.86377132,37.68890556],[126.86408194,37.68903695],[126.86441897,37.68911785],[126.86476948,37.68914517],[126.86511998,37.68911785],[126.86545702,37.68903695],[126.86576763,37.68890556],[126.86603989,37.68872875],[126.86626332,37.6885133],[126.86642935,37.6882675],[126.86653159,37.68800079],[126.86656611,37.68772341]]]}"
