시군구명,도로명,소재지도로명주소,소재지지번주소,횡단보도관리번호,횡단보도종류,고원식적용여부,위도,경도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,교통섬유무,점자블록유무,집중조명시설유무
성남시 중원구,은이로,경기도 성남시 중원구 은이로 36 (은행동),경기도 성남시 중원구 은행동 1308,중원-129,1,N,37.456086,127.167601,3,3.0,9.0,Y,N,Y,
성남시 중원구,은이로,"경기도 성남시 중원구 은행로 22-1 (은행동, 선경빌라)",경기도 성남시 중원구 은행동 1815,중원-130,1,N,37.454649,127.164254,2,3.0,6.0,Y,Y,Y,
성남시 중원구,은이로,경기도 성남시 중원구 은행로5번길 2 (은행동),경기도 성남시 중원구 은행동 1700,중원-131,1,N,37.454872,127.162615,2,3.0,6.0,Y,N,Y,
성남시 중원구,산성대로58번길,,경기도 성남시 중원구 성남동 4488-1,중원-132,1,N,37.430764,127.12638,3,3.0,9.0,Y,N,Y,
성남시 중원구,산성대로,경기도 성남시 중원구 산성대로 372번길 9,경기도 성남시 중원구 금광동 4359,중원-133,1,N,37.445161,127.158109,1,3.0,7.0,N,N,N,
성남시 중원구,산성대로,경기도 성남시 중원구 산성대로 372번길 5,경기도 성남시 중원구 금광동 4360,중원-134,1,N,37.445171,127.157841,1,3.0,5.0,N,N,N,
성남시 중원구,산성대로,경기도 성남시 중원구 산성대로 372번길 10,경기도 성남시 중원구 금광동 10,중원-135,1,N,37.444674,127.158062,1,3.0,17.0,N,N,N,
성남시 중원구,산성대로,경기도 성남시 중원구 산성대로 372번길 14,경기도 성남시 중원구 금광동 11,중원-136,1,N,37.444751,127.158591,1,3.0,4.0,N,N,N,
성남시 분당구,성남대로,,경기도 성남시 분당구 야탑동 487-1,분당-1,1,N,37.415879,127.12877,10,8.0,32.0,Y,Y,Y,N
성남시 분당구,성남대로,,경기도 성남시 분당구 야탑동 359-3,분당-2,1,N,37.41307,127.12848,10,8.0,32.0,Y,N,Y,N
성남시 분당구,성남대로,경기도 성남시 분당구 성남대로925번길 16 (야탑동),경기도 성남시 분당구 야탑동 341,분당-3,1,N,37.41309,127.127281,10,8.0,32.0,Y,N,Y,Y
성남시 분당구,성남대로,,경기도 성남시 분당구 야탑동 540-1,분당-4,1,N,37.40875,127.128389,10,8.0,32.0,Y,N,Y,N
성남시 분당구,성남대로,,경기도 성남시 분당구 이매동 127-3,분당-5,1,N,37.400835,127.128194,10,8.0,32.0,Y,N,Y,N
성남시 분당구,성남대로,,경기도 성남시 분당구 이매동 127-7,분당-6,1,N,37.392361,127.127942,10,8.0,32.0,Y,Y,Y,Y
성남시 분당구,성남대로,,경기도 성남시 분당구 서현동 266-1,분당-7,1,N,37.383028,127.121484,10,8.0,32.0,Y,N,Y,Y
성남시 분당구,성남대로,,경기도 성남시 분당구 수내동 66,분당-8,1,N,37.376256,127.121325,10,8.0,32.0,Y,N,Y,N
성남시 분당구,성남대로,,경기도 성남시 분당구 정자동 79-1,분당-9,1,N,37.373914,127.110573,10,8.0,32.0,Y,N,Y,Y
성남시 분당구,성남대로,,경기도 성남시 분당구 정자동 79-1,분당-10,1,N,37.373914,127.110573,10,8.0,32.0,Y,N,Y,N
성남시 분당구,성남대로,,경기도 성남시 분당구 정자동 95-1,분당-11,1,N,37.366184,127.108063,10,8.0,32.0,Y,Y,Y,Y
성남시 분당구,성남대로,,경기도 성남시 분당구 정자동 17-2,분당-12,1,N,37.36814,127.107253,10,8.0,32.0,Y,N,Y,N
성남시 분당구,성남대로,,경기도 성남시 분당구 정자동 95-1,분당-13,1,N,37.366158,127.108063,10,8.0,32.0,Y,N,Y,Y
성남시 분당구,성남대로,,경기도 성남시 분당구 정자동 168-1,분당-14,1,N,37.362506,127.107546,10,8.0,32.0,Y,N,Y,N
성남시 분당구,성남대로,,경기도 성남시 분당구 정자동 169-1,분당-15,1,N,37.360889,127.107614,10,8.0,32.0,Y,N,Y,N
성남시 분당구,성남대로,,경기도 성남시 분당구 금곡동 127,분당-16,1,N,37.355536,127.109027,10,8.0,32.0,Y,N,Y,N
성남시 분당구,성남대로,,경기도 성남시 분당구 금곡동 129,분당-17,1,N,37.354235,127.109196,10,8.0,32.0,Y,N,Y,N
성남시 분당구,성남대로,,경기도 성남시 분당구 구미동 9-1,분당-18,1,N,37.349283,127.108276,10,8.0,32.0,Y,N,Y,N
성남시 분당구,성남대로,,경기도 성남시 분당구 구미동 21-3,분당-19,1,N,37.346586,127.109229,10,8.0,32.0,Y,N,Y,N
성남시 분당구,성남대로,,경기도 성남시 분당구 구미동 149-3,분당-20,1,N,37.343979,127.109243,10,8.0,32.0,Y,N,Y,N
성남시 분당구,성남대로,,경기도 성남시 분당구 구미동 173-3,분당-21,1,N,37.342854,127.106961,10,8.0,32.0,Y,N,Y,N
성남시 분당구,성남대로,경기도 성남시 분당구 성남대로 57 (구미동),경기도 성남시 분당구 구미동 154,분당-22,1,N,37.341319,127.108067,10,8.0,32.0,Y,N,Y,N
성남시 분당구,성남대로,경기도 성남시 분당구 성남대로43번길 11 (구미동),경기도 성남시 분당구 구미동 174,분당-23,1,N,37.338765,127.106677,10,8.0,32.0,Y,N,Y,N
성남시 분당구,성남대로,경기도 성남시 분당구 성남대로43번길 11 (구미동),경기도 성남시 분당구 구미동 174,분당-24,1,N,37.338765,127.106677,10,8.0,32.0,Y,N,Y,N
성남시 분당구,성남대로,경기도 성남시 분당구 성남대로43번길 11 (구미동),경기도 성남시 분당구 구미동 174,분당-25,1,N,37.338765,127.106677,10,8.0,32.0,Y,N,Y,Y
성남시 분당구,돌마로,,경기도 성남시 분당구 야탑동 327-1,분당-26,1,N,37.415501,127.137441,7,8.0,23.0,Y,N,Y,N
성남시 분당구,돌마로,"경기도 성남시 분당구 장미로 193 (야탑동, 매화마을주공4단지아파트)",경기도 성남시 분당구 야탑동 211,분당-27,1,N,37.41319,127.140993,7,8.0,23.0,Y,N,Y,Y
성남시 분당구,돌마로,,경기도 성남시 분당구 야탑동 264-4,분당-28,1,N,37.408997,127.143252,7,8.0,23.0,Y,N,Y,N
성남시 분당구,돌마로,,경기도 성남시 분당구 야탑동 168-1,분당-29,1,N,37.407482,127.142199,7,8.0,23.0,Y,N,Y,N
성남시 분당구,돌마로,,경기도 성남시 분당구 서현동 107-2,분당-30,1,N,37.382218,127.137877,7,8.0,23.0,Y,N,Y,N
성남시 분당구,돌마로,,경기도 성남시 분당구 서현동 346-2,분당-31,1,N,37.37858,127.136667,7,8.0,23.0,Y,N,Y,N
성남시 분당구,돌마로,,경기도 성남시 분당구 서현동 298-3,분당-32,1,N,37.376981,127.133437,2,4.0,8.0,Y,Y,Y,N
성남시 분당구,돌마로,,경기도 성남시 분당구 분당동 58-1,분당-33,1,N,37.374442,127.129516,8,8.0,26.0,Y,N,Y,N
성남시 분당구,돌마로,,경기도 성남시 분당구 수내동 66,분당-34,1,N,37.376256,127.121325,8,8.0,26.0,Y,N,Y,N
성남시 분당구,돌마로,,경기도 성남시 분당구 수내동 124-1,분당-35,1,N,37.369102,127.12206,2,4.0,8.0,Y,Y,Y,N
성남시 분당구,돌마로,,경기도 성남시 분당구 수내동 68-2,분당-36,1,N,37.369386,127.121612,8,8.0,26.0,Y,N,Y,N
성남시 분당구,돌마로,,경기도 성남시 분당구 정자동 255-1,분당-37,1,N,37.362359,127.119347,8,8.0,26.0,Y,N,Y,Y
성남시 분당구,돌마로,,경기도 성남시 분당구 정자동 255-3,분당-38,1,N,37.360078,127.119349,9,8.0,29.0,Y,N,Y,N
성남시 분당구,돌마로,경기도 성남시 분당구 돌마로 172 (정자동),경기도 성남시 분당구 정자동 217,분당-39,1,N,37.354223,127.12098,8,8.0,26.0,Y,N,Y,N
성남시 분당구,돌마로,,경기도 성남시 분당구 금곡동 138,분당-40,1,N,37.352814,127.116429,8,8.0,26.0,Y,N,Y,Y
성남시 분당구,돌마로,,경기도 성남시 분당구 금곡동 139,분당-41,1,N,37.351707,127.115456,9,8.0,29.0,Y,N,Y,N
성남시 분당구,돌마로,,경기도 성남시 분당구 구미동 69,분당-42,1,N,37.350251,127.114797,7,8.0,23.0,Y,N,Y,N
