무인교통단속카메라관리번호,도로종류,도로노선번호,도로노선명,소재지지번주소,위도,경도,설치장소,설치연도
수정수진2-D-7,기타,,산성대로,경기도 성남시 수정구 수진동 4760-5,37.4338,127.125947,둔전교회 앞,2017
수정수진2-D-8,기타,,수정로,경기도 성남시 수정구 수진2동 4688-1,37.440092,127.121563,밀리언근린공원 앞,2022
수정수진2-A-20,기타,,모란로,경기도 성남시 수정구 수진2동 4786,37.434582,127.127609,성수초등학교 정문,2022
수정단대-D-1,기타,,산성대로,경기도 성남시 수정구 단대동 95-8,37.451247,127.159269,남한산성역3번출구,2006
수정단대-A-1,기타,,단대로,경기도 성남시 수정구 단대동 80,37.452701,127.157241,단대초등학교 정문,2013
수정산성-D-1,기타,,수정남로,경기도 성남시 수정구 산성동 1432,37.454651,127.150271,포레스티아 동문,2006
수정산성-A-1,기타,,수정남로,경기도 성남시 수정구 산성동 2137,37.451481,127.151474,성남북초등학교 후문,2013
수정산성-A-2,기타,,희망로,경기도 성남시 수정구 산성동 2137,37.45153,127.152066,성남북초등학교 정문,2022
수정양지-D-1,기타,,산성대로,경기도 성남시 수정구 양지동 25,37.462799,127.168872,남한산성공원입구 버스정류장,2020
수정양지-A-1,기타,,논골로,경기도 성남시 수정구 양지동 386,37.459321,127.161675,양지초등학교 정문,2022
수정복정-A-4,일반국도,3번,성남대로,경기도 성남시 수정구 복정동 664-8,37.462042,127.128323,복정초등학교 부근,2013
수정복정-A-15,일반국도,3번,성남대로,경기도 성남시 수정구 복정동 388-14,37.465792,127.128438,서울국제학교 주변,2014
수정위례-D-1,기타,,위례광장로,경기도 성남시 수정구 창곡동 510,37.471226,127.143735,위례35단지,2018
수정위례-D-2,기타,,위례순환로,경기도 성남시 수정구 창곡동 502,37.471898,127.135873,위례중앙초등학교,2018
수정위례-D-3,기타,,위례서일로3길,경기도 성남시 수정구 창곡동 546-5,37.467399,127.140081,으뜸프라자,2018
수정위례-D-4,기타,,위례동로,경기도 성남시 수정구 창곡동 566,37.466679,127.148395,위례역푸르지오,2018
수정위례-D-5,지방도,342번,헌릉로,경기도 성남시 수정구 창곡동 559-11,37.463244,127.139814,남위례역4번출구,2018
수정위례-D-6,기타,,위례광장로,경기도 성남시 수정구 창곡동 505,37.473051,127.141263,위례센트럴자이 정문,2018
수정위례-D-7,기타,,위례광장로,경기도 성남시 수정구 창곡동 563,37.466768,127.142159,위례푸르지오6단지 정문,2018
수정위례-D-8,기타,,위례광장로,경기도 성남시 수정구 창곡동 557-7,37.466224,127.136574,경운프라자,2021
수정위례-D-9,기타,,위례광장로,경기도 성남시 수정구 창곡동 547-10,37.46527,127.139208,위례드림시티,2021
수정위례-D-10,기타,,위례동로,경기도 성남시 수정구 창곡동 512-2,37.472971,127.149439,성남위례파출소,2022
수정위례-D-11,기타,,위례광장로,경기도 성남시 수정구 창곡동 564,37.466271,127.14053,위례푸르지오5단지,2023
수정위례-D-12,기타,,위례순환로,경기도 성남시 수정구 창곡동 145-4,37.470832,127.143247,위례고운초등학교,2023
수정위례-D-13,기타,,위례광장로,경기도 성남시 수정구 창곡동 561-2,37.46475,127.14077,푸르지오시티 출입구 앞,2024
수정위례-A-10,기타,,위례순환로,경기도 성남시 수정구 창곡동 511,37.47149,127.145774,위례35단지입구,2018
수정위례-A-12,기타,,위례순환로,경기도 성남시 수정구 창곡동 518,37.470732,127.150959,위례푸른초등학교,2018
수정위례-A-35,기타,,위례동로,경기도 성남시 수정구 창곡동 570,37.465765,127.147019,위례한빛초등학교,2018
수정위례-A-40,기타,,위례동로,경기도 성남시 수정구 창곡동 513-3,37.472279,127.150085,위례신성위캐슬타워,2018
수정고등-D-1,지방도,23번,대왕판교로,경기도 성남시 수정구 고등동 429-1,37.424751,127.102221,고등동사무소앞,2011
수정고등-D-2,기타,,고등공원로,경기도 성남시 수정구 고등동 313,37.430091,127.100748,고등근린공원,2020
수정고등-D-3,기타,,고등로,경기도 성남시 수정구 고등동 498-1,37.428899,127.094484,판교밸리호반써밋,2020
수정고등-D-4,기타,,청계산로,경기도 성남시 수정구 고등동 501-5,37.427873,127.093456,연내울교차로 버스정류장,2020
수정고등-D-5,기타,,왕남로,경기도 성남시 수정구 고등동 506-2,37.428001,127.097741,왕남초등학교,2020
수정고등-D-6,기타,,왕남로,경기도 성남시 수정구 고등동 424-10,37.428095,127.100761,고등동행정복지센터,2020
수정고등-D-7,기타,,청계산로,경기도 성남시 수정구 고등동 512-5,37.426672,127.095531,성남고등동성당,2020
수정고등-D-8,기타,,고등공원로,경기도 성남시 수정구 고등동 446,37.425517,127.100311,고산근린공원,2020
수정고등-D-9,기타,,고등로,경기도 성남시 수정구 고등동 474-2,37.429971,127.096454,판교밸리포레자이,2020
수정고등-D-10,기타,,청계산로,경기도 성남시 수정구 고등동 526-50,37.428477,127.092877,정혜사,2020
수정금토-D-1,지방도,23번,대왕판교로,경기도 성남시 수정구 금토동 273-5,37.409791,127.099093,국지도23호금토동삼거리,2011
수정시흥-D-1,지방도,23번,대왕판교로,경기도 성남시 수정구 시흥동 281-18,37.4114,127.099742,국지도23호도로공사앞,2011
수정시흥-D-2,지방도,23번,대왕판교로,경기도 성남시 수정구 시흥동 190-1,37.424751,127.102595,국지도23호고등동사무소건너편,2011
수정시흥-D-4,기타,,창업로,경기도 성남시 수정구 시흥동 산53,37.410857,127.094998,경기성남SW드림타운,2024
수정시흥-D-5,기타,,창업로,경기도 성남시 수정구 시흥동 산53,37.412503,127.093736,경기성남SW드림타운,2024
수정시흥-D-6,기타,,창업로,경기도 성남시 수정구 금토동 293-1,37.408733,127.095674,성남글로벌융합센터,2024
수정시흥-D-7,기타,,금토로,경기도 성남시 수정구 금토동 410-12,37.408021,127.090105,금토동삼거리(임시),2024
수정시흥-D-8,기타,,금토로,경기도 성남시 수정구 금토동 410-1,37.406494,127.090013,벤처타운 남문,2024
수정시흥-D-9,기타,,금토로,경기도 성남시 수정구 금토동 406,37.405202,127.088283,스마트모빌리티실증허브,2024
수정시흥-D-10,기타,,금토로,경기도 성남시 수정구 금토동 412,37.406387,127.086054,판교이노베이션랩,2024
중원성남-D-1,기타,,광명로,경기도 성남시 중원구 성남동 2610,37.436594,127.142265,성일중고앞 사거리,2006
중원성남-D-2,기타,,원터로,경기도 성남시 중원구 성남동 2878,37.43524,127.14342,성남중앙초등학교 주차장,2008
중원성남-D-3,기타,,산성대로,경기도 성남시 중원구 성남동 4132,37.433049,127.128123,모란사거리,2014
중원성남-D-4,기타,,둔촌대로,경기도 성남시 중원구 성남동 4763,37.429936,127.128577,모란시장,2019
중원성남-D-5,일반국도,3번,성남대로,경기도 성남시 중원구 성남동 1575,37.432185,127.129034,모란역,2019
중원성남-D-6,기타,,광명로,경기도 성남시 중원구 성남동 2205,37.435628,127.139594,신동아파밀리애,2020
중원성남-D-7,기타,,둔촌대로,경기도 성남시 중원구 성남동 1841,37.429913,127.126326,여수지구제1호어린이공원,2020
중원성남-D-8,기타,,광명로,경기도 성남시 중원구 성남동 3298,37.433781,127.13473,운동장사거리,2021
중원성남-D-9,기타,,산성대로,경기도 성남시 중원구 성남동 1401,37.43663,127.13964,수진역2번출구,2023
중원성남-E-3,기타,,산성대로,경기도 성남시 중원구 성남동 2001,37.439211,127.14466,신흥사거리,2009
중원중앙-D-2,기타,,공원로,경기도 성남시 중원구 중앙동 424,37.442144,127.152721,중앙동사거리,2014
중원중앙-D-3,기타,,시민로,경기도 성남시 중원구 중앙동 577,37.435867,127.149448,현대힐스테이트,2021
중원중앙-D-4,기타,,시민로,경기도 성남시 중원구 중앙동 3363-1,37.438357,127.14546,성호시장사거리,2022
중원중앙-D-5,기타,,광명로,경기도 성남시 중원구 중앙동 3030,37.439457,127.148008,제일초등학교,2022
중원중앙-D-6,기타,,광명로,경기도 성남시 중원구 중앙동 2629,37.440212,127.149569,대원공원입구,2022
중원중앙-D-7,기타,,광명로,경기도 성남시 중원구 중앙동 3767-17,37.439463,127.150823,신흥역하늘채랜더스원2단지,2022
중원중앙-D-8,기타,,시민로,경기도 성남시 중원구 중앙동 3735,37.436684,127.146668,신지교회,2022
중원중앙-D-9,기타,,시민로,경기도 성남시 중원구 중앙동 3765,37.437687,127.148968,대원공원배수지,2022
중원중앙-D-10,기타,,시민로,경기도 성남시 중원구 중앙동 3767-15,37.43801,127.15035,중동배수지공영주차장,2022
중원중앙-D-11,기타,,희망로,경기도 성남시 중원구 중앙동 1636-15,37.44103,127.15981,해오름공영주차장,2023
중원금광1-D-1,기타,,금상로,,37.441983,127.164111,금상로사거리,2006
중원금광1-D-2,기타,,광명로,경기도 성남시 중원구 금광동 1347,37.445043,127.162136,장원빌딩,2008
