무인교통단속카메라관리번호,도로종류,도로노선번호,도로노선명,소재지지번주소,위도,경도,설치장소,설치연도
분당이매1-D-1,기타,,이매로,경기도 성남시 분당구 이매동 376,37.39277,127.13125,송림고등학교 정문,2023
분당이매1-D-2,기타,,이매로,경기도 성남시 분당구 이매동 115-1,37.39483,127.12547,안말사거리,2024
분당이매1-A-9,기타,,양현로,경기도 성남시 분당구 이매동 118,37.393154,127.125982,안말초등학교 정문,2012
분당이매1-A-10,기타,,양현로,경기도 성남시 분당구 이매동 112,37.39721,127.126493,이매초등학교 정문,2012
분당이매2-D-1,일반국도,3번,성남대로,경기도 성남시 분당구 이매동 106-4,37.398897,127.126648,이매119소방센터 건너편,2008
분당이매2-D-2,기타,,판교로,경기도 성남시 분당구 이매동 131-4,37.405152,127.122426,우리은행 이매지점,2006
분당이매2-A-7,기타,,탄천로,경기도 성남시 분당구 이매동 136,37.402184,127.122403,매송초등학교 주변,2014
분당야탑1-D-1,일반국도,3번,성남대로,경기도 성남시 분당구 야탑동 352-4,37.412043,127.12729,야탑역4번출구 하이마트,2008
분당야탑1-D-2,기타,,야탑로,경기도 성남시 분당구 야탑동 357-3,37.41094,127.127486,뉴코아아울렛,2009
분당야탑1-D-3,기타,,양현로,경기도 성남시 분당구 야탑동 327-1,37.415501,127.137441,야탑중학교 건너편,2016
분당야탑1-D-4,기타,,성남대로,경기도 성남시 분당구 야탑1동 364-2,37.41224,127.12945,제1환승공영주차장 출구,2020
분당야탑1-D-5,기타,,성남대로,경기도 성남시 분당구 야탑1동 364-2,37.41151,127.12945,제1환승공영주차장 입구,2020
분당야탑2-D-1,기타,,양현로,경기도 성남시 분당구 야탑동 530,37.406289,127.127129,탑마을 쌍용 505동앞,2010
분당야탑2-D-2,기타,,판교로,경기도 성남시 분당구 야탑동 533-5,37.405753,127.122741,남서울프라자 국민은행앞,2006
분당야탑2-A-7,일반국도,3번,성남대로,경기도 성남시 분당구 야탑동 515,37.409099,127.130378,돌마초등학교 주변,2014
분당야탑2-A-8,기타,,양현로,경기도 성남시 분당구 야탑동 531,37.407326,127.126613,하탑초등학교 주변,2014
분당야탑3-A-6,기타,,야탑로,경기도 성남시 분당구 야탑동 161,37.406209,127.145692,상탑초등학교 정문,2012
분당야탑3-A-7,기타,,벌말로,경기도 성남시 분당구 야탑동 212,37.413924,127.139685,중탑초등학교 정문,2012
분당금곡-D-1,기타,,돌마로,경기도 성남시 분당구 금곡동 153,37.350396,127.110802,미금역2번출구 썬프라자,2006
분당금곡-D-2,기타,,돌마로,경기도 성남시 분당구 금곡동 166,37.350382,127.107131,미금역7번출구 이코노샤르망,2006
분당금곡-D-4,지방도,23번,대왕판교로,경기도 성남시 분당구 금곡동 90-4,37.362915,127.102249,국지도23호쇳골 입구 삼거리,2011
분당금곡-D-5,기타,,성남대로172번길,경기도 성남시 분당구 금곡동 146,37.351566,127.11073,청솔어린이공원 앞,2020
분당금곡-A-5,기타,,금곡로,경기도 성남시 분당구 금곡동 131,37.354658,127.1141,청솔초등학교 정문,2012
분당금곡-A-9,기타,,정자일로6번길,경기도 성남시 분당구 금곡동 199-2번지,37.350586,127.107925,천사의도시1차 오피스텔 주차장입구,2020
분당궁내-D-1,지방도,23번,대왕판교로,경기도 성남시 분당구 궁내동 302-8,37.375802,127.101376,GS충전소앞,2011
분당구미-D-1,기타,,돌마로,경기도 성남시 분당구 구미1동 8-2,37.349681,127.10775,미금역 6번출구 MD프라자,2008
분당구미-D-2,일반국도,3번,성남대로,경기도 성남시 분당구 구미동 185-3,37.338851,127.109393,오리역3번출구 오랜지약국앞,2006
분당구미-D-3,기타,,돌마로,경기도 성남시 분당구 구미1동 24-2,37.349687,127.110382,미금역 3번출구 현대벤처빌,2006
분당구미-D-4,기타,,구미로,경기도 성남시 분당구 구미동 300,37.35025,127.12341,서울대병원 진입로,2020
분당구미-A-16,기타,,미금로,경기도 성남시 분당구 구미동 215,37.337755,127.118399,구미초등학교 주변,2014
분당구미-A-17,기타,,무지개로,경기도 성남시 분당구 구미동 241,37.340984,127.119732,불곡초등학교 주변,2014
분당구미-A-18,기타,,미금로,경기도 성남시 분당구 구미동 115,37.344353,127.115379,오리초등학교 주변,2014
분당구미1-D-1,기타,,미금일로154번길,경기도 성남시 분당구 구미동 9-1,37.349283,127.108276,엠코헤리츠,2020
분당구미1-D-2,기타,,돌마로90번길,경기도 성남시 분당구 구미동 26,37.349484,127.112042,구미1동 행정복지센터 근처,2020
분당구미1-A-11,기타,,구미로,경기도 성남시 분당구 구미1동 68,37.347418,127.115271,미금초등학교 정문,2021
분당판교-D-1,기타,,운중로,경기도 성남시 분당구 판교동 553,37.391898,127.090851,판교도서관 앞,2011
분당판교-D-2,기타,,판교로,경기도 성남시 분당구 판교동 498,37.400635,127.095072,판교박물관 앞,2011
분당판교-D-3,기타,,판교로,경기도 성남시 분당구 판교동 511-1,37.400053,127.09571,성내미사거리 우측,2011
분당판교-D-4,지방도,23번,대왕판교로,경기도 성남시 분당구 판교동 651-1,37.387349,127.102246,낙생고 앞,2011
분당판교-D-5,지방도,23번,대왕판교로,경기도 성남시 분당구 판교동 650-1,37.387078,127.101748,낙생고 건너편,2011
분당판교-D-6,기타,,서판교로,경기도 성남시 분당구 판교동 577-5,37.38956,127.09804,하나로마트 건너편,2020
분당판교-A-53,기타,,서판교로,경기도 성남시 분당구 판교동 551-1번지,37.39459,127.098289,낙생초등학교  삼거리,2011
분당판교-A-103,기타,,서판교로88번길,경기도 성남시 분당구 판교동 551번지,37.394304,127.098913,낙생초등학교,2014
분당판교-A-106,기타,,판교원로,경기도 성남시 분당구 판교동 636,37.386367,127.091721,판교초등학교 정문,2022
분당삼평-D-1,기타,,판교로,경기도 성남시 분당구 삼평동 708,37.404247,127.115277,사송사거리-상,2011
분당삼평-D-2,기타,,동판교로,경기도 성남시 분당구 삼평동 718,37.402585,127.117684,봇들마을 4단지 앞,2011
분당삼평-D-3,기타,,판교역로,경기도 성남시 분당구 삼평동 662,37.397745,127.111433,봇들교사거리좌측,2011
분당삼평-D-4,기타,,분당내곡로,경기도 성남시 분당구 삼평동 658,37.397989,127.11252,봇들교사거리 백범초교 앞,2011
분당삼평-D-5,기타,,동판교로,경기도 성남시 분당구 삼평동 740,37.397321,127.113562,봇들교사거리 백범초교 앞,2011
분당삼평-D-6,기타,,판교역로,경기도 성남시 분당구 삼평동 644,37.396943,127.110055,동안교삼거리,2011
분당삼평-D-7,지방도,23번,대왕판교로,경기도 성남시 분당구 삼평동 670,37.400466,127.106813,판교테크노중앙사거리->판교테크노2사거리,2011
분당삼평-D-8,지방도,23번,대왕판교로,경기도 성남시 분당구 삼평동 668-3,37.401574,127.105347,판교테크노2사거리->판교테크노중앙사거리,2011
분당삼평-D-9,기타,,판교로,경기도 성남시 분당구 삼평동 622,37.403742,127.103047,포스코 ICT 앞,2011
분당삼평-D-10,기타,,판교로,경기도 성남시 분당구 삼평동 620,37.404027,127.101471,이노밸리 C동 뒤,2011
분당삼평-D-11,지방도,23번,대왕판교로,경기도 성남시 분당구 삼평동 676,37.400166,127.112312,어울공원 앞,2011
분당삼평-D-12,기타,,동판교로,경기도 성남시 분당구 삼평동 740,37.397321,127.113562,푸르지오 월드마크 입구,2011
분당삼평-D-13,기타,,판교로,경기도 성남시 분당구 삼평동 618,37.404024,127.10009,우림W-CITY 옆,2011
분당삼평-D-14,기타,,판교로,경기도 성남시 분당구 삼평동 616-2,37.403902,127.099176,만도중앙연구소 옆,2011
분당삼평-D-15,기타,,판교로,경기도 성남시 분당구 삼평동 698,37.40462,127.105814,판교스타트업캠피스 앞,2016
분당삼평-D-16,기타,,판교역로,경기도 성남시 분당구 삼평동 681,37.402096,127.108638,동안육교,2021
분당삼평-D-17,기타,,판교로,경기도 성남시 분당구 삼평동 618,37.404024,127.10009,국민은행 엽,2021
분당삼평-D-18,기타,,대왕판교로,경기도 성남시 분당구 삼평동 668,37.39973,127.108598,NC소프트,2022
분당삼평-D-19,기타,,동판교로,경기도 성남시 분당구 삼평동 721-1,37.40345,127.11574,판교봇들마을 3단지 후문,2023
분당삼평-A-36,기타,,동판교로,경기도 성남시 분당구 삼평동 706-2,37.405111,127.115452,송현초등학교 정문,2021
분당삼평-A-37,기타,,동판교로,경기도 성남시 분당구 삼평동 743,37.396191,127.118251,보평초등학교,2014
분당백현-D-1,지방도,23번,대왕판교로,경기도 성남시 분당구 백현동 532,37.395498,127.110364,동안교삼거리-우측,2011
분당백현-D-2,기타,,판교역로,경기도 성남시 분당구 백현동 537,37.39426,127.110366,환승주차장삼거리-상행,2011
분당백현-D-3,기타,,판교역로,경기도 성남시 분당구 백현동 530,37.394499,127.108334,환승주차장삼거리-하행,2011
분당백현-D-4,기타,,분당내곡로,경기도 성남시 분당구 백현동 534,37.39546,127.11213,광장삼거리백범초교 앞,2011
분당백현-D-5,기타,,분당내곡로,경기도 성남시 분당구 백현동 542-3,37.392714,127.11321,광장삼거리 석운고교 앞,2011
분당백현-D-6,기타,,판교역로,경기도 성남시 분당구 백현동 541,37.392795,127.112088,광장삼거리 석운고교 건너편,2011
분당백현-D-7,기타,,판교역로,경기도 성남시 분당구 백현동 541,37.392795,127.112088,보평중 북측,2011
분당백현-D-8,지방도,57번,서현로,경기도 성남시 분당구 백현동 555-1,37.391551,127.110266,보평중 서측,2011
분당백현-D-9,기타,,동판교로,경기도 성남시 분당구 백현동 551,37.388336,127.115039,백현사거리 율곡초교,2011
분당백현-D-10,지방도,23번,대왕판교로,경기도 성남시 분당구 백현동 472-271,37.37695,127.102028,국지도23호KIS건너편,2011
분당백현-D-11,기타,,판교역로,경기도 성남시 분당구 백현동 530번지,37.393799,127.109593,알파리움 국민은행 옆,2020
분당백현-D-12,기타,,판교역로,경기도 성남시 분당구 백현동567,37.385768,127.109101,백현마을 정문,2021
분당백현-D-13,기타,,판교백현로,경기도 성남시 분당구 백현동 492-25,37.3822,127.095205,더샵퍼스트파크 입구 주변,2022
분당백현-D-14,기타,,동판교로,경기도 성남시 분당구 백현동 546-6,37.38921,127.116771,성남화랑초등학교 맞은편,2024
분당백현-D-15,기타,,동판교로,경기도 성남시 분당구 백현동 544,37.394597,127.11838,보평고등학교 인근,2025
분당운중-D-1,기타,,운중로,경기도 성남시 분당구 운중동 963,37.391963,127.077417,운중주민센터사거리,2011
분당운중-D-2,기타,,운중로,경기도 성남시 분당구 운중동 944,37.391313,127.077331,운중주민센터사거리,2021
분당운중-D-3,기타,,판교대장로,경기도 성남시 분당구 대장동 84-4,37.372068,127.069349,지하주차장 출입구,2021
분당운중-D-4,기타,,판교대장로,경기도 성남시 분당구 대장동 29-1,37.371762,127.071492,클라우드베이 5차 주변,2021
분당운중-D-5,기타,,판교대장로,경기도 성남시 분당구 대장동 산13-2,37.368613,127.070169,대장중학교 정문,2021
분당운중-D-6,기타,,판교대장로,경기도 성남시 분당구 대장동 187-4,37.367721,127.070795,야외주차장 앞 사거리,2021
분당운중-D-7,기타,,판교대장로,경기도 성남시 분당구 대장동 246-1,37.365102,127.068431,야외주차장 앞 삼거리,2021
분당운중-D-8,기타,,판교대장로,경기도 성남시 분당구 대장동 236,37.3638,127.06715,디오르나인사이트A 앞 삼거리,2021
분당운중-D-9,기타,,판교대장로,경기도 성남시 분당구 대장동 239-3,37.362757,127.067293,디오르나인사이트B 앞 삼거리,2021
분당운중-A-14,기타,,산운로,경기도 성남시 분당구 운중동 892-9,37.392082,127.067911,E2-1블럭 내 운중초등학교 정면,2013
분당운중-A-61,기타,,운중로,경기도 성남시 분당구 운중동 1036-1,37.389902,127.079951,산운초등학교 후문,2014
분당운중-A-63,기타,,판교원로,경기도 성남시 분당구 운중동 927-1,37.389848,127.077935,산운초등학교 정문,2013
분당운중-A-119,기타,,판교로,경기도 성남시 분당구 운중동 927,37.38905,127.07841,산운초등학교 정문,2021
분당운중-A-120,기타,,운중로,경기도 성남시 분당구 운중동 893,37.39215,127.06807,운중초등학교 정문,2021
