대상시설명,위도,경도,소재지도로명주소,CCTV_300m,CCTV_500m,최근접_CCTV_거리,무인카메라_300m,무인카메라_500m,최근접_무인카메라_거리,표지판_300m,표지판_500m,최근접_표지판_거리,도로안전표지_300m,도로안전표지_500m,최근접_도로안전표지_거리,신호등_300m,신호등_500m,최근접_신호등_거리,횡단보도_300m,횡단보도_500m,최근접_횡단보도_거리,옐로카펫_300m,옐로카펫_500m,최근접_옐로카펫_거리,도로적색표면_300m,도로적색표면_500m,최근접_도로적색표면_거리,울타리_펜스_300m,울타리_펜스_500m,최근접_울타리_펜스_거리,CCTV설치여부,CCTV설치대수,보호구역도로폭,관할경찰서,안전시설_총합_300m,안전시설_총합_500m,시설_다양성_300m
금상초등학교,37.443599,127.165995,경기도 성남시 중원구 금상로 97,41,94,46.0,8,12,5.4,15,40,57.3,5,12,136.7,12,25,74.2,3,10,136.7,2,4,0.0,10,29,61.2,8,38,58.3,1,9,0.0,성남중원경찰서,104,264,9
상원초등학교,37.453884,127.162776,경기도 성남시 중원구 은행로 6,28,79,72.5,4,7,4.9,13,33,77.9,4,15,97.9,5,21,97.7,4,16,97.9,2,4,0.0,15,36,65.1,27,57,60.7,1,5,0.0,성남중원경찰서,102,268,9
불정초등학교,37.361254,127.119496,경기도 성남시 분당구 돌마로 250,13,38,42.8,2,5,53.2,8,26,21.0,6,10,123.5,2,13,250.2,4,9,123.6,1,2,0.0,2,10,35.9,10,32,57.2,1,3,35.0,분당경찰서,48,145,9
상탑초등학교,37.406207,127.145695,경기도 성남시 분당구 판교로 647,9,16,60.5,1,1,0.3,27,34,45.9,5,8,2.1,5,8,117.2,4,8,117.2,2,2,0.0,6,9,87.7,22,29,43.8,1,2,0.0,분당경찰서,81,115,9
서현초등학교,37.382576,127.12855,경기도 성남시 분당구 중앙공원로 39번길 12,11,26,79.6,1,3,0.0,13,21,77.1,4,7,190.1,2,10,154.4,5,7,189.6,1,2,0.0,8,9,76.7,10,15,63.2,1,3,12.0,분당경찰서,55,100,9
성남신기초등학교,37.366582,127.11106,경기도 성남시 분당구 황새울로 74,13,37,63.3,2,4,0.0,11,12,144.7,7,12,186.3,5,17,266.4,6,10,186.3,1,1,0.0,7,7,108.9,12,13,97.6,1,3,20.0,분당경찰서,64,113,9
성남장안초등학교,37.372662,127.144459,경기도 성남시 분당구 장안로 51번길 10,15,44,69.2,1,3,0.0,22,37,108.5,4,9,220.8,1,11,169.9,4,9,218.9,1,2,0.0,10,22,117.5,20,30,104.3,1,3,14.0,분당경찰서,78,167,9
안말초등학교,37.393154,127.125984,경기도 성남시 분당구 양현로 104,15,34,108.6,2,4,0.2,15,32,69.1,7,13,0.0,11,14,73.6,7,13,0.2,1,2,0.0,6,18,106.7,24,39,67.0,1,2,0.0,분당경찰서,88,169,9
야탑초등학교,37.416616,127.125627,경기도 성남시 분당구 양현로 400,11,27,83.3,6,6,50.4,15,15,14.3,6,14,120.0,7,14,119.9,6,13,119.9,1,1,0.0,3,3,42.6,21,21,11.8,1,8,12.0,분당경찰서,76,114,9
오리초등학교,37.344351,127.115379,경기도 성남시 분당구 미금로 121,9,31,59.6,1,2,0.2,12,27,48.4,4,6,1.3,11,14,234.4,4,8,0.2,2,4,0.0,9,17,55.8,7,22,84.9,1,3,30.0,분당경찰서,59,131,9
이매초등학교,37.39721,127.126493,경기도 성남시 분당구 양현로 146,15,33,62.9,3,4,0.0,5,13,100.8,3,10,0.0,4,11,0.0,3,10,0.0,1,2,0.0,2,8,109.6,11,23,87.2,1,2,12.0,분당경찰서,47,114,9
청솔초등학교,37.354657,127.1141,경기도 성남시 분당구 금곡로 243,6,18,38.0,1,2,0.1,9,17,208.9,5,11,0.0,6,12,26.6,4,11,0.1,1,1,0.0,6,10,87.0,8,14,49.7,1,3,25.0,분당경찰서,46,96,9
당촌초등학교,37.373689,127.131262,경기도 성남시 분당구 분당로 196,8,23,63.7,1,3,0.0,5,15,66.0,5,9,0.0,4,18,78.1,5,9,0.0,1,2,0.0,2,9,72.3,13,39,53.4,1,3,24.0,분당경찰서,44,127,9
한솔초등학교,37.366777,127.118015,경기도 성남시 분당구 돌마로 303,13,36,66.1,1,1,99.2,3,13,78.4,3,9,231.7,0,10,304.0,1,8,231.6,1,1,0.0,1,3,85.2,9,16,95.4,1,1,35.0,분당경찰서,32,97,8
수내초등학교,37.367765,127.124663,경기도 성남시 분당구 백현로 243번길 12,14,36,32.6,1,3,0.4,7,14,25.5,3,10,180.8,9,18,121.9,3,8,180.7,2,2,0.0,6,12,29.8,11,20,33.1,1,3,8.0,분당경찰서,56,123,9
성남송현초등학교,37.405458,127.116346,경기도 성남시 분당구 동판교로 258,8,26,44.8,3,4,87.9,14,14,57.0,4,12,61.3,4,13,135.2,6,13,6.0,1,1,0.0,9,12,43.1,38,46,45.9,1,5,0.0,분당경찰서,87,141,9
판교초등학교,37.387282,127.091443,경기도 성남시 분당구 판교원로 231,16,47,104.7,1,1,104.7,17,22,107.6,5,11,70.4,9,14,176.2,5,12,70.2,1,1,0.0,15,24,104.8,26,37,100.2,1,5,0.0,분당경찰서,95,169,9
성남동초등학교,37.449215,127.162178,경기도 성남시 중원구 자혜로 32번길 10,25,84,67.5,0,7,342.0,18,42,54.6,1,7,148.6,4,16,135.8,1,9,148.3,1,2,0.0,16,33,60.0,15,51,56.0,1,5,0.0,성남중원경찰서,81,251,8
태평초등학교,37.444953,127.131694,경기도 성남시 수정구 남문로 32번길 7,38,107,37.7,2,12,1.2,31,54,38.2,9,22,129.2,10,22,1.2,9,16,129.2,4,5,0.0,19,26,26.7,32,47,46.4,1,6,0.0,성남수정경찰서,154,311,9
성수초등학교,37.433766,127.127238,경기도 성남시 수정구 모란로 11,29,68,67.3,5,7,96.5,3,7,95.2,3,11,91.6,3,11,91.8,3,6,91.8,1,1,0.0,5,12,102.1,8,14,89.6,1,9,6.0,성남수정경찰서,60,137,9
금빛초등학교,37.447331,127.140567,경기도 성남시 수정구 남문로 112,64,145,49.7,2,10,65.5,22,46,40.0,5,17,1.9,3,16,2.0,5,14,2.0,1,4,0.0,17,28,33.2,22,52,34.3,1,7,0.0,성남수정경찰서,141,332,9
왕남초등학교,37.428469,127.098687,경기도 성남시 수정구 대왕판교로 959번길 48,19,43,73.4,4,8,98.4,19,21,72.5,2,13,192.8,8,17,33.9,0,3,306.4,1,1,0.0,12,14,75.2,28,28,70.7,1,5,0.0,성남수정경찰서,93,148,8
성남초등학교,37.446085,127.144145,경기도 성남시 수정구 수정로 233,40,115,46.2,3,11,85.5,16,55,84.7,7,18,120.2,5,22,147.9,5,17,120.2,2,4,0.0,12,39,96.3,30,71,82.9,1,4,0.0,성남수정경찰서,120,352,9
검단초등학교,37.429483,127.144034,경기도 성남시 중원구 원터로 25,20,40,44.9,1,2,0.0,11,14,60.0,4,5,182.1,5,6,182.0,4,5,182.0,1,1,0.0,15,15,50.4,8,8,47.3,1,4,7.0,성남중원경찰서,69,96,9
불곡초등학교,37.340984,127.11973,경기도 성남시 분당구 무지개로 129,4,19,66.8,1,2,0.2,9,30,88.7,4,9,0.0,1,18,125.5,4,8,0.1,1,2,0.0,8,22,92.9,7,26,89.5,1,3,20.0,분당경찰서,39,136,9
서당초등학교,37.374602,127.134587,경기도 성남시 분당구 돌마로 476번길 30,13,28,60.3,2,5,0.2,16,36,69.6,4,11,144.9,4,16,157.9,4,11,145.0,1,3,0.0,7,14,86.1,35,57,66.1,1,3,8.0,분당경찰서,86,181,9
성남매송초등학교,37.402183,127.122403,경기도 성남시 분당구 탄천로 97,10,35,30.0,1,4,0.1,7,14,91.9,2,12,0.0,2,14,0.1,2,11,0.1,1,1,0.0,3,6,125.2,18,38,93.1,1,3,13.0,분당경찰서,46,135,9
성남정자초등학교,37.374517,127.104912,경기도 성남시 분당구 분당수서로 442,2,10,87.8,2,7,87.8,4,6,224.6,2,6,137.3,2,4,256.1,2,7,279.2,1,1,0.0,6,7,226.2,6,7,217.7,1,2,0.0,분당경찰서,27,55,9
양영초등학교,37.37466,127.140091,경기도 성남시 분당구 불정로 406번길 17,19,52,76.1,1,4,0.0,28,55,97.8,3,7,112.9,1,14,110.9,3,7,111.0,1,3,0.0,13,23,111.5,29,59,94.3,1,4,0.0,분당경찰서,98,224,9
중탑초등학교,37.413924,127.139686,경기도 성남시 분당구 벌말로 68,13,25,55.3,2,2,0.1,12,18,81.0,7,10,90.9,7,12,0.1,7,10,90.8,1,1,0.0,14,15,65.7,45,45,69.8,1,2,18.0,분당경찰서,108,138,9
초림초등학교,37.376826,127.117592,경기도 성남시 분당구 수내로 90번길 26,13,37,96.5,1,3,0.0,12,18,71.7,0,7,338.0,3,12,145.4,0,8,325.8,1,1,0.0,2,3,84.4,7,14,46.7,1,3,8.0,분당경찰서,39,103,7
판교대장초등학교,37.368279,127.069713,경기도 성남시 분당구 판교대장로 5길 71,24,45,54.8,2,5,54.8,34,35,58.7,0,0,689.5,11,18,137.9,0,0,739.5,0,0,2525.0,16,16,78.8,33,33,77.7,1,3,18.0,분당경찰서,120,152,6
미래유치원,37.452885,127.150066,경기도 성남시 수정구 수정로 332번길 6-4,18,48,36.3,4,10,197.2,20,29,44.8,2,7,74.9,6,17,69.6,2,9,74.7,2,3,197.9,14,24,32.1,14,23,64.3,1,4,4.0,성남수정경찰서,82,170,9
성체유치원,37.439656,127.137203,경기도 성남시 수정구 탄리로 39,36,106,60.5,2,12,205.6,13,26,41.1,3,10,0.0,3,13,70.9,2,10,0.2,0,0,546.6,3,10,36.6,12,24,15.3,1,4,5.0,성남수정경찰서,74,211,8
신흥성모유치원,37.449077,127.143242,경기도 성남시 수정구 공원로 432,51,108,30.1,4,12,0.1,28,43,27.6,11,16,0.0,7,19,0.1,9,14,0.1,1,4,165.4,14,28,28.9,26,49,21.1,1,1,30.0,성남수정경찰서,151,293,9
은솔유치원,37.467824,127.138154,경기도 성남시 수정구 위례서일로1길 24,14,23,65.8,4,7,176.5,6,24,48.3,0,0,1074.6,6,14,153.0,0,0,1074.6,0,1,495.8,12,24,15.4,2,27,15.3,0,0,0.0,성남수정경찰서,44,120,6
위례새초롱유치원,37.469683,127.147866,경기도 성남시 수정구 위례순환로4길 2,14,23,26.9,2,8,272.9,29,49,15.7,0,0,1058.9,7,15,4.7,0,0,1073.8,2,3,267.3,17,28,20.9,28,47,18.1,0,0,10.0,성남수정경찰서,99,173,7
위례하늘유치원,37.467037,127.151134,경기도 성남시 수정구 위례동이로 14,10,19,52.8,1,3,245.0,11,36,110.2,0,0,648.1,5,9,124.3,0,0,678.9,0,2,389.9,7,20,35.7,12,41,35.6,1,1,10.0,성남수정경찰서,46,130,6
고등나래 유치원,37.426969,127.096496,경기도 성남시 수정구 청계산로 2길 34,17,38,27.2,4,8,91.4,10,21,13.9,0,4,301.5,6,13,102.8,0,2,304.4,1,1,255.4,5,14,17.1,11,28,14.0,0,0,8.0,성남수정경찰서,54,129,7
은서유치원,37.443605,127.134977,경기도 성남시 수정구 탄리로 95번길 7-17,36,108,17.5,3,12,209.1,29,49,26.5,5,15,158.8,7,19,37.4,5,13,158.9,2,4,200.0,9,23,52.8,13,42,90.8,1,4,4.0,성남수정경찰서,109,285,9
선경유치원,37.450411,127.162262,경기도 성남시 중원구 자혜로 17번길 16,25,83,75.6,3,6,268.9,22,53,40.7,1,10,96.8,6,17,93.0,1,13,96.7,2,4,133.2,17,46,37.2,27,72,43.4,1,4,12.0,성남중원경찰서,104,304,9
예원유치원,37.435032,127.143201,경기도 성남시 중원구 원터로 93번길 3,17,40,22.3,2,8,30.1,14,26,52.9,5,11,139.0,5,12,139.6,5,11,139.6,1,1,139.0,12,21,23.2,12,20,23.3,1,5,6.0,성남중원경찰서,73,150,9
다솜유치원,37.447962,127.163685,경기도 성남시 중원구 산성대로 408번길 48,35,83,16.1,1,8,283.8,19,42,38.6,3,9,190.3,4,19,190.3,3,8,190.3,1,2,192.6,15,28,55.4,11,40,25.6,1,1,5.0,성남중원경찰서,92,239,9
도촌유치원,37.413897,127.149775,경기도 성남시 중원구 도촌남로 22-1,13,19,47.0,1,1,0.2,7,7,16.1,5,9,0.4,5,11,0.2,5,9,0.2,0,0,734.4,6,6,22.7,20,20,16.6,0,0,0.0,성남중원경찰서,62,82,8
아름다운유치원,37.367591,127.125773,경기도 성남시 분당구 수내로 192번길 25,14,37,69.3,1,2,99.9,6,12,60.0,3,10,97.6,9,18,91.1,3,8,97.1,2,2,100.0,6,12,45.6,10,18,52.9,1,3,8.0,분당경찰서,54,119,9
안촌 유치원,37.368171,127.110392,경기도 성남시 분당구 느티로 70,18,44,61.5,2,9,186.3,11,21,43.0,4,12,0.0,0,20,301.0,3,12,0.0,1,2,186.3,7,18,75.1,12,20,86.7,1,1,13.0,분당경찰서,58,158,8
세화유치원,37.372737,127.136164,경기도 성남시 분당구 불정로 362,11,33,102.0,1,4,249.8,22,45,68.1,5,9,150.8,3,20,92.5,5,10,150.6,1,3,249.9,6,19,167.6,37,64,102.0,1,5,6.0,분당경찰서,91,207,9
분당중앙유치원,37.373451,127.141671,경기도 성남시 분당구 분당로 263번길 61,21,49,18.0,3,3,177.7,34,56,12.1,4,10,88.0,2,11,220.5,4,10,86.6,2,2,193.8,15,25,18.8,29,50,13.5,1,1,10.0,분당경찰서,114,216,9
꿈터 유치원,37.347269,127.113122,경기도 성남시 분당구 미금일로 58,15,39,104.5,2,6,190.7,14,35,95.0,2,9,0.0,10,19,146.7,4,11,0.2,2,4,193.5,7,17,99.4,18,29,90.2,1,1,7.0,분당경찰서,74,169,9
배성유치원,37.405999,127.142401,경기도 성남시 분당구 판교로 624-1,8,20,61.7,1,1,291.6,17,29,68.8,3,9,166.5,2,9,165.9,2,8,165.9,2,2,291.9,6,9,62.6,17,26,64.2,1,1,17.0,분당경찰서,58,113,9
이솔유치원,37.352756,127.112602,경기도 성남시 분당구 미금로 232,9,28,22.4,2,6,211.9,14,23,32.8,5,11,0.1,5,17,50.9,5,12,188.1,1,1,249.4,8,12,17.0,12,19,16.9,1,5,24.0,분당경찰서,61,129,9
성모 유치원,37.340099,127.124419,경기도 성남시 분당구 구미로 130번길 20,7,10,36.1,0,1,425.9,4,8,74.3,1,6,293.6,0,1,406.2,1,5,293.7,0,1,426.1,2,6,30.0,4,8,28.4,1,4,8.0,분당경찰서,19,46,6
판교샘유치원,37.392021,127.072039,경기도 성남시 분당구 산운로 98,19,53,108.1,0,4,350.9,15,29,115.7,2,11,234.3,1,7,251.4,4,10,234.4,1,1,277.3,19,37,111.1,9,43,117.0,1,1,7.0,분당경찰서,70,195,8
건영장안유치원,37.371127,127.140849,경기도 성남시 분당구 장안로 25번길 28,15,43,28.8,1,3,98.5,30,57,72.8,6,10,0.0,9,13,82.0,6,10,0.3,0,2,361.8,18,27,89.3,30,49,81.8,1,1,12.0,분당경찰서,115,214,8
뽀뽀뽀유치원,37.415425,127.138017,경기도 성남시 분당구 양현로 507,9,20,57.4,2,2,51.6,12,25,79.7,6,12,0.0,4,14,0.0,6,12,0.0,1,1,222.7,14,20,32.6,39,58,93.6,1,4,12.0,분당경찰서,93,164,9
창조유치원,37.359154,127.124992,경기도 성남시 분당구 불곡로17번길 8,30,35,30.0,0,1,497.5,10,10,34.0,1,4,200.9,0,1,480.1,1,2,199.9,0,0,539.0,4,4,48.1,0,0,508.6,1,1,6.0,분당경찰서,46,57,5
