설치장소,설치도로명주소,설치지번주소,설치개소수,설치연도,위도,경도
백현초등학교,경기도 성남시 분당구 백현로144번길 26,경기도 성남시 분당구 정자동 76,1,2022,37.372193,127.111168
분당초등학교 ,경기도 성남시 분당구 중앙공원로32번길 20,경기도 성남시 분당구 서현동 92-1,1,2022,37.378988,127.129653
신기초등학교,경기도 경기도 성남시 분당구 황새울로 74,경기도 성남시 분당구 정자동 89,1,2022,37.366582,127.11106
양영초등학교,경기도 성남시 분당구 불정로406번길 17,경기도 성남시 분당구 서현동 319,1,2022,37.37466,127.140091
오리초등학교,경기도 성남시 분당구 미금로 121,경기도 성남시 분당구 구미동 115,1,2022,37.344351,127.115379
청솔초등학교,경기도 성남시 분당구 금곡로 243,경기도 성남시 분당구 금곡동 131,1,2022,37.354657,127.1141
탄천초등학교,경기도 성남시 분당구 내정로 20,경기도 성남시 분당구 정자동 195,1,2022,37.361599,127.115645
하탑초등학교,경기도 성남시 분당구 양현로 262,경기도 성남시 분당구 야탑동 531,1,2022,37.407326,127.126613
수내초등학교,경기도 성남시 분당구 백현로243번길 12,경기도 성남시 분당구 수내동 81,1,2022,37.367765,127.124663
양지초등학교,경기도 성남시 수정구 논골로36번길 33,경기도 성남시 수정구 양지동 386,1,2022,37.459218,127.160884
성남서초등학교,경기도 성남시 수정구 태평로19,경기도 성남시 수정구 태평3동 5090-1,1,2022,37.448545,127.129403
수진초등학교,경기도 성남시 수정구 탄리로95번길 16,경기도 성남시 수정구 태평3동 3756,1,2022,37.444944,127.133465
신백현초등학교,경기도 성남시 분당구 판교역로14번길 42,경기도 성남시 분당구 백현동 559,1,2022,37.387579,127.111751
구미초등학교,경기도 성남시 분당구 미금로22번길 25,경기도 성남시 분당구 구미동 215,1,2022,37.337756,127.118398
미금초등학교,경기도 성남시 분당구 미금로 151,경기도 성남시 분당구 구미동 68,1,2022,37.347422,127.115303
불정초등학교,경기도 성남시 분당구 돌마로 250,경기도 성남시 분당구 정자동 203,1,2022,37.361254,127.119496
상탑초등학교,경기도 성남시 분당구 판교로 647,경기도 성남시 분당구 야탑동 161,1,2022,37.406207,127.145695
매송초등학교,경기도 성남시 분당구 탄천로 97,경기도 성남시 분당구 이매동 136,1,2022,37.402183,127.122403
장안초등학교,경기도 성남시 분당구 장안로51번길 10,경기도 성남시 분당구 분당동 91,1,2022,37.372662,127.144459
초림초등학교,경기도 성남시 분당구 수내로90번길 26,경기도 성남시 분당구 수내동 35,1,2022,37.376826,127.117592
한솔초등하교,경기도 성남시 분당구 돌마로 303,경기도 성남시 분당구 정자동 113,1,2022,37.366777,127.118015
늘푸른초등학교,경기도 성남시 분당구 정자일로 87,경기도 성남시 분당구 정자동178-5,1,2022,37.358334,127.105671
보평초등학교,경기도 성남시 분당구 동판교로 154,경기도 성남시 분당구 삼평동 743,1,2022,37.396039,127.117758
송현초등학교,경기도 남시 분당구 동판교로 258,경기도 성남시 분당구 삼평동 710,1,2022,37.405458,127.116346
성수초등학교,경기도 성남시 수정구 모란로 11,경기도 성남시 수정구 수진2동 4786,1,2022,37.433766,127.127238
위례고운초등학교,경기도 성남시 수정구 위례순환로 155,경기도 성남시 수정구 창곡동 511,1,2022,37.471437,127.145794
위례한빛초등학교,경기도 성남시 수정구 위례동로 55,경기도 성남시 수정구 창곡동 570,1,2022,37.465766,127.147017
위례중앙초등학교,경기도 성남시 수정구 위례순환로 71,경기도 성남시 수정구 창곡동27,1,2022,37.471899,127.135874
대원초등학교,경기도 성남시 중원구 희망로343번길 24,경기도 성남시 중원구 상대원2동 4251,1,2022,37.436671,127.155099
대하초등학교,경기도 성남시 중원구 시민로 14,경기도 성남시 중원구 하대원동 167-2,1,2022,37.431908,127.151304
성남초등학교 ,경기도 성남시 수정구 수정로233,경기도 성남시 수정구 태평4동 7326,1,2022,37.446085,127.144145
중부초등학교,경기도 성남시 중원구 자혜로 55,경기도 성남시 중원구 은행1동 1932-7,1,2022,37.451546,127.164951
수내초등학교,경기도 성남시 분당구 백현로243번길 12,경기도 성남시 분당구 수내동 81,1,2024,37.367765,127.124663
상탑사거리,경기도 성남시 분당구 야탑로 225,경기도 성남시 분당구 야탑동 170-2,1,2024,37.406207,127.145695
황송삼거리(사거리),경기도 성남시 중원구 황송로 4,경기도 성남시 중원구 금광동 2450-2,1,2024,37.4462019,127.1711228
