연번,위도,경도,보호구역아이디,시군구명,대상시설명,관할경찰서명,데이터기준일자
56,37.372801,127.121357,성남-01-007,성남시 분당구,내정초등학교,분당경찰서,2022-08-29
57,37.371254,127.122777,성남-01-007,성남시 분당구,내정초등학교,분당경찰서,2022-08-29
58,37.409841,127.130813,성남-01-008,성남시 분당구,돌마초등학교,분당경찰서,2022-07-27
59,37.408919,127.129451,성남-01-008,성남시 분당구,돌마초등학교,분당경찰서,2022-07-27
60,37.409482,127.129451,성남-01-008,성남시 분당구,돌마초등학교,분당경찰서,2022-07-27
61,37.409783,127.130221,성남-01-008,성남시 분당구,돌마초등학교,분당경찰서,2022-07-27
62,37.409741,127.130823,성남-01-008,성남시 분당구,돌마초등학교,분당경찰서,2022-07-27
63,37.409761,127.131412,성남-01-008,성남시 분당구,돌마초등학교,분당경찰서,2022-07-27
64,37.350137,127.115948,성남-01-009,성남시 분당구,성남미금초등학교,분당경찰서,2022-08-17
65,37.348758,127.116003,성남-01-009,성남시 분당구,성남미금초등학교,분당경찰서,2022-08-17
66,37.346761,127.116029,성남-01-009,성남시 분당구,성남미금초등학교,분당경찰서,2022-08-17
67,37.348312,127.116188,성남-01-009,성남시 분당구,성남미금초등학교,분당경찰서,2022-08-17
68,37.346521,127.116478,성남-01-009,성남시 분당구,성남미금초등학교,분당경찰서,2022-08-17
69,37.346415,127.115725,성남-01-009,성남시 분당구,성남미금초등학교,분당경찰서,2022-08-17
70,37.371227,127.111728,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
71,37.371213,127.111818,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
72,37.371479,127.111846,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
73,37.371461,127.111937,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
74,37.372011,127.112304,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
75,37.372127,127.112429,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
76,37.372081,127.112513,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
77,37.372074,127.112101,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
78,37.371646,127.111968,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
79,37.371631,127.112033,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
80,37.371515,127.112283,성남-01-010,성남시 분당구,백현초등학교,분당경찰서,2022-08-25
81,37.379127,127.130374,성남-01-011,성남시 분당구,분당초등학교,분당경찰서,2022-08-31
82,37.378045,127.131863,성남-01-011,성남시 분당구,분당초등학교,분당경찰서,2022-08-31
83,37.418817,127.131481,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
84,37.418964,127.132381,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
85,37.419291,127.132383,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
86,37.419728,127.132384,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
87,37.419728,127.132418,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
88,37.419503,127.132446,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
