연번,구,동,관리번호,지번주소,도로명주소,설치일자,카메라대수,위도,경도
0,수정구,신흥1동,수정신흥1-A-1,신흥1동 6497번지,수정남로84번길 24-1 (신흥동),2009,5.0,37.439615,127.138008
1,수정구,신흥1동,수정신흥1-A-2,신흥1동 6598번지,탄리로16번길 3-8 (신흥동),2009,4.0,37.43897,127.13956
2,수정구,신흥1동,수정신흥1-A-3,신흥1동 5095번지,시민로163번길 19 (신흥동),2009,5.0,37.442144,127.14138
3,수정구,신흥1동,수정신흥1-A-4,신흥1동 4326번지,산성대로225번길 16 (신흥동),2009,5.0,37.439805,127.141888
4,수정구,신흥1동,수정신흥1-A-5,신흥1동 4900번지,탄리로52번길 32 (신흥동),2009,4.0,37.440745,127.140138
5,수정구,신흥1동,수정신흥1-A-6,신흥1동 4669번지,시민로145번길 16-14 (신흥동),2009,5.0,37.441122,127.142066
6,수정구,신흥1동,수정신흥1-A-7,신흥1동 4224번지,산성대로 241 (신흥동),2009,5.0,37.440008,127.143811
7,수정구,신흥1동,수정신흥1-A-8,신흥1동 5544-1번지,수정로154번길 8 (신흥동),2009,5.0,37.441737,127.137535
8,수정구,신흥1동,수정신흥1-A-9,신흥1동 6077번지,탄리로52번길 12 (신흥동),2012,5.0,37.440932,127.137909
9,수정구,신흥1동,수정신흥1-A-10,신흥1동 5514번지,수정로180번길 3 (신흥동),2013,5.0,37.442849,127.140006
10,수정구,신흥1동,수정신흥1-A-11,신흥1동 6926번지,산성대로215번길 7 (신흥동),2013,5.0,37.438513,127.140835
11,수정구,신흥1동,수정신흥1-A-12,신흥1동 6284번지,탄리로30번길 15-1 (신흥동),2013,5.0,37.439546,127.139669
12,수정구,신흥1동,수정신흥1-A-13,신흥1동 4579번지,수정남로132번길 25 (신흥동),2013,5.0,37.440843,127.142982
13,수정구,신흥1동,수정신흥1-A-14,신흥1동 5319-3번지,시민로163번길 26 (신흥동),2014,5.0,37.442062,127.140387
14,수정구,신흥1동,수정신흥1-A-15,신흥1동 5534-1번지,수정로162번길 6 (신흥동),2015,5.0,37.44231,127.13821
15,수정구,신흥1동,수정신흥1-A-16,신흥1동 5481번지,수정로188번길 7 (신흥동),2016,5.0,37.44284,127.14112
16,수정구,신흥1동,수정신흥1-A-17,신흥1동 6593번지,탄리로 16 (신흥동),2016,5.0,37.43886,127.13957
17,수정구,신흥1동,수정신흥1-A-18,신흥1동 4916번지,시민로155번길 18 (신흥동),2017-12,5.0,37.44151,127.14158
18,수정구,신흥1동,수정신흥1-A-19,신흥1동 5755번지,수정남로98번길 9 (신흥동),2017-12,5.0,37.44142,127.1388
19,수정구,신흥1동,수정신흥1-A-20,신흥1동 5055번지,수정로170번길 19-3 (신흥동),2018-07,5.0,37.44152,127.13986
20,수정구,신흥1동,수정신흥1-A-21,신흥1동 6407번지,탄리로42번길 12 (신흥동),2018-07,5.0,37.44013,127.13823
21,수정구,신흥1동,수정신흥1-A-22,신흥1동 4503번지,시민로139번길 3 (신흥동),2018-07,5.0,37.44043,127.14362
22,수정구,신흥1동,수정신흥1-A-23,신흥1동 4945번지,수정로 180번길 23,2018-10,5.0,37.44129,127.14073
23,수정구,신흥1동,수정신흥1-A-24,신흥1동 5189번지,"시민로 165 (신흥동, 샤르망)",2018-10,5.0,37.44243,127.14227
24,수정구,신흥1동,수정신흥1-A-25,신흥1동 6926번지,산성대로215번길 7 (신흥동),2019-04,4.0,37.43902,127.14112
25,수정구,신흥1동,수정신흥1-A-26,신흥1동 4245번지,산성대로225번길 6 (신흥동),2019-04,5.0,37.43927,127.14232
26,수정구,신흥1동,수정신흥1-A-27,신흥1동 4546번지,시민로155번길 5 (신흥동),2019-09,5.0,37.44192,127.1429
27,수정구,신흥1동,수정신흥1-A-28,신흥1동 6676번지,탄리로16번길 11 (신흥동),2019-09,5.0,37.43901,127.14039
28,수정구,신흥1동,수정신흥1-A-29,신흥1동 4500번지,산성대로241번길 16 (신흥동),2019-09,5.0,37.44095,127.14337
29,수정구,신흥1동,수정신흥1-A-30,신흥1동 5617,수정남로 103-2,2020-07,5.0,37.44226,127.139163
30,수정구,신흥1동,수정신흥1-A-31,신흥1동 6295,탄리로42번길 22,2020-07,5.0,37.440246,127.139363
31,수정구,신흥1동,수정신흥1-A-32,신흥1동 4826,산성대로225번길 27-1,2020-07,5.0,37.440885,127.141154
32,수정구,신흥1동,수정신흥1-A-33,신흥1동 5180,시민로 165,2020-07,5.0,37.442695,127.142158
33,수정구,신흥1동,수정신흥1-A-34,신흥1동 4900,탄리로52번길 32,2020-12,4.0,37.44109,127.140231
34,수정구,신흥1동,수정신흥1-A-35,신흥1동 5481번지,수정구 수정로188번길 7,2021-06,5.0,37.443103,127.141009
35,수정구,신흥1동,수정신흥1-A-36,신흥1동 5490,시민로175번길 8-1,2021-12,4.0,37.4434,127.14175
36,수정구,신흥1동,수정신흥1-A-37,신흥1동 5688,수정로170번길 14,2022-07,5.0,37.441975,127.139533
37,수정구,신흥1동,수정신흥1-A-38,신흥1동 6729,탄리로30번길 34,2022-08,5.0,37.44044,127.141461
38,수정구,신흥1동,수정신흥1-A-39,신흥1동 6540,탄리로 30번길6-1,2022-08,4.0,37.439242,127.138706
39,수정구,신흥1동,수정신흥1-A-40,신흥1동 5652,수정로 170번길 12,2023-06,3.0,37.442137,127.139298
40,수정구,신흥1동,수정신흥1-A-41,신흥1동 5045,수정로 180번길 17,2023-06,5.0,37.441797,127.140534
41,수정구,신흥1동,수정신흥1-A-42,신흥1동 4407,산성대로 225번길 20-16,2023-06,5.0,37.440472,127.142194
42,수정구,신흥1동,수정신흥1-A-43,신흥1동 5659,수정남로98번길 3,2024-10,5.0,37.441894,127.138686
43,수정구,신흥1동,수정신흥1-A-44,신흥1동 6932-2,탄리로 12-1,2024-10,4.0,37.438527,127.139743
44,수정구,신흥2동,수정신흥2-A-1,신흥2동 2024번지,공원로370번길 30 (신흥동),2009,5.0,37.444985,127.150824
45,수정구,신흥2동,수정신흥2-A-2,신흥2동 6956,,2021-06,4.0,37.451105,127.146177
46,수정구,신흥2동,수정신흥2-A-4,신흥2동 1232번지,공원로370번길 29 (신흥동),2009,3.0,37.446667,127.149359
47,수정구,신흥2동,수정신흥2-A-5,신흥2동 37번지,수정로279번길 3 (신흥동),2009,4.0,37.449397,127.145009
48,수정구,신흥2동,수정신흥2-A-6,신흥2동 30번지,수정로 283 (신흥동),2009,6.0,37.450147,127.144902
49,수정구,신흥2동,수정신흥2-A-7,신흥2동 2344번지,공원로370번길 26 (신흥동),2009,3.0,37.44864,127.14981
50,수정구,신흥2동,수정신흥2-A-8,신흥2동 2024번지,"공원로 360 (신흥동, 두산아파트)",2009,3.0,37.44704,127.15215
51,수정구,신흥2동,수정신흥2-A-9,신흥2동 950,수정구 수정로 282,2021-06,6.0,37.44944,127.146309
52,수정구,신흥2동,수정신흥2-A-10,신흥2동 76-1번지,"수정로251번길 32 (신흥동, 신원빌리지)",2009,4.0,37.449348,127.143239
53,수정구,신흥2동,수정신흥2-A-11,신흥2동 110-3번지,수정로251번길 8-1 (신흥동),2012,4.0,37.447433,127.14471
54,수정구,신흥2동,수정신흥2-A-13,신흥2동 6950,,2024-10,3.0,37.455169,127.149695
55,수정구,신흥2동,수정신흥2-A-14,신흥2동 2457-4,,2023-02,5.0,37.44629,127.155437
56,수정구,신흥2동,수정신흥2-A-15,신흥2동 32,수정로 277,2023-06,4.0,37.449634,127.146202
57,수정구,신흥2동,수정신흥2-A-16,신흥2동 2460-4,,2022-01,5.0,37.44633,127.15449
58,수정구,신흥2동,수정신흥2-A-17,신흥2동 2460-4,,2022-01,5.0,37.44663,127.15372
59,수정구,신흥2동,수정신흥2-A-18,신흥2동 2460-4,,2022-01,5.0,37.44676,127.15332
60,수정구,신흥2동,수정신흥2-A-19,신흥2동 2460-4,,2022-01,5.0,37.44732,127.15406
61,수정구,신흥2동,수정신흥2-A-20,신흥2동 80번지,"수정로251번길 22-1 (신흥동, 신원빌리지)",2016,3.0,37.44863,127.14381
62,수정구,신흥2동,수정신흥2-A-21,신흥2동 37번지,수정로279번길 5 (신흥동),2016,5.0,37.4496,127.14524
63,수정구,신흥2동,수정신흥2-A-22,신흥2동 2460-4,,2022-01,5.0,37.445923,127.15225
64,수정구,신흥2동,수정신흥2-A-23,신흥2동 2460-4,,2022-01,5.0,37.446,127.15389
65,수정구,신흥2동,수정신흥2-A-24,신흥2동 2024번지,"공원로 360 (신흥동, 두산아파트)",2018-07,4.0,37.44597,127.14938
66,수정구,신흥2동,수정신흥2-A-25,신흥2동 48번지,"공원로436번길 10 (신흥동, 현대빌리지)",2018-07,4.0,37.44954,127.1437
67,수정구,신흥2동,수정신흥2-A-26,신흥2동 89번지, ,2018-10,5.0,37.44869,127.14313
68,수정구,신흥2동,수정신흥2-A-27,신흥2동 53-10번지,수정로257번길 12-9 (신흥동),2019-04,4.0,37.44896,127.14493
69,수정구,신흥2동,수정신흥2-A-28,신흥2동 86-2번지,공원로418번길 7 (신흥동),2019-09,4.0,37.44814,127.14472
70,수정구,신흥2동,수정신흥2-A-29,신흥2동 2463-1번지,산성대로 341 (신흥동),2019-09,4.0,37.44469,127.15313
71,수정구,신흥2동,수정신흥2-A-30,신흥2동 109번지,수정로257번길 1 (신흥동),2019-09,4.0,37.44768,127.14519
72,수정구,신흥2동,수정신흥2-A-31,신흥2동 47-1번지,시민로155번길 5 (신흥동),2019-12,6.0,37.44925,127.14272
73,수정구,신흥2동,수정신흥2-A-32,신흥동 2440,,2024-10,3.0,37.447472,127.153657
74,수정구,신흥2동,수정신흥2-A-34,신흥2동 6-1,,2020-10,4.0,37.454536,127.144362
75,수정구,신흥2동,수정신흥2-A-35,신흥2동 5-2,,2020-10,4.0,37.454807,127.1449
76,수정구,신흥2동,수정신흥2-A-36,신흥2동 4-2,,2020-10,4.0,37.454229,127.14617
77,수정구,신흥2동,수정신흥2-A-37,신흥2동 10,,2020-10,4.0,37.4554,127.149343
78,수정구,신흥2동,수정신흥2-A-38,신흥2동 10,,2020-10,4.0,37.455904,127.149736
79,수정구,신흥2동,수정신흥2-A-40,신흥2동 922,수정로288번길 3-7,2020-07,3.0,37.450308,127.147343
80,수정구,신흥2동,수정신흥2-A-41,신흥2동 2460-4,,2022-01,5.0,37.445798,127.15311
81,수정구,신흥2동,수정신흥2-A-42,신흥2동 2460-4,,2022-01,5.0,37.445458,127.15311
82,수정구,신흥2동,수정신흥2-A-43,신흥2동 2460-4,,2022-01,5.0,37.44663,127.15457
83,수정구,신흥2동,수정신흥2-A-44,신흥2동 2460-4,,2022-01,5.0,37.446183,127.15325
84,수정구,신흥2동,수정신흥2-A-45,신흥2동 2460-4,,2022-01,5.0,37.446283,127.15273
85,수정구,신흥2동,수정신흥2-A-46,신흥2동 2344,공원로370번길 30,2021-12,5.0,37.44741,127.14986
86,수정구,신흥2동,수정신흥2-A-47,신흥2동 2344,공원로370번길 30,2021-12,4.0,37.44805,127.15087
87,수정구,신흥2동,수정신흥2-A-48,신흥2동 6956,포레스티아 산책로,2023-06,4.0,37.453204,127.144393
88,수정구,신흥2동,수정신흥2-A-49,신흥2동 6956,포레스티아 산책로,2023-06,4.0,37.452319,127.145253
89,수정구,신흥2동,수정신흥2-A-50,신흥동 126,,2024-07,4.0,37.451665,127.149942
90,수정구,신흥2동,수정신흥2-A-51,신흥동 137,,2024-07,4.0,37.450619,127.151486
91,수정구,신흥2동,수정신흥2-A-52,신흥동 153,,2024-07,4.0,37.449441,127.15306
92,수정구,신흥2동,수정신흥2-A-53,신흥동 828,,2024-07,4.0,37.451082,127.148322
93,수정구,신흥2동,수정신흥2-A-54,신흥동 185,,2024-07,5.0,37.450803,127.148898
94,수정구,신흥2동,수정신흥2-A-55,신흥동 464,,2024-07,5.0,37.448334,127.152487
95,수정구,신흥2동,수정신흥2-A-56,신흥동 2440,,2024-07,3.0,37.44831,127.153306
96,수정구,신흥2동,수정신흥2-A-57,신흥동 24-2,,2024-07,4.0,37.449354,127.14624
97,수정구,신흥2동,수정신흥2-A-58,신흥동 24-2,,2024-07,4.0,37.449616,127.14746
98,수정구,신흥2동,수정신흥2-A-59,신흥동 24-2,,2024-07,5.0,37.449254,127.14789
99,수정구,신흥2동,수정신흥2-A-60,신흥동 1223,,2024-07,4.0,37.44833,127.14843
100,수정구,신흥2동,수정신흥2-A-61,신흥동 1741-8,,2024-07,3.0,37.448243,127.145514
101,수정구,신흥2동,수정신흥2-A-62,신흥동 1745-1,,2024-07,5.0,37.446387,127.145635
102,수정구,신흥2동,수정신흥2-A-63,신흥동 1748-1,,2024-07,3.0,37.445909,127.146323
103,수정구,신흥2동,수정신흥2-A-64,신흥동 1940,,2024-07,3.0,37.445979,127.147778
104,수정구,신흥2동,수정신흥2-A-65,신흥동 2019,,2024-07,4.0,37.445401,127.148644
105,수정구,신흥2동,수정신흥2-A-66,신흥동 2009,,2024-07,3.0,37.445033,127.148118
106,수정구,신흥2동,수정신흥2-A-67,신흥동 478,,2024-07,3.0,37.446775,127.147884
107,수정구,신흥2동,수정신흥2-A-68,신흥동 1262,,2024-07,4.0,37.448892,127.149022
108,수정구,신흥2동,수정신흥2-A-69,신흥동 394,,2024-07,4.0,37.449366,127.150983
109,수정구,신흥2동,수정신흥2-A-70,신흥동 1975(1),,2024-07,3.0,37.445835,127.147781
110,수정구,신흥2동,수정신흥2-A-71,신흥동 1975(2),,2024-07,3.0,37.445373,127.147497
111,수정구,신흥2동,수정신흥2-A-72,신흥동 1975(3),,2024-07,4.0,37.445282,127.14822
112,수정구,신흥2동,수정신흥2-A-73,신흥동 818 (1),,2024-07,4.0,37.450761,127.148726
113,수정구,신흥2동,수정신흥2-A-74,신흥동 818 (2),,2024-07,3.0,37.450632,127.148581
114,수정구,신흥2동,수정신흥2-A-75,신흥동 2344,,2024-07,4.0,37.448316,127.151978
115,수정구,신흥2동,수정신흥2-D-5,신흥동 248,,2024-07,5.0,37.449985,127.15023
116,수정구,신흥3동,수정신흥3-A-1,신흥3동 4124번지,산성대로 267 (신흥동),2009,4.0,37.440774,127.146991
117,수정구,신흥3동,수정신흥3-A-2,신흥3동 4194번지,산성대로 255 (신흥동),2009,4.0,37.440296,127.145406
118,수정구,신흥3동,수정신흥3-A-3,신흥3동 3755번지,수정남로150번길 16 (신흥동),2009,5.0,37.44224,127.14385
119,수정구,신흥3동,수정신흥3-A-4,신흥3동 3429번지,,2009,6.0,37.444979,127.14503
120,수정구,신흥3동,수정신흥3-A-5,신흥3동 2819번지,공원로349번길 8 (신흥동),2009,4.0,37.443506,127.148462
121,수정구,신흥3동,수정신흥3-A-6,신흥3동 2482번지,산성대로 301 (신흥동),2009,5.0,37.441803,127.149547
122,수정구,신흥3동,수정신흥3-A-7,신흥3동 3583번지,시민로164번길 21 (신흥동),2009,5.0,37.443692,127.145124
123,수정구,신흥3동,수정신흥3-A-8,신흥3동 3436-17번지,시민로 172 (신흥동),2009,5.0,37.443294,127.142801
124,수정구,신흥3동,수정신흥3-A-9,신흥3동 2778번지,산성대로269번길 26 (신흥동),2012,5.0,37.442937,127.145693
125,수정구,신흥3동,수정신흥3-A-10,신흥3동 3561번지,시민로164번길 11 (신흥동),2013,5.0,37.443075,127.144079
126,수정구,신흥3동,수정신흥3-A-11,신흥3동 3785-1번지,"시민로150번길 5 (신흥동, 스카이캐슬)",2013,5.0,37.44167,127.144189
127,수정구,신흥3동,수정신흥3-A-12,신흥3동 2819번지,공원로349번길 8 (신흥동),2014,4.0,37.443582,127.149577
128,수정구,신흥3동,수정신흥3-A-13,신흥3동 3094번지,수정로228번길 24 (신흥동),2015,5.0,37.44396,127.14378
129,수정구,신흥3동,수정신흥3-A-14,신흥3동 3436-7번지,수정남로 149 (신흥동),2015,4.0,37.44396,127.14378
130,수정구,신흥3동,수정신흥3-A-15,신흥3동 2562-1번지,산성대로295번길 9-1 (신흥동),2016,5.0,37.44261,127.14902
131,수정구,신흥3동,수정신흥3-A-16,신흥3동 2750번지,산성대로269번길 24-18 (신흥동),2017-12,5.0,37.44304,127.14647
132,수정구,신흥3동,수정신흥3-A-17,신흥3동 2586-4번지,산성대로283번길 14 (신흥동),2017-12,5.0,37.44251,127.14774
133,수정구,신흥3동,수정신흥3-A-18,신흥3동 2598-2번지,산성대로303번길 13-1 (신흥동),2018-07,4.0,37.44318,127.14972
134,수정구,신흥3동,수정신흥3-A-19,신흥3동 3365번지,수정로220번길 11 (신흥동),2018-07,5.0,37.44407,127.14471
135,수정구,신흥3동,수정신흥3-A-20,신흥3동 3252번지,수정남로176번길 6-11 (신흥동),2019-04,5.0,37.44469,127.14611
136,수정구,신흥3동,수정신흥3-A-21,신흥3동 3387번지,수정남로 176 (신흥동),2019-09,4.0,37.44535,127.14596
137,수정구,신흥3동,수정신흥3-A-22,신흥3동 2833-1번지,공원로 367 (신흥동),2019-09,4.0,37.44444,127.14783
138,수정구,신흥3동,수정신흥3-A-23,신흥3동 3444번지,수정남로 142 (신흥동),2019-09,5.0,37.44348,127.14324
139,수정구,신흥3동,수정신흥3-A-24,신흥3동 3058번지,수정남로176번길 14-14 (신흥동),2019-09,5.0,37.44434,127.1469
140,수정구,신흥3동,수정신흥3-A-25,신흥3동 3024,수정남로164번길 14-1,2020-07,5.0,37.443587,127.145859
141,수정구,신흥3동,수정신흥3-A-26,신흥3동 3290,수정로228번길 13-1,2020-07,5.0,37.44456,127.14573
142,수정구,신흥3동,수정신흥3-A-27,신흥3동 2821,공원로349번길 4,2020-07,5.0,37.443826,127.14935
143,수정구,신흥3동,수정신흥3-A-28,신흥3동 2796-11,산성대로283번길 28,2020-07,5.0,37.443533,127.147179
144,수정구,신흥3동,수정신흥3-A-29,신흥3동 2606-3,공원로339번길 2,2020-12,4.0,37.443302,127.150641
145,수정구,신흥3동,수정신흥3-A-30,신흥3동 2496,산성대로283번길6,2021-06,5.0,37.441833,127.148146
146,수정구,신흥3동,수정신흥3-A-31,신흥3동 4051,산성대로255번길 16-15,2021-06,5.0,37.44173,127.14552
147,수정구,신흥3동,수정신흥3-A-32,신흥3동 2645,,2021-12,3.0,37.442542,127.146737
148,수정구,신흥3동,수정신흥3-A-33,신흥3동 4124,산성대로 267,2021-12,5.0,37.44169,127.14642
149,수정구,신흥3동,수정신흥3-A-34,신흥3동 4125,시민로142번길 20,2021-12,4.0,37.44157,127.14605
150,수정구,신흥3동,수정신흥3-A-35,신흥3동 2574,산성대로269번길 16-6,2021-12,3.0,37.44214,127.14662
151,수정구,신흥3동,수정신흥3-A-36,신흥3동 3436-1,,2022-04,3.0,37.444351,127.143275
152,수정구,신흥3동,수정신흥3-A-37,신흥3동 4192,,2023-02,4.0,37.440839,127.14521
153,수정구,신흥3동,수정신흥3-A-38,신흥3동 4202,시민로 142번길 8,2023-06,5.0,37.44105,127.144551
154,수정구,신흥3동,수정신흥3-A-39,신흥3동 4043,산성대로 269번길 15,2023-06,4.0,37.442064,127.146238
155,수정구,신흥3동,수정신흥3-A-40,신흥3동 3436-11,수정로 210,2024-10,5.0,37.444187,127.142797
156,수정구,태평1동,수정태평1-A-1,태평1동 6717번지,,2010,5.0,37.443117,127.126226
157,수정구,태평1동,수정태평1-A-2,태평1동 6135번지,,2010,3.0,37.44259,127.1275
158,수정구,태평1동,수정태평1-A-3,태평1동 5127번지,성남대로1314번길 7 (태평동),2010,4.0,37.447047,127.127873
159,수정구,태평1동,수정태평1-A-4,태평1동 6481번지,수정로73번길 16-27 (태평동),2010,4.0,37.440484,127.129008
160,수정구,태평1동,수정태평1-A-5,태평1동 6595번지,성남대로 1295 (태평동),2010,3.0,37.445357,127.12646
161,수정구,태평1동,수정태평1-A-6,태평1동 5140번지,제일로 223 (태평동),2010,4.0,37.445856,127.128686
162,수정구,태평1동,수정태평1-A-7,태평1동 5350번지,남문로11번길 7-2 (태평동),2010,5.0,37.445007,127.128031
163,수정구,태평1동,수정태평1-A-8,태평1동 6439번지,,2010,4.0,37.441394,127.130523
164,수정구,태평1동,수정태평1-A-9,태평1동 6939번지,"성남대로1237번길 12-1 (태평동, 삼성로얄맨션)",2012,4.0,37.440248,127.126179
165,수정구,태평1동,수정태평1-A-10,태평1동 5849번지,제일로197번길 14 (태평동),2013,5.0,37.443413,127.12906
166,수정구,태평1동,수정태평1-A-11,태평1동 5878번지,남문로12번길 22 (태평동),2013,5.0,37.442559,127.129175
167,수정구,태평1동,수정태평1-A-12,태평1동 7196-2번지,"수정로35번길 26 (태평동, 삼영로즈빌)",2013,4.0,37.441529,127.124793
168,수정구,태평1동,수정태평1-A-13,태평1동 7113번지,"모란로 123 (태평동, 태평연립주택)",2014,5.0,37.441529,127.124793
169,수정구,태평1동,수정태평1-A-14,태평1동 7260번지,수정로25번길 17-2 (태평동),2015,6.0,37.44007,127.12444
170,수정구,태평1동,수정태평1-A-15,태평1동 6083-1번지,남문로4번길 12-2 (태평동),2016,5.0,37.44311,127.12795
171,수정구,태평1동,수정태평1-A-16,태평1동 6928-4번지,모란로 88 (태평동),2016,4.0,37.44074,127.12591
172,수정구,태평1동,수정태평1-A-17,태평1동 6151-7번지,성남대로1250번길 11-2 (태평동),2016,4.0,37.44175,127.12892
173,수정구,태평1동,수정태평1-A-18,태평1동 5202번지,성남대로 1290-1 (태평동),2017-12,5.0,37.44489,127.12729
174,수정구,태평1동,수정태평1-A-19,태평1동 6524-1번지,수정로73번길 15 (태평동),2018-07,4.0,37.44118,127.12831
175,수정구,태평1동,수정태평1-A-20,태평1동 5545번지,남문로21번길 10 (태평동),2018-07,5.0,37.44536,127.12914
176,수정구,태평1동,수정태평1-A-21,태평1동 5668번지,남문로22번길 22 (태평동),2018-07,5.0,37.44287,127.13028
177,수정구,태평1동,수정태평1-A-22,태평1동 6971번지,수정로61번길 7 (태평동),2019-09,5.0,37.44026,127.12718
178,수정구,태평1동,수정태평1-A-23,태평1동 6431번지,수정로99번길 5 (태평동),2019-09,5.0,37.44116,127.13121
179,수정구,태평1동,수정태평1-A-24,태평1동 5730번지,남문로18번길 7 (태평동),2019-09,4.0,37.444,127.12932
180,수정구,태평1동,수정태평1-A-25,태평1동 7184-11번지,모란로89번길 8 (태평동),2019-09,4.0,37.4412,127.12517
181,수정구,태평1동,수정태평1-A-26,태평1동 5124-3,태평로8번길 8,2020-07,5.0,37.44748,127.127804
182,수정구,태평1동,수정태평1-A-27,태평1동 5857,남문로 14,2020-07,4.0,37.444363,127.128593
183,수정구,태평1동,수정태평1-A-28,태평1동 7168-4,모란로 107,2020-07,5.0,37.442507,127.12584
184,수정구,태평1동,수정태평1-A-29,태평1동 6299,수정북로7번길 10,2020-07,5.0,37.44211,127.130235
185,수정구,태평1동,수정태평1-A-30,태평1동 5857-18,수정구 남문로12번길 5,2021-06,3.0,37.44392,127.12859
186,수정구,태평1동,수정태평1-A-31,태평1동 산21-20,,2021-06,4.0,37.44404,127.12453
187,수정구,태평1동,수정태평1-A-32,태평1동 5170-8,남문로13번길 17,2021-12,5.0,37.44575,127.1281
188,수정구,태평1동,수정태평1-A-33,태평1동 7115-25,모란로133번길 1-12,2021-12,4.0,37.44434,127.1253
189,수정구,태평1동,수정태평1-A-34,태평1동 5485,남문로17번길 10,2022-07,5.0,37.445243,127.128773
190,수정구,태평1동,수정태평1-A-35,태평1동 6894,수정로57번길 10,2022-08,5.0,37.440276,127.126825
191,수정구,태평1동,수정태평1-A-36,태평1동 6094,남문로2번길 7,2023-06,5.0,37.443466,127.12752
192,수정구,태평1동,수정태평1-A-37,태평1동 6795,성남대로 1275-1,2023-06,6.0,37.443992,127.126852
193,수정구,태평1동,수정태평1-A-38,태평1동 6468-3,수정로 87번길 9,2023-06,5.0,37.441201,127.129861
194,수정구,태평1동,수정태평1-A-39,태평동 7277,,2024-02,3.0,37.440608,127.121525
195,수정구,태평1동,수정태평1-A-40,태평동 7277,,2024-02,4.0,37.440083,127.121723
196,수정구,태평1동,수정태평1-A-41,태평동 7277,,2024-02,3.0,37.440988,127.121597
197,수정구,태평1동,수정태평1-A-42,태평동 7277,,2024-02,3.0,37.440959,127.121968
198,수정구,태평1동,수정태평1-A-43,태평동 7277,,2024-02,3.0,37.441131,127.121762
199,수정구,태평1동,수정태평1-A-44,태평동 7277,,2024-02,5.0,37.441153,127.12167
200,수정구,태평1동,수정태평1-A-45,태평동 7277,,2024-02,3.0,37.441559,127.121674
201,수정구,태평1동,수정태평1-A-46,태평동 7277,,2024-02,3.0,37.441522,127.121613
202,수정구,태평1동,수정태평1-A-47,태평동 7277,,2024-02,3.0,37.442198,127.121634
203,수정구,태평1동,수정태평1-A-48,태평동 7277,,2024-02,4.0,37.441968,127.121938
204,수정구,태평1동,수정태평1-A-49,태평동 7277,,2024-02,3.0,37.441786,127.122384
205,수정구,태평1동,수정태평1-A-50,태평동 7277,,2024-02,4.0,37.440996,127.120553
206,수정구,태평1동,수정태평1-A-51,태평동 7277,,2024-02,5.0,37.441117,127.120999
207,수정구,태평1동,수정태평1-A-52,태평동 7277,,2024-02,5.0,37.441419,127.120876
208,수정구,태평1동,수정태평1-A-53,태평1동 7035-1,,2024-04,4.0,37.449114,127.118716
209,수정구,태평1동,수정태평1-A-54,태평동 7003-13,,2024-10,6.0,37.442165,127.11891
210,수정구,태평1동,수정태평1-A-55,태평1동 6973,성남대로 1235,2024-10,4.0,37.440313,127.127553
211,수정구,태평1동,수정태평1-A-56,태평1동 6500,수정로73번길 8-2,2024-10,3.0,37.4408,127.12846
212,수정구,태평1동,수정태평1-A-58,태평1동 7115-1,모란로133번길 2,2024-10,4.0,37.444929,127.126046
213,수정구,태평2동,수정태평2-A-1,태평2동 2991번지,,2010,4.0,37.44674,127.13526
214,수정구,태평2동,수정태평2-A-2,태평2동 3307-85번지,,2010,5.0,37.446706,127.137772
215,수정구,태평2동,수정태평2-A-3,태평2동 975번지,태평로74번길 21-1 (태평동),2010,5.0,37.447927,127.13562
216,수정구,태평2동,수정태평2-A-4,태평2동 3228번지,탄리로96번길 11 (태평동),2010,5.0,37.444616,127.136178
217,수정구,태평2동,수정태평2-A-5,태평2동 3365-1번지,수정로171번길 15 (태평동),2010,4.0,37.444087,127.138437
218,수정구,태평2동,수정태평2-A-6,태평2동 3485번지,수정북로 66 (태평동),2010,5.0,37.443226,127.136838
219,수정구,태평2동,수정태평2-A-7,태평2동 516번지,태평로74번길 2 (태평동),2010,4.0,37.449802,127.13473
220,수정구,태평2동,수정태평2-A-8,태평2동 3309번지,수정로171번길 10 (태평동),2010,4.0,37.445383,127.138807
221,수정구,태평2동,수정태평2-A-9,태평2동 2749번지,남문로101번길 16 (태평동),2010,5.0,37.448433,127.137378
222,수정구,태평2동,수정태평2-A-10,태평2동 1347번지,시민로249번길 19-1 (태평동),2012,5.0,37.449199,127.137583
223,수정구,태평2동,수정태평2-A-11,태평2동 2990번지,,2013,5.0,37.44664,127.136203
224,수정구,태평2동,수정태평2-A-12,태평2동 874번지,,2013,5.0,37.448493,127.134882
225,수정구,태평2동,수정태평2-A-13,태평2동 3166-1번지,탄리로132번길 4 (태평동),2013,5.0,37.447502,127.133992
226,수정구,태평2동,수정태평2-A-14,태평2동 483번지,태평로82번길 8-1 (태평동),2015,5.0,37.44937,127.13592
227,수정구,태평2동,수정태평2-A-15,태평2동 3273-2번지,"남문로90번길 14 (태평동, 성문아트빌라)",2015,3.0,37.44563,127.13713
228,수정구,태평2동,수정태평2-A-16,태평2동 513번지,"태평로78번길 8 (태평동, 영헌맨션빌라)",2015,6.0,37.4492,127.13506
229,수정구,태평2동,수정태평2-A-17,태평2동 7288-6번지,수정로 175 (태평동),2015,5.0,37.4432,127.1392
230,수정구,태평2동,수정태평2-A-18,태평2동 2645번지,남문로111번길 3 (태평동),2016,4.0,37.44778,127.13878
