"5-9세","야탑3동",725,372,353
"5-9세","금곡동",887,447,440
"5-9세","구미동",892,447,445
"5-9세","구미1동",517,266,251
"5-9세","판교동",1645,847,798
"5-9세","삼평동",1200,605,595
"5-9세","백현동",1059,541,518
"5-9세","운중동",2189,1119,1070
"10-14세","성남시",41035,21003,20032
"10-14세","수정구",7979,4003,3976
"10-14세","신흥1동",256,133,123
"10-14세","신흥2동",1059,534,525
"10-14세","신흥3동",224,110,114
"10-14세","태평1동",253,135,118
"10-14세","태평2동",359,174,185
"10-14세","태평3동",339,167,172
"10-14세","태평4동",358,177,181
"10-14세","수진1동",212,103,109
"10-14세","수진2동",371,176,195
"10-14세","단대동",537,291,246
"10-14세","산성동",159,97,62
"10-14세","양지동",332,172,160
"10-14세","복정동",182,93,89
"10-14세","위례동",2704,1343,1361
"10-14세","신촌동",219,104,115
"10-14세","고등동",357,163,194
"10-14세","시흥동",58,31,27
"10-14세","중원구",6834,3579,3255
"10-14세","성남동",722,364,358
"10-14세","중앙동",591,305,286
"10-14세","금광1동",591,293,298
"10-14세","금광2동",687,350,337
"10-14세","은행1동",339,192,147
"10-14세","은행2동",634,337,297
"10-14세","상대원1동",755,426,329
"10-14세","상대원2동",87,46,41
"10-14세","상대원3동",314,157,157
"10-14세","하대원동",715,376,339
"10-14세","도촌동",1399,733,666
"10-14세","분당구",26222,13421,12801
"10-14세","분당동",1253,636,617
"10-14세","수내1동",1191,626,565
"10-14세","수내2동",1155,548,607
"10-14세","수내3동",1186,595,591
"10-14세","정자동",670,345,325
"10-14세","정자1동",1665,844,821
"10-14세","정자2동",555,303,252
"10-14세","정자3동",949,488,461
"10-14세","서현1동",2036,1034,1002
"10-14세","서현2동",1008,551,457
"10-14세","이매1동",1439,734,705
"10-14세","이매2동",826,444,382
"10-14세","야탑1동",594,328,266
"10-14세","야탑2동",835,413,422
"10-14세","야탑3동",839,441,398
"10-14세","금곡동",980,490,490
"10-14세","구미동",1177,569,608
"10-14세","구미1동",680,355,325
"10-14세","판교동",2051,1043,1008
"10-14세","삼평동",1454,751,703
"10-14세","백현동",1572,821,751
"10-14세","운중동",2107,1062,1045
"15-19세","성남시",40658,20630,20028
"15-19세","수정구",8193,4144,4049
"15-19세","신흥1동",329,172,157
"15-19세","신흥2동",1122,542,580
"15-19세","신흥3동",284,149,135
"15-19세","태평1동",355,200,155
"15-19세","태평2동",456,239,217
"15-19세","태평3동",387,188,199
"15-19세","태평4동",459,253,206
"15-19세","수진1동",273,154,119
"15-19세","수진2동",473,253,220
"15-19세","단대동",549,291,258
"15-19세","산성동",215,102,113
"15-19세","양지동",381,186,195
"15-19세","복정동",282,149,133
"15-19세","위례동",1982,933,1049
"15-19세","신촌동",209,111,98
"15-19세","고등동",371,186,185
"15-19세","시흥동",66,36,30
"15-19세","중원구",7400,3753,3647
"15-19세","성남동",962,487,475
"15-19세","중앙동",551,286,265
"15-19세","금광1동",547,270,277
"15-19세","금광2동",881,430,451
"15-19세","은행1동",414,195,219
"15-19세","은행2동",746,372,374
"15-19세","상대원1동",743,364,379
"15-19세","상대원2동",102,48,54
"15-19세","상대원3동",352,188,164
"15-19세","하대원동",764,425,339
"15-19세","도촌동",1338,688,650
"15-19세","분당구",25065,12733,12332
"15-19세","분당동",1415,759,656
"15-19세","수내1동",1011,505,506
"15-19세","수내2동",849,427,422
"15-19세","수내3동",1087,563,524
"15-19세","정자동",674,354,320
"15-19세","정자1동",1612,791,821
"15-19세","정자2동",620,338,282
"15-19세","정자3동",980,493,487
"15-19세","서현1동",1961,944,1017
"15-19세","서현2동",1070,553,517
"15-19세","이매1동",1479,755,724
"15-19세","이매2동",838,430,408
"15-19세","야탑1동",554,288,266
"15-19세","야탑2동",774,379,395
"15-19세","야탑3동",901,437,464
"15-19세","금곡동",1124,566,558
"15-19세","구미동",1144,619,525
"15-19세","구미1동",719,334,385
"15-19세","판교동",1751,907,844
"15-19세","삼평동",1328,661,667
"15-19세","백현동",1351,693,658
"15-19세","운중동",1823,937,886
"20-24세","성남시",47304,23906,23398
"20-24세","수정구",12361,6314,6047
"20-24세","신흥1동",560,295,265
"20-24세","신흥2동",1477,737,740
"20-24세","신흥3동",530,266,264
"20-24세","태평1동",979,483,496
"20-24세","태평2동",786,421,365
"20-24세","태평3동",609,314,295
"20-24세","태평4동",683,345,338
"20-24세","수진1동",486,286,200
"20-24세","수진2동",716,360,356
"20-24세","단대동",722,362,360
"20-24세","산성동",218,106,112
"20-24세","양지동",602,295,307
"20-24세","복정동",1135,594,541
"20-24세","위례동",1905,932,973
"20-24세","신촌동",295,191,104
"20-24세","고등동",513,248,265
"20-24세","시흥동",145,79,66
"20-24세","중원구",10172,5199,4973
"20-24세","성남동",1581,785,796
"20-24세","중앙동",733,401,332
"20-24세","금광1동",745,358,387
"20-24세","금광2동",1340,657,683
"20-24세","은행1동",591,286,305
"20-24세","은행2동",1250,612,638
"20-24세","상대원1동",1047,564,483
"20-24세","상대원2동",147,72,75
"20-24세","상대원3동",487,264,223
"20-24세","하대원동",970,515,455
"20-24세","도촌동",1281,685,596
"20-24세","분당구",24771,12393,12378
"20-24세","분당동",1383,721,662
"20-24세","수내1동",937,470,467
"20-24세","수내2동",544,294,250
"20-24세","수내3동",810,419,391
"20-24세","정자동",828,402,426
