종류,시설명,지정년월,권역,지역,리,도로명주소,데이터기준일자
어린이집,아이랜드어린이집,2022-12-14,만세구,장안면,사곡리,화성시 만세구 장안면 기아자동차로 786-5,2026-02-01
어린이집,시립새솔하나어린이집,2022-12-14,만세구,새솔동,,화성시 만세구 새솔동 수노을중앙로 340,2026-02-01
초등학교,신남초등학교,2023-05-04,만세구,남양읍,신남리,화성시 만세구 남양읍 화성시청역로 2,2026-02-01
어린이집,참사랑어린이집,2024-03-19,만세구,남양읍,신남리,화성시 만세구 남양읍 신남안길 265,2026-02-01
대안학교,예수향남기독학교,2024-03-19,만세구,향남읍,하길리,화성시 만세구 향남읍 서봉로 117,2026-02-01
초등학교,내리숲초등학교,2024-09-10,효행구,봉담읍,내리,화성시 효행구 봉담읍 내리 560,2026-02-01
초등학교,청연초등학교,2025-05-14,효행구,비봉면,삼화리,화성시 효행구 비봉면 삼화리 1650,2026-02-01
초등학교,숲속초등학교,2010-03-11,동탄구,반송동,,화성시 동탄구 동탄공원로2길 10,2026-02-01
초등학교,한마음초등학교,2008-01-07,동탄구,능동,,화성시 동탄구 동탄숲속로 69-6,2026-02-01
초등학교,능동초등학교,2008-01-07,동탄구,능동,,화성시 동탄구 동탄원천로 315-27,2026-02-01
초등학교,푸른초등학교,2008-01-07,동탄구,능동,,화성시 동탄구 동탄공원로 21-38,2026-02-01
초등학교,금곡초등학교,2007-01-14,동탄구,반송동,,화성시 동탄구 동탄문화센터로 13,2026-02-01
초등학교,솔빛초등학교,2007-09-02,동탄구,반송동,,화성시 동탄구 동탄반석로 84,2026-02-01
초등학교,반석초등학교,2007-09-03,동탄구,반송동,,화성시 동탄구 동탄반석로 22,2026-02-01
초등학교,반송초등학교,2007-09-03,동탄구,반송동,,화성시 동탄구 동탄솔빛로 14,2026-02-01
초등학교,학동초등학교,2007-03-12,동탄구,반송동,,화성시 동탄구 동탄지성로 79-17,2026-02-01
초등학교,석우초등학교,2007-01-28,동탄구,반송동,,화성시 동탄구 동탄시범한빛길 32,2026-02-01
초등학교,예당초등학교,2008-01-06,동탄구,석우동,,화성시 동탄구 동탄반석로 245,2026-02-01
초등학교,예원초등학교,2008-01-06,동탄구,석우동,,화성시 동탄구 동탄반석로 259,2026-02-01
유치원,동탄꿈의 유치원,2007-08-31,동탄구,반송동,,화성시 동탄구 노작로4길 5-4,2026-02-01
유치원,오즈의마법사유치원,2009-03-02,동탄구,반송동,,화성시 동탄구 금반1길 14-17,2026-02-01
유치원,동탄프라임유치원,2011-12-12,동탄구,반송동,,화성시 동탄구 동탄공원로2길 7 ,2026-02-01
어린이집,시립숲속어린이집,2016-05-20,동탄구,능동,,화성시 동탄구 동탄숲속로 69-30,2026-02-01
초등학교,정현초등학교,2018-03-02,동탄구,산척동,,화성시 동탄구 동탄산척로 122,2026-02-01
초등학교,한율초등학교,2018-03-13,동탄구,목동,,화성시 동탄구 동탄순환대로 429-10,2026-02-01
초등학교,동탄중앙초등학교,2018-05-15,동탄구,청계동,,화성시 동탄구 동탄대로시범길 117,2026-02-01
초등학교,아인초등학교,2018-05-15,동탄구,청계동,,화성시 동탄구 동탄대로시범길 219,2026-02-01
유치원,청계유치원,2018-05-15,동탄구,청계동,,화성시 동탄구 동탄대로시범길 199,2026-02-01
초등학교,화성청계초등학교,2018-05-15,동탄구,청계동,,화성시 동탄구 동탄대로시범길 39,2026-02-01
초등학교,청목초등학교,2018-05-15,동탄구,청계동,,화성시 동탄구 동탄순환대로21길 10,2026-02-01
초등학교,예솔초등학교,2018-05-15,동탄구,청계동,,화성시 동탄구 동탄순환대로22길 13,2026-02-01
초등학교,한백초등학교,2018-05-15,동탄구,영천동,,화성시 동탄구 동탄순환대로26길 37,2026-02-01
유치원,무봉유치원,2018-05-15,동탄구,영천동,,화성시 동탄구 동탄치동천로3길 9-7,2026-02-01
유치원,영천유치원,2018-05-15,동탄구,영천동,,화성시 동탄구 동탄순환대로29길 46,2026-02-01
초등학교,동탄초등학교,2018-05-15,동탄구,오산동,,화성시 동탄구 동부대로970번길 31,2026-02-01
유치원,동탄유치원,2018-05-15,동탄구,오산동,,화성시 동탄구 동탄기흥로 353번길 17,2026-02-01
초등학교,영천초등학교,2018-05-15,동탄구,영천동,,화성시 동탄구 동탄영천로 36,2026-02-01
어린이집,동탄산단해솔어린이집,2018-06-04,동탄구,방교동,,화성시 동탄구 동탄산단6길 12,2026-02-01
유치원,솔빛유치원,2018-07-13,동탄구,반송동,,화성시 동탄구 동탄중앙로 122,2026-02-01
초등학교,무봉초등학교,2018-07-13,동탄구,청계동,,화성시 동탄구 동탄청계로 303-34,2026-02-01
초등학교,방교초등학교,2018-08-16,동탄구,산척동,,화성시 동탄구 동탄산척로1길 11,2026-02-01
초등학교,서연초등학교,2018-08-16,동탄구,장지동,,화성시 동탄구 동탄대로4가길 25,2026-02-01
초등학교,왕배초등학교,2018-10-04,동탄구,목동,,화성시 동탄구 동탄대로 12길 101,2026-02-01
초등학교,치동초등학교,2018-10-23,동탄구,영천동,,화성시 동탄구 동탄순환대로 881-34,2026-02-01
초등학교,다원초등학교,2018-11-14,동탄구,영천동,,화성시 동탄구 동탄대로24길 112,2026-02-01
특수학교,화성나래학교,2019-01-29,동탄구,방교동,,화성시 동탄구 동탄대로 10길 11,2026-02-01
초등학교,청림초등학교,2019-03-04,동탄구,산척동,,화성시 동탄구 동탄산척로 93-22,2026-02-01
