SIGUN_NM,SIGUN_CD,STATION_NM_INFO,STATION_ID,STATION_MANAGE_NO,STATION_DIV_NM,JURISD_INST_NM,LOCPLC_LOC,ENG_STATION_NM_INFO,WGS84_LOGT,WGS84_LAT
화성시,41590,조암4리앞,233001159,37486.0,노변정류장,경기도 화성시,경기도 화성시 우정읍,Joam 4-ri ,126.7963667,37.0822
화성시,41590,동탄2동주민센터,233001639,37671.0,노변정류장,경기도 화성시,경기도 화성시 반송동,Dongtan 2-dong Community Center,127.0728833,37.1964167
화성시,41590,경남.반도1차,233000960,36452.0,노변정류장,경기도 화성시,경기도 화성시 동탄면,"Gyeongnam, Bando 1-cha ",127.1107833,37.2034833
화성시,41590,장짐삼거리앞,233002157,55156.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,Jangjim Samgeori,126.8994667,37.1386667
화성시,41590,주공7단지,233002975,,노변정류장,경기도 화성시,,Jugong Apartment 7-danji,126.9253167,37.1332667
화성시,41590,도이1리,233002990,,노변정류장,경기도 화성시,,Doi 1-ri,126.9336167,37.1403333
화성시,41590,송림동입구,233003077,,노변정류장,경기도 화성시,,Songnim-dong,126.8197167,37.2167333
화성시,41590,덕천리,233002783,,노변정류장,경기도 화성시,,Deokcheon-ri,126.872,37.1441167
화성시,41590,브론코병원,233002788,,노변정류장,경기도 화성시,,Bronco Memorical Hospital ,126.8602167,37.12775
화성시,41590,하길1리종점,233002794,,노변정류장,경기도 화성시,,Hagil 1-ri Bus Terminal ,126.9232667,37.0969333
화성시,41590,호반5차.르파비스,233001880,55513.0,,,,,127.1235333,37.1825833
화성시,41590,활초삼거리,233002832,,노변정류장,경기도 화성시,,Hwalcho Samgeori,126.8295333,37.17865
화성시,41590,살곶이,233002838,,노변정류장,경기도 화성시,,Salgoji,126.8347167,37.1679167
화성시,41590,해병대사령부종점,233527970,,,,,,126.9275667,37.1721333
화성시,41590,선일화학.에디스,233002846,,노변정류장,경기도 화성시,,"Seonil Chemical, Edith",126.8869833,37.0999667
화성시,41590,매바위,233002868,,노변정류장,경기도 화성시,,Maebawi,126.7952833,37.1538833
화성시,41590,우림필유,233001991,28266.0,노변정류장,경기도 화성시,,Woolim Feel-U Apartment ,126.8312167,37.20835
화성시,41590,대황교.활주로,233000706,36333.0,노변정류장,경기도 화성시,경기도 화성시 반정동,Daehwanggyo Bridge,127.0246667,37.22765
화성시,41590,와우농협앞,233001457,37529.0,노변정류장,경기도 화성시,경기도 화성시 봉담읍,Wau Nonghyup,126.9746333,37.218
화성시,41590,해문1리.질고개,233002873,,노변정류장,경기도 화성시,,"Haemun 1-ri, Jilgogae",126.7406333,37.2051
화성시,41590,기안2통,233002735,,노변정류장,경기도 화성시,,Gian 2-tong,126.9788333,37.22125
화성시,41590,구문천리.돌래,233002517,55071.0,,경기도 화성시,,"Gumuncheon-ri, Dolrae",126.9133333,37.07915
화성시,41590,금강팬테리움,233003149,55545.0,,,,,126.8219833,37.2838
화성시,41590,가골입구앞,233001314,36712.0,노변정류장,경기도 화성시,경기도 화성시 비봉면,Gagol,126.8911167,37.2022333
화성시,41590,광산,233001332,37505.0,노변정류장,경기도 화성시,경기도 화성시 봉담읍,Gwangsan,126.93675,37.2253333
화성시,41590,독정5리마을회관,233001133,36727.0,노변정류장,경기도 화성시,경기도 화성시 장안면,Dokjeong 5-ri Community Center,126.8701167,37.0637
화성시,41590,신동아파밀리에,233002638,37480.0,노변정류장,경기도 화성시,,SindongAh Familie Apartment ,126.9573333,37.2201833
화성시,41590,창곡1리입구,233002168,55126.0,노변정류장,경기도 화성시,경기도 화성시 팔탄면,Changgok 1-ri  ,126.8812833,37.1960667
화성시,41590,송산고,233533550,,,,,,126.8280333,37.2744667
화성시,41590,하피랜드,233002161,55176.0,노변정류장,경기도 화성시,경기도 화성시 팔탄면,Hapy Land,126.8885667,37.1692167
화성시,41590,사곳입구,233002298,55212.0,노변정류장,경기도 화성시,경기도 화성시 서신면,Sagot,126.7080167,37.1636833
화성시,41590,예당마을,233001680,37743.0,노변정류장,경기도 화성시,경기도 화성시 석우동,Yedang Maeul,127.0746167,37.20755
화성시,41590,동탄JC(경유),277103444,,,,,,127.0957833,37.1778833
화성시,41590,노진리,233000490,37430.0,노변정류장,경기도 화성시,경기도 화성시 장안면,Nojin-ri ,126.8145333,37.0534
화성시,41590,구문천삼거리,233001537,36734.0,노변정류장,경기도 화성시,경기도 화성시 향남읍,Gumuncheon Samgeori,126.8959833,37.07605
화성시,41590,용포1리,233001469,37560.0,노변정류장,경기도 화성시,경기도 화성시 송산면,Yongpo 1-ri,126.7581667,37.2294667
화성시,41590,석포삼거리,233001356,37526.0,노변정류장,경기도 화성시,경기도 화성시 팔탄면,Seokpo Samgeori ,126.8438667,37.1308667
화성시,41590,서근리,233001354,36933.0,노변정류장,경기도 화성시,경기도 화성시 팔탄면,Seogeun-ri ,126.85755,37.1262667
화성시,41590,두곡리,233000764,37109.0,노변정류장,경기도 화성시,경기도 화성시 마도면,Dugok-ri,126.7831667,37.2055333
화성시,41590,용소2리,233000010,36198.0,노변정류장,경기도 화성시,경기도 화성시 양감면,Yongso 2-ri,126.97815,37.0791333
화성시,41590,일진산업단지,233002340,55170.0,노변정류장,경기도 화성시,경기도 화성시 안녕동,Iljin Industrial Complex,126.9978,37.1959
화성시,41590,원촌동,233002576,,노변정류장,경기도 화성시,,Wonchon-dong,126.8052167,37.2302333
화성시,41590,사창리,233002482,55341.0,노변정류장,경기도 화성시,경기도 화성시 양감면,Sachang-ri,126.9758,37.0912333
화성시,41590,에일린의뜰.포스코,233002498,55405.0,노변정류장,경기도 화성시,경기도 화성시 오산동,"Eileen-Garden, Posco",127.0869333,37.1871833
화성시,41590,형도종점,233002891,,노변정류장,경기도 화성시,,Hyeongdo Bus Terminal ,126.6716667,37.2737667
화성시,41590,고포3리,233002197,55195.0,노변정류장,경기도 화성시,경기도 화성시 송산면,Gopo 3-ri,126.6818333,37.2349333
화성시,41590,진안초교,233002148,55353.0,노변정류장,경기도 화성시,경기도 화성시 진안동,Jinan Elementary School ,127.03955,37.2172667
화성시,41590,독지1리.돌내입구,233002595,,노변정류장,경기도 화성시,,"Dokji 1-ri, Dolnae",126.6992833,37.24615
화성시,41590,매송지하차도(경유),277101841,,,,,,126.8849667,37.2806333
화성시,41590,은장슈퍼,233000259,37120.0,노변정류장,경기도 화성시,경기도 화성시 마도면,Eunjang Supermarket,126.7929833,37.1924
화성시,41590,신남4통,233002012,37777.0,노변정류장,경기도 화성시,,Sinnam 4-tong,126.8192,37.1826167
화성시,41590,왕림리.상기리입구,233000831,36103.0,노변정류장,경기도 화성시,경기도 화성시 봉담읍,"Wangnim-ri, Sanggi-ri ",126.93975,37.19785
화성시,41590,수산중공업,233000013,36272.0,노변정류장,경기도 화성시,경기도 화성시 양감면,"Soosan Heavy Industries Co., Ltd. ",126.9910167,37.1147
화성시,41590,구장삼거리,233001030,37229.0,노변정류장,경기도 화성시,경기도 화성시 팔탄면,Gujang Samgeori,126.8960167,37.1680167
